Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.532,0,-0.00758,0,15,3D,Fiber,Single,PLA
-0.697,0,-0.00993,0,15,3D,Fiber,Single,PLA
-0.697,0,-0.00993,0,15,3D,Fiber,Single,PLA
-0.675,0,-0.00962,0,15,3D,Fiber,Single,PLA
-0.675,0,-0.00962,0,15,3D,Fiber,Single,PLA
-0.675,0,-0.00962,0,15,3D,Fiber,Single,PLA
-0.731,0,-0.0104,0,15,3D,Fiber,Single,PLA
-0.769,0,-0.011,0,15,3D,Fiber,Single,PLA
-0.937,0,-0.0133,0,15,3D,Fiber,Single,PLA
-0.892,0,-0.0127,0,15,3D,Fiber,Single,PLA
-0.906,0,-0.0129,0,15,3D,Fiber,Single,PLA
-0.769,0,-0.011,0,15,3D,Fiber,Single,PLA
-0.827,0,-0.0118,0,15,3D,Fiber,Single,PLA
-0.819,0,-0.0117,0,15,3D,Fiber,Single,PLA
-0.762,0,-0.0109,0,15,3D,Fiber,Single,PLA
-0.804,0,-0.0115,0,15,3D,Fiber,Single,PLA
-1.18,0,-0.0168,0,15,3D,Fiber,Single,PLA
-0.787,0,-0.0112,0,15,3D,Fiber,Single,PLA
-0.821,0,-0.0117,0,15,3D,Fiber,Single,PLA
-0.905,0,-0.0129,0,15,3D,Fiber,Single,PLA
-1.19,0,-0.0169,0,15,3D,Fiber,Single,PLA
-0.789,0,-0.0112,0,15,3D,Fiber,Single,PLA
-0.591,0,-0.00842,0,15,3D,Fiber,Single,PLA
-0.937,0,-0.0134,0,15,3D,Fiber,Single,PLA
-0.839,0,-0.0119,0,15,3D,Fiber,Single,PLA
-0.976,0,-0.0139,0,15,3D,Fiber,Single,PLA
-0.9,0,-0.0128,0,15,3D,Fiber,Single,PLA
-1.04,0,-0.0148,0,15,3D,Fiber,Single,PLA
-0.956,0,-0.0136,0,15,3D,Fiber,Single,PLA
-0.982,0,-0.014,0,15,3D,Fiber,Single,PLA
-1.12,0,-0.0159,0,15,3D,Fiber,Single,PLA
-0.805,0,-0.0115,0,15,3D,Fiber,Single,PLA
-0.912,0,-0.013,0,15,3D,Fiber,Single,PLA
-0.959,0,-0.0137,0,15,3D,Fiber,Single,PLA
-0.9,0,-0.0128,0,15,3D,Fiber,Single,PLA
-0.87,0,-0.0124,0,15,3D,Fiber,Single,PLA
-0.937,0,-0.0133,0,15,3D,Fiber,Single,PLA
-1.11,0,-0.0158,0,15,3D,Fiber,Single,PLA
-0.816,0,-0.0116,0,15,3D,Fiber,Single,PLA
-0.66,0.0011,-0.0094,0.0022,15,3D,Fiber,Single,PLA
0.218,0.00252,0.0031,0.00504,15,3D,Fiber,Single,PLA
1.72,0.00423,0.0245,0.00846,15,3D,Fiber,Single,PLA
3.16,0.00615,0.0451,0.0123,15,3D,Fiber,Single,PLA
4.18,0.00796,0.0596,0.0159,15,3D,Fiber,Single,PLA
5.25,0.00967,0.0748,0.0193,15,3D,Fiber,Single,PLA
6.78,0.0114,0.0966,0.0228,15,3D,Fiber,Single,PLA
7.62,0.0132,0.108,0.0264,15,3D,Fiber,Single,PLA
9.22,0.0151,0.131,0.0302,15,3D,Fiber,Single,PLA
10.6,0.0169,0.151,0.0338,15,3D,Fiber,Single,PLA
12.2,0.0187,0.173,0.0375,15,3D,Fiber,Single,PLA
13.4,0.0206,0.191,0.0412,15,3D,Fiber,Single,PLA
14.9,0.0225,0.213,0.0449,15,3D,Fiber,Single,PLA
16.4,0.0242,0.234,0.0484,15,3D,Fiber,Single,PLA
17.6,0.026,0.25,0.052,15,3D,Fiber,Single,PLA
19.1,0.0278,0.272,0.0556,15,3D,Fiber,Single,PLA
20.1,0.0297,0.287,0.0594,15,3D,Fiber,Single,PLA
21.6,0.0315,0.308,0.0631,15,3D,Fiber,Single,PLA
23,0.0333,0.328,0.0667,15,3D,Fiber,Single,PLA
24.5,0.0351,0.349,0.0702,15,3D,Fiber,Single,PLA
25.4,0.0369,0.361,0.0737,15,3D,Fiber,Single,PLA
26.8,0.0387,0.381,0.0774,15,3D,Fiber,Single,PLA
28.5,0.0405,0.405,0.081,15,3D,Fiber,Single,PLA
29.7,0.0423,0.423,0.0846,15,3D,Fiber,Single,PLA
31,0.0441,0.441,0.0882,15,3D,Fiber,Single,PLA
32.3,0.0459,0.461,0.0919,15,3D,Fiber,Single,PLA
33.4,0.0477,0.476,0.0955,15,3D,Fiber,Single,PLA
34.8,0.0495,0.496,0.0989,15,3D,Fiber,Single,PLA
35.9,0.0512,0.511,0.102,15,3D,Fiber,Single,PLA
37.5,0.0531,0.534,0.106,15,3D,Fiber,Single,PLA
38.7,0.0549,0.552,0.11,15,3D,Fiber,Single,PLA
39.9,0.0565,0.568,0.113,15,3D,Fiber,Single,PLA
41.3,0.0583,0.588,0.117,15,3D,Fiber,Single,PLA
42.5,0.0601,0.606,0.12,15,3D,Fiber,Single,PLA
43.9,0.0618,0.626,0.124,15,3D,Fiber,Single,PLA
45.2,0.0636,0.644,0.127,15,3D,Fiber,Single,PLA
46.3,0.0654,0.659,0.131,15,3D,Fiber,Single,PLA
49,0.069,0.699,0.138,15,3D,Fiber,Single,PLA
49.1,0.0691,0.7,0.138,15,3D,Fiber,Single,PLA
50.4,0.0709,0.718,0.142,15,3D,Fiber,Single,PLA
51.5,0.0726,0.733,0.145,15,3D,Fiber,Single,PLA
52.9,0.0745,0.754,0.149,15,3D,Fiber,Single,PLA
54.3,0.0762,0.773,0.152,15,3D,Fiber,Single,PLA
55.5,0.078,0.79,0.156,15,3D,Fiber,Single,PLA
56.6,0.0798,0.806,0.16,15,3D,Fiber,Single,PLA
58,0.0816,0.826,0.163,15,3D,Fiber,Single,PLA
59.2,0.0835,0.844,0.167,15,3D,Fiber,Single,PLA
60.6,0.0852,0.863,0.17,15,3D,Fiber,Single,PLA
61.6,0.0869,0.877,0.174,15,3D,Fiber,Single,PLA
62.8,0.0886,0.895,0.177,15,3D,Fiber,Single,PLA
64.3,0.0905,0.916,0.181,15,3D,Fiber,Single,PLA
65.7,0.0924,0.936,0.185,15,3D,Fiber,Single,PLA
66.7,0.0941,0.95,0.188,15,3D,Fiber,Single,PLA
68.4,0.0959,0.974,0.192,15,3D,Fiber,Single,PLA
69.2,0.0977,0.986,0.195,15,3D,Fiber,Single,PLA
70.6,0.0994,1.01,0.199,15,3D,Fiber,Single,PLA
71.6,0.101,1.02,0.202,15,3D,Fiber,Single,PLA
73,0.103,1.04,0.206,15,3D,Fiber,Single,PLA
74.1,0.105,1.05,0.209,15,3D,Fiber,Single,PLA
75.5,0.107,1.08,0.213,15,3D,Fiber,Single,PLA
76.6,0.108,1.09,0.217,15,3D,Fiber,Single,PLA
78,0.11,1.11,0.22,15,3D,Fiber,Single,PLA
79.1,0.112,1.13,0.223,15,3D,Fiber,Single,PLA
80.3,0.113,1.14,0.227,15,3D,Fiber,Single,PLA
81.5,0.115,1.16,0.23,15,3D,Fiber,Single,PLA
82.9,0.117,1.18,0.234,15,3D,Fiber,Single,PLA
84.1,0.119,1.2,0.238,15,3D,Fiber,Single,PLA
85.6,0.121,1.22,0.241,15,3D,Fiber,Single,PLA
86.6,0.122,1.23,0.245,15,3D,Fiber,Single,PLA
87.8,0.124,1.25,0.248,15,3D,Fiber,Single,PLA
89.1,0.126,1.27,0.252,15,3D,Fiber,Single,PLA
90.3,0.127,1.29,0.255,15,3D,Fiber,Single,PLA
91.5,0.129,1.3,0.259,15,3D,Fiber,Single,PLA
92.4,0.131,1.32,0.262,15,3D,Fiber,Single,PLA
93.7,0.133,1.33,0.266,15,3D,Fiber,Single,PLA
94.9,0.135,1.35,0.269,15,3D,Fiber,Single,PLA
96.6,0.136,1.38,0.273,15,3D,Fiber,Single,PLA
98,0.138,1.4,0.276,15,3D,Fiber,Single,PLA
98.6,0.14,1.4,0.28,15,3D,Fiber,Single,PLA
100,0.142,1.42,0.283,15,3D,Fiber,Single,PLA
101,0.143,1.44,0.287,15,3D,Fiber,Single,PLA
102,0.145,1.46,0.291,15,3D,Fiber,Single,PLA
103,0.147,1.47,0.294,15,3D,Fiber,Single,PLA
105,0.149,1.49,0.298,15,3D,Fiber,Single,PLA
106,0.151,1.51,0.301,15,3D,Fiber,Single,PLA
107,0.152,1.53,0.304,15,3D,Fiber,Single,PLA
108,0.154,1.54,0.308,15,3D,Fiber,Single,PLA
110,0.156,1.56,0.312,15,3D,Fiber,Single,PLA
111,0.158,1.58,0.315,15,3D,Fiber,Single,PLA
112,0.159,1.6,0.319,15,3D,Fiber,Single,PLA
113,0.161,1.62,0.322,15,3D,Fiber,Single,PLA
115,0.163,1.63,0.326,15,3D,Fiber,Single,PLA
115,0.165,1.64,0.329,15,3D,Fiber,Single,PLA
117,0.166,1.66,0.333,15,3D,Fiber,Single,PLA
118,0.168,1.68,0.337,15,3D,Fiber,Single,PLA
120,0.17,1.7,0.34,15,3D,Fiber,Single,PLA
121,0.172,1.72,0.344,15,3D,Fiber,Single,PLA
122,0.174,1.73,0.347,15,3D,Fiber,Single,PLA
123,0.175,1.75,0.351,15,3D,Fiber,Single,PLA
124,0.177,1.77,0.354,15,3D,Fiber,Single,PLA
125,0.179,1.78,0.357,15,3D,Fiber,Single,PLA
126,0.181,1.8,0.361,15,3D,Fiber,Single,PLA
128,0.182,1.82,0.365,15,3D,Fiber,Single,PLA
129,0.184,1.84,0.368,15,3D,Fiber,Single,PLA
130,0.186,1.85,0.372,15,3D,Fiber,Single,PLA
131,0.188,1.87,0.375,15,3D,Fiber,Single,PLA
132,0.189,1.89,0.379,15,3D,Fiber,Single,PLA
134,0.191,1.9,0.382,15,3D,Fiber,Single,PLA
135,0.193,1.92,0.386,15,3D,Fiber,Single,PLA
136,0.195,1.94,0.389,15,3D,Fiber,Single,PLA
137,0.196,1.95,0.393,15,3D,Fiber,Single,PLA
138,0.198,1.97,0.397,15,3D,Fiber,Single,PLA
140,0.2,1.99,0.4,15,3D,Fiber,Single,PLA
140,0.202,2,0.403,15,3D,Fiber,Single,PLA
142,0.203,2.02,0.407,15,3D,Fiber,Single,PLA
143,0.205,2.04,0.41,15,3D,Fiber,Single,PLA
144,0.207,2.05,0.414,15,3D,Fiber,Single,PLA
145,0.209,2.07,0.418,15,3D,Fiber,Single,PLA
147,0.211,2.09,0.421,15,3D,Fiber,Single,PLA
148,0.212,2.11,0.425,15,3D,Fiber,Single,PLA
149,0.214,2.13,0.428,15,3D,Fiber,Single,PLA
150,0.216,2.13,0.432,15,3D,Fiber,Single,PLA
151,0.218,2.15,0.435,15,3D,Fiber,Single,PLA
152,0.219,2.17,0.439,15,3D,Fiber,Single,PLA
154,0.221,2.19,0.442,15,3D,Fiber,Single,PLA
155,0.223,2.2,0.446,15,3D,Fiber,Single,PLA
156,0.225,2.22,0.45,15,3D,Fiber,Single,PLA
157,0.227,2.24,0.453,15,3D,Fiber,Single,PLA
158,0.228,2.26,0.457,15,3D,Fiber,Single,PLA
159,0.23,2.27,0.46,15,3D,Fiber,Single,PLA
161,0.232,2.29,0.464,15,3D,Fiber,Single,PLA
162,0.234,2.3,0.467,15,3D,Fiber,Single,PLA
163,0.235,2.32,0.471,15,3D,Fiber,Single,PLA
164,0.237,2.33,0.474,15,3D,Fiber,Single,PLA
165,0.239,2.35,0.478,15,3D,Fiber,Single,PLA
166,0.241,2.37,0.481,15,3D,Fiber,Single,PLA
167,0.242,2.38,0.485,15,3D,Fiber,Single,PLA
168,0.244,2.4,0.488,15,3D,Fiber,Single,PLA
170,0.246,2.42,0.492,15,3D,Fiber,Single,PLA
171,0.248,2.44,0.495,15,3D,Fiber,Single,PLA
172,0.249,2.45,0.499,15,3D,Fiber,Single,PLA
173,0.251,2.47,0.503,15,3D,Fiber,Single,PLA
174,0.253,2.48,0.506,15,3D,Fiber,Single,PLA
175,0.255,2.5,0.509,15,3D,Fiber,Single,PLA
177,0.256,2.52,0.513,15,3D,Fiber,Single,PLA
177,0.258,2.53,0.517,15,3D,Fiber,Single,PLA
179,0.26,2.55,0.52,15,3D,Fiber,Single,PLA
180,0.262,2.57,0.523,15,3D,Fiber,Single,PLA
181,0.264,2.59,0.527,15,3D,Fiber,Single,PLA
182,0.265,2.59,0.531,15,3D,Fiber,Single,PLA
184,0.267,2.62,0.534,15,3D,Fiber,Single,PLA
185,0.269,2.63,0.537,15,3D,Fiber,Single,PLA
186,0.271,2.64,0.541,15,3D,Fiber,Single,PLA
187,0.272,2.66,0.545,15,3D,Fiber,Single,PLA
188,0.274,2.68,0.548,15,3D,Fiber,Single,PLA
189,0.276,2.7,0.552,15,3D,Fiber,Single,PLA
191,0.278,2.72,0.555,15,3D,Fiber,Single,PLA
191,0.279,2.73,0.559,15,3D,Fiber,Single,PLA
193,0.281,2.75,0.562,15,3D,Fiber,Single,PLA
194,0.283,2.76,0.566,15,3D,Fiber,Single,PLA
195,0.285,2.78,0.57,15,3D,Fiber,Single,PLA
196,0.287,2.8,0.573,15,3D,Fiber,Single,PLA
198,0.288,2.81,0.577,15,3D,Fiber,Single,PLA
198,0.29,2.83,0.58,15,3D,Fiber,Single,PLA
200,0.292,2.84,0.584,15,3D,Fiber,Single,PLA
201,0.294,2.86,0.587,15,3D,Fiber,Single,PLA
202,0.295,2.88,0.591,15,3D,Fiber,Single,PLA
203,0.297,2.9,0.594,15,3D,Fiber,Single,PLA
204,0.299,2.91,0.598,15,3D,Fiber,Single,PLA
205,0.301,2.93,0.602,15,3D,Fiber,Single,PLA
207,0.303,2.94,0.605,15,3D,Fiber,Single,PLA
208,0.304,2.96,0.608,15,3D,Fiber,Single,PLA
209,0.306,2.98,0.612,15,3D,Fiber,Single,PLA
210,0.308,3,0.616,15,3D,Fiber,Single,PLA
211,0.31,3,0.619,15,3D,Fiber,Single,PLA
213,0.311,3.03,0.623,15,3D,Fiber,Single,PLA
213,0.313,3.04,0.626,15,3D,Fiber,Single,PLA
215,0.315,3.06,0.63,15,3D,Fiber,Single,PLA
216,0.317,3.07,0.633,15,3D,Fiber,Single,PLA
217,0.318,3.08,0.637,15,3D,Fiber,Single,PLA
218,0.32,3.1,0.64,15,3D,Fiber,Single,PLA
219,0.322,3.12,0.644,15,3D,Fiber,Single,PLA
220,0.324,3.14,0.648,15,3D,Fiber,Single,PLA
222,0.325,3.16,0.651,15,3D,Fiber,Single,PLA
223,0.327,3.17,0.655,15,3D,Fiber,Single,PLA
224,0.329,3.19,0.658,15,3D,Fiber,Single,PLA
225,0.331,3.21,0.661,15,3D,Fiber,Single,PLA
226,0.332,3.22,0.665,15,3D,Fiber,Single,PLA
227,0.334,3.23,0.669,15,3D,Fiber,Single,PLA
228,0.336,3.25,0.672,15,3D,Fiber,Single,PLA
229,0.338,3.26,0.676,15,3D,Fiber,Single,PLA
231,0.34,3.28,0.679,15,3D,Fiber,Single,PLA
232,0.341,3.3,0.683,15,3D,Fiber,Single,PLA
233,0.343,3.32,0.686,15,3D,Fiber,Single,PLA
234,0.345,3.33,0.69,15,3D,Fiber,Single,PLA
235,0.347,3.35,0.693,15,3D,Fiber,Single,PLA
236,0.349,3.36,0.697,15,3D,Fiber,Single,PLA
237,0.35,3.38,0.701,15,3D,Fiber,Single,PLA
239,0.352,3.4,0.704,15,3D,Fiber,Single,PLA
239,0.354,3.41,0.708,15,3D,Fiber,Single,PLA
241,0.356,3.43,0.711,15,3D,Fiber,Single,PLA
242,0.357,3.44,0.715,15,3D,Fiber,Single,PLA
243,0.359,3.46,0.718,15,3D,Fiber,Single,PLA
244,0.361,3.47,0.722,15,3D,Fiber,Single,PLA
245,0.363,3.49,0.726,15,3D,Fiber,Single,PLA
246,0.365,3.51,0.729,15,3D,Fiber,Single,PLA
248,0.366,3.53,0.733,15,3D,Fiber,Single,PLA
249,0.368,3.54,0.736,15,3D,Fiber,Single,PLA
250,0.37,3.56,0.74,15,3D,Fiber,Single,PLA
251,0.372,3.57,0.743,15,3D,Fiber,Single,PLA
252,0.373,3.59,0.747,15,3D,Fiber,Single,PLA
253,0.375,3.6,0.75,15,3D,Fiber,Single,PLA
254,0.377,3.62,0.754,15,3D,Fiber,Single,PLA
255,0.379,3.64,0.757,15,3D,Fiber,Single,PLA
256,0.38,3.65,0.761,15,3D,Fiber,Single,PLA
257,0.382,3.67,0.764,15,3D,Fiber,Single,PLA
258,0.384,3.68,0.768,15,3D,Fiber,Single,PLA
259,0.386,3.69,0.771,15,3D,Fiber,Single,PLA
261,0.387,3.72,0.775,15,3D,Fiber,Single,PLA
262,0.389,3.73,0.778,15,3D,Fiber,Single,PLA
263,0.391,3.74,0.782,15,3D,Fiber,Single,PLA
264,0.393,3.76,0.785,15,3D,Fiber,Single,PLA
265,0.394,3.78,0.789,15,3D,Fiber,Single,PLA
266,0.396,3.79,0.792,15,3D,Fiber,Single,PLA
267,0.398,3.8,0.796,15,3D,Fiber,Single,PLA
268,0.4,3.82,0.799,15,3D,Fiber,Single,PLA
269,0.401,3.84,0.803,15,3D,Fiber,Single,PLA
270,0.403,3.85,0.806,15,3D,Fiber,Single,PLA
271,0.405,3.87,0.81,15,3D,Fiber,Single,PLA
272,0.407,3.88,0.813,15,3D,Fiber,Single,PLA
273,0.408,3.89,0.817,15,3D,Fiber,Single,PLA
274,0.41,3.91,0.82,15,3D,Fiber,Single,PLA
276,0.412,3.93,0.824,15,3D,Fiber,Single,PLA
277,0.414,3.94,0.827,15,3D,Fiber,Single,PLA
278,0.415,3.96,0.831,15,3D,Fiber,Single,PLA
279,0.417,3.97,0.835,15,3D,Fiber,Single,PLA
280,0.419,3.98,0.838,15,3D,Fiber,Single,PLA
281,0.421,4,0.841,15,3D,Fiber,Single,PLA
282,0.422,4.01,0.845,15,3D,Fiber,Single,PLA
283,0.424,4.03,0.848,15,3D,Fiber,Single,PLA
284,0.426,4.05,0.852,15,3D,Fiber,Single,PLA
285,0.428,4.06,0.856,15,3D,Fiber,Single,PLA
286,0.43,4.08,0.859,15,3D,Fiber,Single,PLA
287,0.431,4.09,0.863,15,3D,Fiber,Single,PLA
288,0.433,4.11,0.866,15,3D,Fiber,Single,PLA
289,0.435,4.12,0.87,15,3D,Fiber,Single,PLA
291,0.437,4.14,0.873,15,3D,Fiber,Single,PLA
291,0.438,4.15,0.877,15,3D,Fiber,Single,PLA
293,0.44,4.17,0.88,15,3D,Fiber,Single,PLA
294,0.442,4.18,0.884,15,3D,Fiber,Single,PLA
295,0.444,4.2,0.887,15,3D,Fiber,Single,PLA
296,0.445,4.22,0.891,15,3D,Fiber,Single,PLA
297,0.447,4.23,0.894,15,3D,Fiber,Single,PLA
298,0.449,4.25,0.898,15,3D,Fiber,Single,PLA
299,0.451,4.26,0.901,15,3D,Fiber,Single,PLA
300,0.453,4.27,0.905,15,3D,Fiber,Single,PLA
301,0.454,4.29,0.909,15,3D,Fiber,Single,PLA
302,0.456,4.3,0.912,15,3D,Fiber,Single,PLA
303,0.458,4.32,0.916,15,3D,Fiber,Single,PLA
304,0.459,4.33,0.919,15,3D,Fiber,Single,PLA
305,0.461,4.35,0.923,15,3D,Fiber,Single,PLA
306,0.463,4.36,0.926,15,3D,Fiber,Single,PLA
308,0.465,4.38,0.93,15,3D,Fiber,Single,PLA
309,0.467,4.4,0.933,15,3D,Fiber,Single,PLA
309,0.468,4.41,0.937,15,3D,Fiber,Single,PLA
310,0.47,4.42,0.94,15,3D,Fiber,Single,PLA
312,0.472,4.44,0.944,15,3D,Fiber,Single,PLA
313,0.474,4.45,0.947,15,3D,Fiber,Single,PLA
314,0.476,4.47,0.951,15,3D,Fiber,Single,PLA
315,0.477,4.48,0.955,15,3D,Fiber,Single,PLA
316,0.479,4.5,0.958,15,3D,Fiber,Single,PLA
317,0.481,4.52,0.962,15,3D,Fiber,Single,PLA
318,0.483,4.53,0.965,15,3D,Fiber,Single,PLA
319,0.484,4.54,0.969,15,3D,Fiber,Single,PLA
320,0.486,4.55,0.972,15,3D,Fiber,Single,PLA
321,0.488,4.57,0.976,15,3D,Fiber,Single,PLA
322,0.49,4.58,0.979,15,3D,Fiber,Single,PLA
323,0.492,4.6,0.983,15,3D,Fiber,Single,PLA
324,0.493,4.62,0.987,15,3D,Fiber,Single,PLA
325,0.495,4.63,0.99,15,3D,Fiber,Single,PLA
326,0.497,4.65,0.994,15,3D,Fiber,Single,PLA
327,0.499,4.66,0.997,15,3D,Fiber,Single,PLA
328,0.5,4.67,1,15,3D,Fiber,Single,PLA
329,0.502,4.69,1,15,3D,Fiber,Single,PLA
330,0.504,4.7,1.01,15,3D,Fiber,Single,PLA
331,0.506,4.72,1.01,15,3D,Fiber,Single,PLA
332,0.508,4.74,1.02,15,3D,Fiber,Single,PLA
333,0.509,4.75,1.02,15,3D,Fiber,Single,PLA
334,0.511,4.76,1.02,15,3D,Fiber,Single,PLA
335,0.513,4.78,1.03,15,3D,Fiber,Single,PLA
337,0.515,4.79,1.03,15,3D,Fiber,Single,PLA
338,0.516,4.81,1.03,15,3D,Fiber,Single,PLA
338,0.518,4.82,1.04,15,3D,Fiber,Single,PLA
340,0.52,4.84,1.04,15,3D,Fiber,Single,PLA
341,0.522,4.85,1.04,15,3D,Fiber,Single,PLA
341,0.523,4.86,1.05,15,3D,Fiber,Single,PLA
342,0.525,4.88,1.05,15,3D,Fiber,Single,PLA
343,0.527,4.89,1.05,15,3D,Fiber,Single,PLA
345,0.529,4.91,1.06,15,3D,Fiber,Single,PLA
346,0.53,4.92,1.06,15,3D,Fiber,Single,PLA
346,0.532,4.94,1.06,15,3D,Fiber,Single,PLA
347,0.534,4.95,1.07,15,3D,Fiber,Single,PLA
349,0.536,4.97,1.07,15,3D,Fiber,Single,PLA
350,0.537,4.98,1.07,15,3D,Fiber,Single,PLA
351,0.539,4.99,1.08,15,3D,Fiber,Single,PLA
351,0.541,5.01,1.08,15,3D,Fiber,Single,PLA
353,0.543,5.02,1.09,15,3D,Fiber,Single,PLA
354,0.545,5.04,1.09,15,3D,Fiber,Single,PLA
355,0.546,5.05,1.09,15,3D,Fiber,Single,PLA
356,0.548,5.06,1.1,15,3D,Fiber,Single,PLA
356,0.55,5.08,1.1,15,3D,Fiber,Single,PLA
357,0.552,5.09,1.1,15,3D,Fiber,Single,PLA
359,0.553,5.11,1.11,15,3D,Fiber,Single,PLA
359,0.555,5.12,1.11,15,3D,Fiber,Single,PLA
360,0.557,5.13,1.11,15,3D,Fiber,Single,PLA
361,0.559,5.14,1.12,15,3D,Fiber,Single,PLA
363,0.561,5.17,1.12,15,3D,Fiber,Single,PLA
363,0.562,5.17,1.12,15,3D,Fiber,Single,PLA
365,0.564,5.19,1.13,15,3D,Fiber,Single,PLA
365,0.566,5.2,1.13,15,3D,Fiber,Single,PLA
366,0.568,5.22,1.14,15,3D,Fiber,Single,PLA
368,0.569,5.24,1.14,15,3D,Fiber,Single,PLA
368,0.571,5.24,1.14,15,3D,Fiber,Single,PLA
369,0.573,5.26,1.15,15,3D,Fiber,Single,PLA
370,0.575,5.27,1.15,15,3D,Fiber,Single,PLA
371,0.576,5.29,1.15,15,3D,Fiber,Single,PLA
372,0.578,5.3,1.16,15,3D,Fiber,Single,PLA
373,0.58,5.31,1.16,15,3D,Fiber,Single,PLA
374,0.582,5.33,1.16,15,3D,Fiber,Single,PLA
375,0.584,5.34,1.17,15,3D,Fiber,Single,PLA
376,0.585,5.36,1.17,15,3D,Fiber,Single,PLA
377,0.587,5.37,1.17,15,3D,Fiber,Single,PLA
378,0.589,5.38,1.18,15,3D,Fiber,Single,PLA
379,0.591,5.4,1.18,15,3D,Fiber,Single,PLA
380,0.592,5.41,1.18,15,3D,Fiber,Single,PLA
381,0.594,5.42,1.19,15,3D,Fiber,Single,PLA
382,0.596,5.44,1.19,15,3D,Fiber,Single,PLA
383,0.598,5.46,1.2,15,3D,Fiber,Single,PLA
384,0.599,5.46,1.2,15,3D,Fiber,Single,PLA
385,0.601,5.48,1.2,15,3D,Fiber,Single,PLA
386,0.603,5.49,1.21,15,3D,Fiber,Single,PLA
387,0.605,5.51,1.21,15,3D,Fiber,Single,PLA
388,0.606,5.52,1.21,15,3D,Fiber,Single,PLA
389,0.608,5.54,1.22,15,3D,Fiber,Single,PLA
390,0.61,5.55,1.22,15,3D,Fiber,Single,PLA
390,0.612,5.56,1.22,15,3D,Fiber,Single,PLA
392,0.614,5.58,1.23,15,3D,Fiber,Single,PLA
392,0.615,5.59,1.23,15,3D,Fiber,Single,PLA
393,0.617,5.6,1.23,15,3D,Fiber,Single,PLA
394,0.619,5.62,1.24,15,3D,Fiber,Single,PLA
395,0.621,5.63,1.24,15,3D,Fiber,Single,PLA
396,0.622,5.64,1.24,15,3D,Fiber,Single,PLA
397,0.624,5.66,1.25,15,3D,Fiber,Single,PLA
398,0.626,5.67,1.25,15,3D,Fiber,Single,PLA
399,0.628,5.68,1.26,15,3D,Fiber,Single,PLA
400,0.63,5.7,1.26,15,3D,Fiber,Single,PLA
401,0.631,5.71,1.26,15,3D,Fiber,Single,PLA
402,0.633,5.72,1.27,15,3D,Fiber,Single,PLA
404,0.635,5.75,1.27,15,3D,Fiber,Single,PLA
404,0.637,5.75,1.27,15,3D,Fiber,Single,PLA
405,0.638,5.76,1.28,15,3D,Fiber,Single,PLA
406,0.64,5.78,1.28,15,3D,Fiber,Single,PLA
407,0.642,5.79,1.28,15,3D,Fiber,Single,PLA
408,0.644,5.81,1.29,15,3D,Fiber,Single,PLA
408,0.646,5.81,1.29,15,3D,Fiber,Single,PLA
409,0.647,5.83,1.29,15,3D,Fiber,Single,PLA
410,0.649,5.85,1.3,15,3D,Fiber,Single,PLA
411,0.651,5.86,1.3,15,3D,Fiber,Single,PLA
412,0.652,5.87,1.3,15,3D,Fiber,Single,PLA
413,0.654,5.88,1.31,15,3D,Fiber,Single,PLA
414,0.656,5.9,1.31,15,3D,Fiber,Single,PLA
415,0.658,5.91,1.32,15,3D,Fiber,Single,PLA
416,0.66,5.93,1.32,15,3D,Fiber,Single,PLA
