Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.666,0,-0.00932,0,15,Hex,Fiber,Single,PLA
-0.308,0,-0.00431,0,15,Hex,Fiber,Single,PLA
-0.451,0,-0.0063,0,15,Hex,Fiber,Single,PLA
-0.608,0,-0.0085,0,15,Hex,Fiber,Single,PLA
-0.586,0,-0.00819,0,15,Hex,Fiber,Single,PLA
-0.379,0,-0.0053,0,15,Hex,Fiber,Single,PLA
-0.347,0,-0.00485,0,15,Hex,Fiber,Single,PLA
-0.0664,0,-0.000929,0,15,Hex,Fiber,Single,PLA
-0.26,0,-0.00363,0,15,Hex,Fiber,Single,PLA
-0.603,0,-0.00844,0,15,Hex,Fiber,Single,PLA
-0.488,0,-0.00683,0,15,Hex,Fiber,Single,PLA
-0.48,0,-0.00672,0,15,Hex,Fiber,Single,PLA
-0.204,0,-0.00286,0,15,Hex,Fiber,Single,PLA
-0.397,0,-0.00556,0,15,Hex,Fiber,Single,PLA
-0.33,0,-0.00462,0,15,Hex,Fiber,Single,PLA
-0.123,0,-0.00173,0,15,Hex,Fiber,Single,PLA
-0.351,0,-0.00491,0,15,Hex,Fiber,Single,PLA
-0.385,0,-0.00538,0,15,Hex,Fiber,Single,PLA
-0.398,0,-0.00556,0,15,Hex,Fiber,Single,PLA
-0.492,0,-0.00688,0,15,Hex,Fiber,Single,PLA
-0.378,0,-0.00529,0,15,Hex,Fiber,Single,PLA
-0.4,0,-0.00559,0,15,Hex,Fiber,Single,PLA
-0.4,0,-0.0056,0,15,Hex,Fiber,Single,PLA
-0.21,0,-0.00294,0,15,Hex,Fiber,Single,PLA
-0.258,0,-0.00361,0,15,Hex,Fiber,Single,PLA
-0.47,0,-0.00658,0,15,Hex,Fiber,Single,PLA
-0.354,0,-0.00495,0,15,Hex,Fiber,Single,PLA
0.817,0.00177,0.0114,0.00353,15,Hex,Fiber,Single,PLA
2.73,0.0041,0.0382,0.0082,15,Hex,Fiber,Single,PLA
5.46,0.00678,0.0764,0.0136,15,Hex,Fiber,Single,PLA
8.25,0.00938,0.115,0.0188,15,Hex,Fiber,Single,PLA
10.2,0.012,0.143,0.024,15,Hex,Fiber,Single,PLA
13.2,0.0146,0.185,0.0292,15,Hex,Fiber,Single,PLA
16.1,0.0173,0.226,0.0346,15,Hex,Fiber,Single,PLA
19.2,0.0201,0.268,0.0402,15,Hex,Fiber,Single,PLA
22.2,0.0227,0.31,0.0454,15,Hex,Fiber,Single,PLA
