Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.532,0,-0.00772,0,15,Triganular ,Fiber,Single,PLA
-0.581,0,-0.00843,0,15,Triganular ,Fiber,Single,PLA
-0.581,0,-0.00843,0,15,Triganular ,Fiber,Single,PLA
-0.581,0,-0.00843,0,15,Triganular ,Fiber,Single,PLA
-0.313,0,-0.00454,0,15,Triganular ,Fiber,Single,PLA
-0.559,0,-0.00811,0,15,Triganular ,Fiber,Single,PLA
-0.559,0,-0.00811,0,15,Triganular ,Fiber,Single,PLA
-0.315,0,-0.00457,0,15,Triganular ,Fiber,Single,PLA
-0.448,0,-0.00651,0,15,Triganular ,Fiber,Single,PLA
-0.332,0,-0.00482,0,15,Triganular ,Fiber,Single,PLA
-0.536,0,-0.00778,0,15,Triganular ,Fiber,Single,PLA
-0.527,0,-0.00765,0,15,Triganular ,Fiber,Single,PLA
-0.17,0,-0.00247,0,15,Triganular ,Fiber,Single,PLA
-0.579,0,-0.0084,0,15,Triganular ,Fiber,Single,PLA
-0.616,0,-0.00894,0,15,Triganular ,Fiber,Single,PLA
-0.295,0,-0.00428,0,15,Triganular ,Fiber,Single,PLA
-0.471,0,-0.00684,0,15,Triganular ,Fiber,Single,PLA
-0.493,0,-0.00716,0,15,Triganular ,Fiber,Single,PLA
-0.434,0,-0.0063,0,15,Triganular ,Fiber,Single,PLA
-0.508,0,-0.00737,0,15,Triganular ,Fiber,Single,PLA
-0.681,0,-0.00988,0,15,Triganular ,Fiber,Single,PLA
-0.65,0,-0.00943,0,15,Triganular ,Fiber,Single,PLA
-0.698,0,-0.0101,0,15,Triganular ,Fiber,Single,PLA
-0.399,0,-0.00579,0,15,Triganular ,Fiber,Single,PLA
-0.624,0,-0.00905,0,15,Triganular ,Fiber,Single,PLA
-0.521,0,-0.00757,0,15,Triganular ,Fiber,Single,PLA
-0.516,0,-0.00749,0,15,Triganular ,Fiber,Single,PLA
-0.551,0,-0.008,0,15,Triganular ,Fiber,Single,PLA
-0.476,0,-0.00691,0,15,Triganular ,Fiber,Single,PLA
-0.687,0,-0.00997,0,15,Triganular ,Fiber,Single,PLA
-0.575,0,-0.00835,0,15,Triganular ,Fiber,Single,PLA
-0.345,0,-0.005,0,15,Triganular ,Fiber,Single,PLA
-0.544,0,-0.00789,0,15,Triganular ,Fiber,Single,PLA
-0.49,0,-0.00712,0,15,Triganular ,Fiber,Single,PLA
-0.547,0,-0.00794,0,15,Triganular ,Fiber,Single,PLA
-0.551,0,-0.008,0,15,Triganular ,Fiber,Single,PLA
-0.611,0,-0.00886,0,15,Triganular ,Fiber,Single,PLA
-0.716,0,-0.0104,0,15,Triganular ,Fiber,Single,PLA
-0.603,0,-0.00876,0,15,Triganular ,Fiber,Single,PLA
