Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
0.827,0.0,0.0118,0.0,30.0,Hex,Fiber,Single,PLA
0.367,0.0,0.00522,0.0,30.0,Hex,Fiber,Single,PLA
0.367,0.0,0.00522,0.0,30.0,Hex,Fiber,Single,PLA
0.367,0.0,0.00522,0.0,30.0,Hex,Fiber,Single,PLA
0.554,0.0,0.0079,0.0,30.0,Hex,Fiber,Single,PLA
0.554,0.0,0.0079,0.0,30.0,Hex,Fiber,Single,PLA
0.626,0.0,0.00892,0.0,30.0,Hex,Fiber,Single,PLA
0.534,0.0,0.00761,0.0,30.0,Hex,Fiber,Single,PLA
0.86,0.0,0.0122,0.0,30.0,Hex,Fiber,Single,PLA
0.738,0.0,0.0105,0.0,30.0,Hex,Fiber,Single,PLA
0.737,0.0,0.0105,0.0,30.0,Hex,Fiber,Single,PLA
0.707,0.0,0.0101,0.0,30.0,Hex,Fiber,Single,PLA
0.705,0.0,0.01,0.0,30.0,Hex,Fiber,Single,PLA
0.674,0.0,0.0096,0.0,30.0,Hex,Fiber,Single,PLA
0.648,0.0,0.00923,0.0,30.0,Hex,Fiber,Single,PLA
0.594,0.0,0.00847,0.0,30.0,Hex,Fiber,Single,PLA
0.525,0.0,0.00747,0.0,30.0,Hex,Fiber,Single,PLA
0.801,0.0,0.0114,0.0,30.0,Hex,Fiber,Single,PLA
0.623,0.0,0.00888,0.0,30.0,Hex,Fiber,Single,PLA
0.639,0.0,0.00911,0.0,30.0,Hex,Fiber,Single,PLA
0.638,0.0,0.00908,0.0,30.0,Hex,Fiber,Single,PLA
0.568,0.0,0.00808,0.0,30.0,Hex,Fiber,Single,PLA
0.525,0.0,0.00748,0.0,30.0,Hex,Fiber,Single,PLA
0.773,0.0,0.011,0.0,30.0,Hex,Fiber,Single,PLA
0.716,0.0,0.0102,0.0,30.0,Hex,Fiber,Single,PLA
0.613,0.0,0.00873,0.0,30.0,Hex,Fiber,Single,PLA
0.891,0.0,0.0127,0.0,30.0,Hex,Fiber,Single,PLA
0.631,0.0,0.00899,0.0,30.0,Hex,Fiber,Single,PLA
0.511,0.0,0.00727,0.0,30.0,Hex,Fiber,Single,PLA
0.815,0.0,0.0116,0.0,30.0,Hex,Fiber,Single,PLA
0.484,0.0,0.00689,0.0,30.0,Hex,Fiber,Single,PLA
0.816,0.0,0.0116,0.0,30.0,Hex,Fiber,Single,PLA
0.704,0.0,0.01,0.0,30.0,Hex,Fiber,Single,PLA
0.771,0.0,0.011,0.0,30.0,Hex,Fiber,Single,PLA
0.594,0.0,0.00846,0.0,30.0,Hex,Fiber,Single,PLA
0.481,0.0,0.00685,0.0,30.0,Hex,Fiber,Single,PLA
0.426,0.0,0.00607,0.0,30.0,Hex,Fiber,Single,PLA
0.626,0.0,0.00892,0.0,30.0,Hex,Fiber,Single,PLA
0.682,0.0,0.00972,0.0,30.0,Hex,Fiber,Single,PLA
0.769,0.000478,0.011,0.000957,30.0,Hex,Fiber,Single,PLA
2.62,0.00209,0.0373,0.00417,30.0,Hex,Fiber,Single,PLA
4.23,0.004,0.0603,0.008,30.0,Hex,Fiber,Single,PLA
5.02,0.00533,0.0716,0.0107,30.0,Hex,Fiber,Single,PLA
7.13,0.00735,0.102,0.0147,30.0,Hex,Fiber,Single,PLA
8.69,0.00907,0.124,0.0181,30.0,Hex,Fiber,Single,PLA
10.5,0.0108,0.149,0.0216,30.0,Hex,Fiber,Single,PLA
12.1,0.0126,0.172,0.0252,30.0,Hex,Fiber,Single,PLA
14,0.0144,0.2,0.0288,30.0,Hex,Fiber,Single,PLA
15.9,0.0162,0.227,0.0325,30.0,Hex,Fiber,Single,PLA
18.2,0.0182,0.259,0.0363,30.0,Hex,Fiber,Single,PLA
19.9,0.02,0.284,0.0399,30.0,Hex,Fiber,Single,PLA
21.9,0.0218,0.312,0.0436,30.0,Hex,Fiber,Single,PLA
23.6,0.0236,0.335,0.0472,30.0,Hex,Fiber,Single,PLA
25.5,0.0254,0.363,0.0508,30.0,Hex,Fiber,Single,PLA
27.7,0.0273,0.395,0.0547,30.0,Hex,Fiber,Single,PLA
29.4,0.0291,0.418,0.0582,30.0,Hex,Fiber,Single,PLA
31.3,0.0309,0.446,0.0617,30.0,Hex,Fiber,Single,PLA
33.1,0.0328,0.471,0.0656,30.0,Hex,Fiber,Single,PLA
35.1,0.0345,0.5,0.069,30.0,Hex,Fiber,Single,PLA
