Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,Mesh Type,No of Mesh Layers,Base Material
0.742,0,0.0108,0,15,Hex,Without mesh,0,PTA
0.782,0,0.0114,0,15,Hex,Without mesh,0,PTA
0.782,0,0.0114,0,15,Hex,Without mesh,0,PTA
0.755,0,0.011,0,15,Hex,Without mesh,0,PTA
0.755,0,0.011,0,15,Hex,Without mesh,0,PTA
0.664,0,0.00963,0,15,Hex,Without mesh,0,PTA
0.99,0,0.0144,0,15,Hex,Without mesh,0,PTA
0.444,0,0.00644,0,15,Hex,Without mesh,0,PTA
1.01,0,0.0147,0,15,Hex,Without mesh,0,PTA
1.05,0,0.0152,0,15,Hex,Without mesh,0,PTA
0.888,0,0.0129,0,15,Hex,Without mesh,0,PTA
0.671,0,0.00974,0,15,Hex,Without mesh,0,PTA
0.793,0,0.0115,0,15,Hex,Without mesh,0,PTA
0.853,0,0.0124,0,15,Hex,Without mesh,0,PTA
0.899,0,0.013,0,15,Hex,Without mesh,0,PTA
0.582,0,0.00844,0,15,Hex,Without mesh,0,PTA
1.09,0,0.0158,0,15,Hex,Without mesh,0,PTA
0.865,0,0.0126,0,15,Hex,Without mesh,0,PTA
1.07,0,0.0155,0,15,Hex,Without mesh,0,PTA
0.752,0,0.0109,0,15,Hex,Without mesh,0,PTA
0.928,0,0.0135,0,15,Hex,Without mesh,0,PTA
0.963,0,0.014,0,15,Hex,Without mesh,0,PTA
1.1,0,0.0159,0,15,Hex,Without mesh,0,PTA
0.714,0,0.0104,0,15,Hex,Without mesh,0,PTA
1,0,0.0146,0,15,Hex,Without mesh,0,PTA
0.836,0,0.0121,0,15,Hex,Without mesh,0,PTA
0.809,0.0001,0.0117,0.0002,15,Hex,Without mesh,0,PTA
2.58,0.00238,0.0374,0.00476,15,Hex,Without mesh,0,PTA
4.2,0.00479,0.061,0.00958,15,Hex,Without mesh,0,PTA
6.29,0.00741,0.0912,0.0148,15,Hex,Without mesh,0,PTA
7.99,0.00992,0.116,0.0198,15,Hex,Without mesh,0,PTA
9.84,0.0123,0.143,0.0247,15,Hex,Without mesh,0,PTA
11.9,0.0149,0.173,0.0299,15,Hex,Without mesh,0,PTA
14,0.0176,0.203,0.0351,15,Hex,Without mesh,0,PTA
16.5,0.0202,0.239,0.0404,15,Hex,Without mesh,0,PTA
18.5,0.0227,0.269,0.0454,15,Hex,Without mesh,0,PTA
20.4,0.0252,0.296,0.0504,15,Hex,Without mesh,0,PTA
22.6,0.0279,0.328,0.0558,15,Hex,Without mesh,0,PTA
24.6,0.0304,0.358,0.0609,15,Hex,Without mesh,0,PTA
26.9,0.033,0.39,0.0661,15,Hex,Without mesh,0,PTA
28.6,0.0356,0.416,0.0711,15,Hex,Without mesh,0,PTA
30.8,0.0381,0.447,0.0761,15,Hex,Without mesh,0,PTA
31.6,0.0401,0.459,0.0801,15,Hex,Without mesh,0,PTA
34.5,0.0434,0.501,0.0868,15,Hex,Without mesh,0,PTA
36.7,0.0458,0.533,0.0916,15,Hex,Without mesh,0,PTA
38.6,0.0483,0.56,0.0966,15,Hex,Without mesh,0,PTA
40.4,0.0507,0.586,0.101,15,Hex,Without mesh,0,PTA
42.3,0.0533,0.614,0.107,15,Hex,Without mesh,0,PTA
43.9,0.0559,0.638,0.112,15,Hex,Without mesh,0,PTA
47.7,0.0609,0.693,0.122,15,Hex,Without mesh,0,PTA
47.8,0.061,0.694,0.122,15,Hex,Without mesh,0,PTA
49.9,0.0635,0.725,0.127,15,Hex,Without mesh,0,PTA
51.4,0.066,0.746,0.132,15,Hex,Without mesh,0,PTA
53.6,0.0686,0.778,0.137,15,Hex,Without mesh,0,PTA
55.3,0.0712,0.803,0.142,15,Hex,Without mesh,0,PTA
57.4,0.0737,0.833,0.147,15,Hex,Without mesh,0,PTA
59.2,0.0761,0.859,0.152,15,Hex,Without mesh,0,PTA
61.1,0.0787,0.886,0.157,15,Hex,Without mesh,0,PTA
63,0.0813,0.914,0.163,15,Hex,Without mesh,0,PTA
64.7,0.0839,0.939,0.168,15,Hex,Without mesh,0,PTA
66.9,0.0863,0.97,0.173,15,Hex,Without mesh,0,PTA
68.6,0.0889,0.995,0.178,15,Hex,Without mesh,0,PTA
70.6,0.0913,1.02,0.183,15,Hex,Without mesh,0,PTA
72.3,0.094,1.05,0.188,15,Hex,Without mesh,0,PTA
74.2,0.0965,1.08,0.193,15,Hex,Without mesh,0,PTA
76.1,0.099,1.1,0.198,15,Hex,Without mesh,0,PTA
77.6,0.101,1.13,0.203,15,Hex,Without mesh,0,PTA
79.7,0.104,1.16,0.208,15,Hex,Without mesh,0,PTA
81.5,0.107,1.18,0.213,15,Hex,Without mesh,0,PTA
83.3,0.109,1.21,0.218,15,Hex,Without mesh,0,PTA
85.2,0.112,1.24,0.223,15,Hex,Without mesh,0,PTA
86.8,0.114,1.26,0.228,15,Hex,Without mesh,0,PTA
88.8,0.117,1.29,0.233,15,Hex,Without mesh,0,PTA
90.5,0.119,1.31,0.238,15,Hex,Without mesh,0,PTA
92.4,0.122,1.34,0.243,15,Hex,Without mesh,0,PTA
94.3,0.124,1.37,0.248,15,Hex,Without mesh,0,PTA
95.8,0.127,1.39,0.253,15,Hex,Without mesh,0,PTA
97.5,0.129,1.42,0.258,15,Hex,Without mesh,0,PTA
99.4,0.132,1.44,0.263,15,Hex,Without mesh,0,PTA
101,0.134,1.47,0.268,15,Hex,Without mesh,0,PTA
103,0.137,1.49,0.273,15,Hex,Without mesh,0,PTA
105,0.139,1.52,0.278,15,Hex,Without mesh,0,PTA
107,0.142,1.55,0.283,15,Hex,Without mesh,0,PTA
108,0.144,1.57,0.288,15,Hex,Without mesh,0,PTA
110,0.147,1.6,0.293,15,Hex,Without mesh,0,PTA
112,0.149,1.63,0.298,15,Hex,Without mesh,0,PTA
114,0.152,1.65,0.303,15,Hex,Without mesh,0,PTA
115,0.154,1.68,0.308,15,Hex,Without mesh,0,PTA
117,0.157,1.7,0.313,15,Hex,Without mesh,0,PTA
119,0.159,1.73,0.318,15,Hex,Without mesh,0,PTA
121,0.162,1.76,0.324,15,Hex,Without mesh,0,PTA
123,0.164,1.78,0.329,15,Hex,Without mesh,0,PTA
124,0.167,1.8,0.333,15,Hex,Without mesh,0,PTA
126,0.169,1.83,0.339,15,Hex,Without mesh,0,PTA
128,0.172,1.86,0.344,15,Hex,Without mesh,0,PTA
129,0.174,1.88,0.349,15,Hex,Without mesh,0,PTA
132,0.177,1.91,0.354,15,Hex,Without mesh,0,PTA
133,0.179,1.92,0.359,15,Hex,Without mesh,0,PTA
135,0.182,1.95,0.364,15,Hex,Without mesh,0,PTA
136,0.184,1.98,0.369,15,Hex,Without mesh,0,PTA
138,0.187,2.01,0.374,15,Hex,Without mesh,0,PTA
140,0.189,2.03,0.379,15,Hex,Without mesh,0,PTA
142,0.192,2.05,0.384,15,Hex,Without mesh,0,PTA
143,0.194,2.08,0.389,15,Hex,Without mesh,0,PTA
145,0.197,2.11,0.394,15,Hex,Without mesh,0,PTA
147,0.199,2.14,0.399,15,Hex,Without mesh,0,PTA
149,0.202,2.16,0.404,15,Hex,Without mesh,0,PTA
150,0.204,2.18,0.409,15,Hex,Without mesh,0,PTA
152,0.207,2.21,0.414,15,Hex,Without mesh,0,PTA
154,0.209,2.23,0.419,15,Hex,Without mesh,0,PTA
156,0.212,2.26,0.424,15,Hex,Without mesh,0,PTA
158,0.214,2.29,0.429,15,Hex,Without mesh,0,PTA
159,0.217,2.31,0.434,15,Hex,Without mesh,0,PTA
161,0.219,2.34,0.439,15,Hex,Without mesh,0,PTA
163,0.222,2.36,0.444,15,Hex,Without mesh,0,PTA
165,0.225,2.39,0.449,15,Hex,Without mesh,0,PTA
166,0.227,2.41,0.454,15,Hex,Without mesh,0,PTA
167,0.229,2.43,0.459,15,Hex,Without mesh,0,PTA
170,0.232,2.47,0.464,15,Hex,Without mesh,0,PTA
171,0.235,2.49,0.469,15,Hex,Without mesh,0,PTA
173,0.237,2.52,0.474,15,Hex,Without mesh,0,PTA
175,0.24,2.54,0.479,15,Hex,Without mesh,0,PTA
177,0.242,2.56,0.484,15,Hex,Without mesh,0,PTA
178,0.245,2.59,0.489,15,Hex,Without mesh,0,PTA
180,0.247,2.62,0.494,15,Hex,Without mesh,0,PTA
182,0.25,2.64,0.499,15,Hex,Without mesh,0,PTA
184,0.252,2.67,0.504,15,Hex,Without mesh,0,PTA
185,0.255,2.69,0.509,15,Hex,Without mesh,0,PTA
187,0.257,2.71,0.514,15,Hex,Without mesh,0,PTA
189,0.26,2.74,0.519,15,Hex,Without mesh,0,PTA
190,0.262,2.76,0.524,15,Hex,Without mesh,0,PTA
192,0.265,2.79,0.529,15,Hex,Without mesh,0,PTA
194,0.267,2.81,0.534,15,Hex,Without mesh,0,PTA
196,0.27,2.84,0.539,15,Hex,Without mesh,0,PTA
197,0.272,2.86,0.544,15,Hex,Without mesh,0,PTA
199,0.275,2.89,0.549,15,Hex,Without mesh,0,PTA
200,0.277,2.91,0.554,15,Hex,Without mesh,0,PTA
202,0.28,2.94,0.559,15,Hex,Without mesh,0,PTA
204,0.282,2.95,0.564,15,Hex,Without mesh,0,PTA
206,0.285,2.99,0.569,15,Hex,Without mesh,0,PTA
208,0.287,3.01,0.575,15,Hex,Without mesh,0,PTA
209,0.29,3.04,0.58,15,Hex,Without mesh,0,PTA
211,0.292,3.06,0.584,15,Hex,Without mesh,0,PTA
212,0.295,3.08,0.589,15,Hex,Without mesh,0,PTA
214,0.297,3.11,0.595,15,Hex,Without mesh,0,PTA
