Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-1.26,0,-0.0183,0,30,Tri,Fiber,Single,PLA
-1.23,0,-0.0178,0,30,Tri,Fiber,Single,PLA
-1.23,0,-0.0178,0,30,Tri,Fiber,Single,PLA
-1.27,0,-0.0185,0,30,Tri,Fiber,Single,PLA
-1.17,0,-0.0169,0,30,Tri,Fiber,Single,PLA
-1.17,0,-0.0169,0,30,Tri,Fiber,Single,PLA
-1.17,0,-0.0169,0,30,Tri,Fiber,Single,PLA
-1.45,0,-0.0211,0,30,Tri,Fiber,Single,PLA
-1.51,0,-0.0219,0,30,Tri,Fiber,Single,PLA
-1.48,0,-0.0215,0,30,Tri,Fiber,Single,PLA
-1.33,0,-0.0194,0,30,Tri,Fiber,Single,PLA
-1.34,0,-0.0194,0,30,Tri,Fiber,Single,PLA
-1.52,0,-0.0221,0,30,Tri,Fiber,Single,PLA
-1.59,0,-0.023,0,30,Tri,Fiber,Single,PLA
-1.3,0,-0.0189,0,30,Tri,Fiber,Single,PLA
-1.57,0,-0.0228,0,30,Tri,Fiber,Single,PLA
-1.53,0,-0.0223,0,30,Tri,Fiber,Single,PLA
-1.56,0,-0.0226,0,30,Tri,Fiber,Single,PLA
-1.79,0,-0.026,0,30,Tri,Fiber,Single,PLA
-1.42,0,-0.0206,0,30,Tri,Fiber,Single,PLA
-1.51,0,-0.022,0,30,Tri,Fiber,Single,PLA
-1.32,0,-0.0191,0,30,Tri,Fiber,Single,PLA
-1.45,0,-0.0211,0,30,Tri,Fiber,Single,PLA
-1.6,0,-0.0232,0,30,Tri,Fiber,Single,PLA
-1.56,0,-0.0227,0,30,Tri,Fiber,Single,PLA
-1.72,0,-0.0249,0,30,Tri,Fiber,Single,PLA
-1.58,0,-0.023,0,30,Tri,Fiber,Single,PLA
-1.53,0,-0.0223,0,30,Tri,Fiber,Single,PLA
-1.69,0,-0.0245,0,30,Tri,Fiber,Single,PLA
