Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,mesh Type,Number of mesh layers,BaseMaterial
0.228,0,0.00351,0,15,3D,Without Mesh,0,PLA
0.121,0,0.00186,0,15,3D,Without Mesh,0,PLA
0.0894,0,0.00138,0,15,3D,Without Mesh,0,PLA
0.0894,0,0.00138,0,15,3D,Without Mesh,0,PLA
0.0894,0,0.00138,0,15,3D,Without Mesh,0,PLA
0.156,0,0.00241,0,15,3D,Without Mesh,0,PLA
0.156,0,0.00241,0,15,3D,Without Mesh,0,PLA
0.0878,0,0.00135,0,15,3D,Without Mesh,0,PLA
0.245,0,0.00377,0,15,3D,Without Mesh,0,PLA
0.174,0,0.00268,0,15,3D,Without Mesh,0,PLA
0.268,0,0.00412,0,15,3D,Without Mesh,0,PLA
0.264,0,0.00407,0,15,3D,Without Mesh,0,PLA
0.388,0,0.00596,0,15,3D,Without Mesh,0,PLA
0.325,0,0.005,0,15,3D,Without Mesh,0,PLA
0.554,0,0.00852,0,15,3D,Without Mesh,0,PLA
0.197,0,0.00303,0,15,3D,Without Mesh,0,PLA
0.336,0,0.00518,0,15,3D,Without Mesh,0,PLA
0.164,0,0.00253,0,15,3D,Without Mesh,0,PLA
0.348,0,0.00535,0,15,3D,Without Mesh,0,PLA
0.3,0,0.00461,0,15,3D,Without Mesh,0,PLA
0.293,0,0.00451,0,15,3D,Without Mesh,0,PLA
0.195,0,0.003,0,15,3D,Without Mesh,0,PLA
0.223,0,0.00343,0,15,3D,Without Mesh,0,PLA
0.113,0,0.00174,0,15,3D,Without Mesh,0,PLA
0.174,0,0.00267,0,15,3D,Without Mesh,0,PLA
0.329,0,0.00507,0,15,3D,Without Mesh,0,PLA
0.0612,0,0.000941,0,15,3D,Without Mesh,0,PLA
0.455,0,0.007,0,15,3D,Without Mesh,0,PLA
-0.0193,0,-0.000297,0,15,3D,Without Mesh,0,PLA
0.35,0,0.00539,0,15,3D,Without Mesh,0,PLA
0.0833,0,0.00128,0,15,3D,Without Mesh,0,PLA
0.309,0,0.00475,0,15,3D,Without Mesh,0,PLA
0.342,0,0.00526,0,15,3D,Without Mesh,0,PLA
0.321,0,0.00493,0,15,3D,Without Mesh,0,PLA
0.358,0,0.00551,0,15,3D,Without Mesh,0,PLA
0.285,0,0.00439,0,15,3D,Without Mesh,0,PLA
0.405,0,0.00623,0,15,3D,Without Mesh,0,PLA
0.706,0.0008,0.0109,0.0016,15,3D,Without Mesh,0,PLA
2.25,0.00258,0.0346,0.00517,15,3D,Without Mesh,0,PLA
3.36,0.00477,0.0517,0.00955,15,3D,Without Mesh,0,PLA
5.57,0.00706,0.0858,0.0141,15,3D,Without Mesh,0,PLA
7.16,0.00925,0.11,0.0185,15,3D,Without Mesh,0,PLA
9.16,0.0114,0.141,0.0229,15,3D,Without Mesh,0,PLA
11,0.0136,0.17,0.0273,15,3D,Without Mesh,0,PLA
13,0.0159,0.2,0.0318,15,3D,Without Mesh,0,PLA
15.3,0.0183,0.236,0.0366,15,3D,Without Mesh,0,PLA
17.7,0.0207,0.273,0.0414,15,3D,Without Mesh,0,PLA
20,0.0229,0.308,0.0458,15,3D,Without Mesh,0,PLA
22,0.0251,0.338,0.0502,15,3D,Without Mesh,0,PLA
24.2,0.0274,0.373,0.0547,15,3D,Without Mesh,0,PLA
26.4,0.0297,0.407,0.0593,15,3D,Without Mesh,0,PLA
28,0.0318,0.431,0.0637,15,3D,Without Mesh,0,PLA
30.5,0.0342,0.469,0.0685,15,3D,Without Mesh,0,PLA
32.3,0.0364,0.497,0.0728,15,3D,Without Mesh,0,PLA
34.5,0.0384,0.53,0.0768,15,3D,Without Mesh,0,PLA
36.5,0.0408,0.561,0.0816,15,3D,Without Mesh,0,PLA
38,0.043,0.585,0.086,15,3D,Without Mesh,0,PLA
40.8,0.0453,0.628,0.0906,15,3D,Without Mesh,0,PLA
42.5,0.0475,0.654,0.0949,15,3D,Without Mesh,0,PLA
44.6,0.0497,0.686,0.0993,15,3D,Without Mesh,0,PLA
46,0.0518,0.708,0.104,15,3D,Without Mesh,0,PLA
48.2,0.054,0.742,0.108,15,3D,Without Mesh,0,PLA
50,0.0562,0.769,0.112,15,3D,Without Mesh,0,PLA
53.8,0.0606,0.828,0.121,15,3D,Without Mesh,0,PLA
53.6,0.0608,0.824,0.122,15,3D,Without Mesh,0,PLA
56.1,0.0629,0.862,0.126,15,3D,Without Mesh,0,PLA
57.6,0.065,0.886,0.13,15,3D,Without Mesh,0,PLA
59.5,0.0673,0.915,0.135,15,3D,Without Mesh,0,PLA
61.3,0.0695,0.943,0.139,15,3D,Without Mesh,0,PLA
63.5,0.0717,0.977,0.143,15,3D,Without Mesh,0,PLA
65.2,0.0739,1,0.148,15,3D,Without Mesh,0,PLA
67.1,0.076,1.03,0.152,15,3D,Without Mesh,0,PLA
68.9,0.0781,1.06,0.156,15,3D,Without Mesh,0,PLA
70.4,0.0803,1.08,0.161,15,3D,Without Mesh,0,PLA
72.6,0.0826,1.12,0.165,15,3D,Without Mesh,0,PLA
74.1,0.0848,1.14,0.17,15,3D,Without Mesh,0,PLA
76.2,0.0869,1.17,0.174,15,3D,Without Mesh,0,PLA
77.5,0.089,1.19,0.178,15,3D,Without Mesh,0,PLA
79.6,0.0912,1.23,0.182,15,3D,Without Mesh,0,PLA
81.3,0.0934,1.25,0.187,15,3D,Without Mesh,0,PLA
83.2,0.0956,1.28,0.191,15,3D,Without Mesh,0,PLA
85.1,0.0978,1.31,0.196,15,3D,Without Mesh,0,PLA
86.6,0.0999,1.33,0.2,15,3D,Without Mesh,0,PLA
88.6,0.102,1.36,0.204,15,3D,Without Mesh,0,PLA
90.3,0.104,1.39,0.208,15,3D,Without Mesh,0,PLA
91.9,0.106,1.41,0.213,15,3D,Without Mesh,0,PLA
93.9,0.109,1.45,0.217,15,3D,Without Mesh,0,PLA
95.6,0.111,1.47,0.222,15,3D,Without Mesh,0,PLA
97.5,0.113,1.5,0.226,15,3D,Without Mesh,0,PLA
99.1,0.115,1.52,0.23,15,3D,Without Mesh,0,PLA
101,0.117,1.55,0.235,15,3D,Without Mesh,0,PLA
103,0.12,1.58,0.239,15,3D,Without Mesh,0,PLA
104,0.122,1.61,0.243,15,3D,Without Mesh,0,PLA
