Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,Mesh Type,Number of mesh layers,Base Material
0.572,0,0.0083,0,15,Triangular,Without mesh,0,PLA
0.657,0,0.00954,0,15,Triangular,Without mesh,0,PLA
0.657,0,0.00954,0,15,Triangular,Without mesh,0,PLA
0.578,0,0.00838,0,15,Triangular,Without mesh,0,PLA
0.532,0,0.00772,0,15,Triangular,Without mesh,0,PLA
0.541,0,0.00785,0,15,Triangular,Without mesh,0,PLA
0.459,0,0.00666,0,15,Triangular,Without mesh,0,PLA
0.425,0,0.00616,0,15,Triangular,Without mesh,0,PLA
0.678,0,0.00983,0,15,Triangular,Without mesh,0,PLA
0.608,0,0.00882,0,15,Triangular,Without mesh,0,PLA
0.694,0,0.0101,0,15,Triangular,Without mesh,0,PLA
0.508,0,0.00737,0,15,Triangular,Without mesh,0,PLA
0.52,0,0.00754,0,15,Triangular,Without mesh,0,PLA
0.581,0,0.00844,0,15,Triangular,Without mesh,0,PLA
0.668,0,0.0097,0,15,Triangular,Without mesh,0,PLA
0.752,0,0.0109,0,15,Triangular,Without mesh,0,PLA
0.557,0,0.00808,0,15,Triangular,Without mesh,0,PLA
0.726,0,0.0105,0,15,Triangular,Without mesh,0,PLA
0.754,0,0.0109,0,15,Triangular,Without mesh,0,PLA
0.501,0,0.00727,0,15,Triangular,Without mesh,0,PLA
0.918,0,0.0133,0,15,Triangular,Without mesh,0,PLA
0.664,0,0.00964,0,15,Triangular,Without mesh,0,PLA
0.683,0,0.00991,0,15,Triangular,Without mesh,0,PLA
0.715,0,0.0104,0,15,Triangular,Without mesh,0,PLA
0.588,0,0.00854,0,15,Triangular,Without mesh,0,PLA
0.871,0,0.0126,0,15,Triangular,Without mesh,0,PLA
0.454,0,0.00659,0,15,Triangular,Without mesh,0,PLA
0.912,0,0.0132,0,15,Triangular,Without mesh,0,PLA
0.268,0,0.00389,0,15,Triangular,Without mesh,0,PLA
1.11,0.0002,0.0162,0.0004,15,Triangular,Without mesh,0,PLA
1.65,0.00234,0.0239,0.00469,15,Triangular,Without mesh,0,PLA
3.82,0.00456,0.0555,0.00912,15,Triangular,Without mesh,0,PLA
5.36,0.00687,0.0778,0.0137,15,Triangular,Without mesh,0,PLA
7.09,0.00929,0.103,0.0186,15,Triangular,Without mesh,0,PLA
8.97,0.0117,0.13,0.0234,15,Triangular,Without mesh,0,PLA
10.4,0.0141,0.15,0.0282,15,Triangular,Without mesh,0,PLA
12.8,0.0164,0.186,0.0329,15,Triangular,Without mesh,0,PLA
14.5,0.0189,0.21,0.0379,15,Triangular,Without mesh,0,PLA
16.6,0.0213,0.241,0.0425,15,Triangular,Without mesh,0,PLA
18.5,0.0238,0.269,0.0476,15,Triangular,Without mesh,0,PLA
21.1,0.0262,0.306,0.0524,15,Triangular,Without mesh,0,PLA
