Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-1.2,0,-0.0168,0,45,3D,Fiber,Single,PLA
-1.52,0,-0.0213,0,45,3D,Fiber,Single,PLA
-1.52,0,-0.0213,0,45,3D,Fiber,Single,PLA
-1.52,0,-0.0213,0,45,3D,Fiber,Single,PLA
-1.52,0,-0.0213,0,45,3D,Fiber,Single,PLA
-1.52,0,-0.0213,0,45,3D,Fiber,Single,PLA
-1.52,0,-0.0213,0,45,3D,Fiber,Single,PLA
-1.52,0,-0.0213,0,45,3D,Fiber,Single,PLA
-1.57,0,-0.0219,0,45,3D,Fiber,Single,PLA
-1.36,0,-0.019,0,45,3D,Fiber,Single,PLA
-1.29,0,-0.0181,0,45,3D,Fiber,Single,PLA
-1.71,0,-0.0239,0,45,3D,Fiber,Single,PLA
-1.52,0,-0.0212,0,45,3D,Fiber,Single,PLA
-1.58,0,-0.022,0,45,3D,Fiber,Single,PLA
-1.41,0,-0.0197,0,45,3D,Fiber,Single,PLA
-1.34,0,-0.0187,0,45,3D,Fiber,Single,PLA
-1.61,0,-0.0225,0,45,3D,Fiber,Single,PLA
-1.45,0,-0.0203,0,45,3D,Fiber,Single,PLA
-1.5,0,-0.021,0,45,3D,Fiber,Single,PLA
-1.63,0,-0.0228,0,45,3D,Fiber,Single,PLA
-1.61,0,-0.0226,0,45,3D,Fiber,Single,PLA
-1.52,0,-0.0212,0,45,3D,Fiber,Single,PLA
-1.5,0,-0.021,0,45,3D,Fiber,Single,PLA
-1.69,0,-0.0236,0,45,3D,Fiber,Single,PLA
-1.55,0,-0.0216,0,45,3D,Fiber,Single,PLA
-1.51,0,-0.0211,0,45,3D,Fiber,Single,PLA
-1.66,0,-0.0233,0,45,3D,Fiber,Single,PLA
-1.69,0,-0.0236,0,45,3D,Fiber,Single,PLA
-1.5,0,-0.0209,0,45,3D,Fiber,Single,PLA
-1.64,0,-0.023,0,45,3D,Fiber,Single,PLA
-1.63,0,-0.0227,0,45,3D,Fiber,Single,PLA
-1.61,0,-0.0226,0,45,3D,Fiber,Single,PLA
-1.7,0,-0.0238,0,45,3D,Fiber,Single,PLA
-1.75,0,-0.0245,0,45,3D,Fiber,Single,PLA
-1.78,0,-0.0249,0,45,3D,Fiber,Single,PLA
-1.67,0,-0.0234,0,45,3D,Fiber,Single,PLA
-1.74,0,-0.0243,0,45,3D,Fiber,Single,PLA
-1.78,0,-0.0249,0,45,3D,Fiber,Single,PLA
-1.93,0,-0.027,0,45,3D,Fiber,Single,PLA
-1.68,0,-0.0235,0,45,3D,Fiber,Single,PLA
-1.7,0,-0.0238,0,45,3D,Fiber,Single,PLA
-1.84,0,-0.0258,0,45,3D,Fiber,Single,PLA
-1.69,0,-0.0236,0,45,3D,Fiber,Single,PLA
-1.92,0,-0.0269,0,45,3D,Fiber,Single,PLA
-1.86,0,-0.0261,0,45,3D,Fiber,Single,PLA
-1.78,0,-0.0248,0,45,3D,Fiber,Single,PLA
-1.85,0,-0.0258,0,45,3D,Fiber,Single,PLA
-2.09,0,-0.0292,0,45,3D,Fiber,Single,PLA
-1.7,0.00013,-0.0237,0.000261,45,3D,Fiber,Single,PLA
-1.45,0.0006,-0.0203,0.0012,45,3D,Fiber,Single,PLA
0.659,0.00326,0.00921,0.00652,45,3D,Fiber,Single,PLA
1.48,0.00383,0.0206,0.00765,45,3D,Fiber,Single,PLA
2.85,0.00499,0.0399,0.00998,45,3D,Fiber,Single,PLA
4.31,0.00666,0.0602,0.0133,45,3D,Fiber,Single,PLA
6.01,0.00802,0.084,0.016,45,3D,Fiber,Single,PLA
7.28,0.00939,0.102,0.0188,45,3D,Fiber,Single,PLA
9.1,0.0108,0.127,0.0216,45,3D,Fiber,Single,PLA
10.2,0.0121,0.143,0.0242,45,3D,Fiber,Single,PLA
11.7,0.0135,0.163,0.027,45,3D,Fiber,Single,PLA
13.6,0.015,0.191,0.0301,45,3D,Fiber,Single,PLA
15.4,0.0165,0.215,0.033,45,3D,Fiber,Single,PLA
17.1,0.0179,0.239,0.0358,45,3D,Fiber,Single,PLA
19.1,0.0194,0.267,0.0388,45,3D,Fiber,Single,PLA
20.8,0.0209,0.291,0.0418,45,3D,Fiber,Single,PLA
21.9,0.0223,0.307,0.0445,45,3D,Fiber,Single,PLA
24.1,0.0236,0.337,0.0473,45,3D,Fiber,Single,PLA
25.8,0.025,0.361,0.05,45,3D,Fiber,Single,PLA
27.1,0.0264,0.379,0.0527,45,3D,Fiber,Single,PLA
28.8,0.0279,0.403,0.0559,45,3D,Fiber,Single,PLA
30.7,0.0293,0.43,0.0586,45,3D,Fiber,Single,PLA
32.3,0.0308,0.451,0.0615,45,3D,Fiber,Single,PLA
33.7,0.0322,0.472,0.0645,45,3D,Fiber,Single,PLA
35.4,0.0337,0.496,0.0674,45,3D,Fiber,Single,PLA
37.4,0.0351,0.523,0.0701,45,3D,Fiber,Single,PLA
38.6,0.0364,0.539,0.0729,45,3D,Fiber,Single,PLA
40.2,0.0378,0.563,0.0756,45,3D,Fiber,Single,PLA
42,0.0392,0.587,0.0783,45,3D,Fiber,Single,PLA
43.5,0.0407,0.608,0.0814,45,3D,Fiber,Single,PLA
45,0.0421,0.629,0.0842,45,3D,Fiber,Single,PLA
46.5,0.0436,0.65,0.0871,45,3D,Fiber,Single,PLA
48.2,0.0449,0.674,0.0898,45,3D,Fiber,Single,PLA
49.8,0.0464,0.697,0.0928,45,3D,Fiber,Single,PLA
51.5,0.0477,0.72,0.0955,45,3D,Fiber,Single,PLA
52.9,0.0492,0.739,0.0984,45,3D,Fiber,Single,PLA
54.5,0.0505,0.762,0.101,45,3D,Fiber,Single,PLA
55.8,0.0518,0.78,0.104,45,3D,Fiber,Single,PLA
57.5,0.0533,0.805,0.107,45,3D,Fiber,Single,PLA
59,0.0547,0.825,0.109,45,3D,Fiber,Single,PLA
60.6,0.0561,0.848,0.112,45,3D,Fiber,Single,PLA
62,0.0576,0.867,0.115,45,3D,Fiber,Single,PLA
63.9,0.059,0.893,0.118,45,3D,Fiber,Single,PLA
67.1,0.0618,0.939,0.124,45,3D,Fiber,Single,PLA
67.3,0.0619,0.941,0.124,45,3D,Fiber,Single,PLA
68.8,0.0633,0.962,0.127,45,3D,Fiber,Single,PLA
70.1,0.0646,0.981,0.129,45,3D,Fiber,Single,PLA
71.7,0.066,1,0.132,45,3D,Fiber,Single,PLA
73.1,0.0675,1.02,0.135,45,3D,Fiber,Single,PLA
74.6,0.0689,1.04,0.138,45,3D,Fiber,Single,PLA
76.1,0.0703,1.06,0.141,45,3D,Fiber,Single,PLA
78,0.0718,1.09,0.144,45,3D,Fiber,Single,PLA
79.3,0.0732,1.11,0.146,45,3D,Fiber,Single,PLA
80.5,0.0745,1.13,0.149,45,3D,Fiber,Single,PLA
82.4,0.0758,1.15,0.152,45,3D,Fiber,Single,PLA
83.7,0.0772,1.17,0.154,45,3D,Fiber,Single,PLA
85.1,0.0787,1.19,0.157,45,3D,Fiber,Single,PLA
86.8,0.08,1.21,0.16,45,3D,Fiber,Single,PLA
88.3,0.0816,1.24,0.163,45,3D,Fiber,Single,PLA
89.8,0.083,1.26,0.166,45,3D,Fiber,Single,PLA
91.2,0.0843,1.28,0.169,45,3D,Fiber,Single,PLA
92.7,0.0858,1.3,0.172,45,3D,Fiber,Single,PLA
94.3,0.0872,1.32,0.174,45,3D,Fiber,Single,PLA
95.7,0.0885,1.34,0.177,45,3D,Fiber,Single,PLA
97,0.0898,1.36,0.18,45,3D,Fiber,Single,PLA
98.7,0.0913,1.38,0.183,45,3D,Fiber,Single,PLA
100,0.0926,1.4,0.185,45,3D,Fiber,Single,PLA
101,0.094,1.42,0.188,45,3D,Fiber,Single,PLA
103,0.0954,1.44,0.191,45,3D,Fiber,Single,PLA
104,0.0969,1.46,0.194,45,3D,Fiber,Single,PLA
106,0.0983,1.49,0.197,45,3D,Fiber,Single,PLA
108,0.0996,1.5,0.199,45,3D,Fiber,Single,PLA
109,0.101,1.52,0.202,45,3D,Fiber,Single,PLA
110,0.102,1.54,0.205,45,3D,Fiber,Single,PLA
112,0.104,1.56,0.207,45,3D,Fiber,Single,PLA
113,0.105,1.59,0.21,45,3D,Fiber,Single,PLA
115,0.107,1.6,0.213,45,3D,Fiber,Single,PLA
116,0.108,1.62,0.216,45,3D,Fiber,Single,PLA
118,0.109,1.64,0.219,45,3D,Fiber,Single,PLA
119,0.111,1.66,0.222,45,3D,Fiber,Single,PLA
120,0.112,1.68,0.224,45,3D,Fiber,Single,PLA
122,0.113,1.7,0.227,45,3D,Fiber,Single,PLA
123,0.115,1.72,0.23,45,3D,Fiber,Single,PLA
125,0.116,1.74,0.232,45,3D,Fiber,Single,PLA
126,0.118,1.77,0.235,45,3D,Fiber,Single,PLA
127,0.119,1.78,0.238,45,3D,Fiber,Single,PLA
129,0.12,1.81,0.241,45,3D,Fiber,Single,PLA
131,0.122,1.83,0.244,45,3D,Fiber,Single,PLA
132,0.123,1.84,0.246,45,3D,Fiber,Single,PLA
133,0.125,1.86,0.249,45,3D,Fiber,Single,PLA
135,0.126,1.89,0.252,45,3D,Fiber,Single,PLA
136,0.127,1.9,0.255,45,3D,Fiber,Single,PLA
138,0.129,1.92,0.257,45,3D,Fiber,Single,PLA
139,0.13,1.94,0.26,45,3D,Fiber,Single,PLA
140,0.132,1.96,0.263,45,3D,Fiber,Single,PLA
142,0.133,1.99,0.266,45,3D,Fiber,Single,PLA
143,0.134,2,0.269,45,3D,Fiber,Single,PLA
145,0.136,2.03,0.271,45,3D,Fiber,Single,PLA
146,0.137,2.04,0.274,45,3D,Fiber,Single,PLA
147,0.139,2.06,0.277,45,3D,Fiber,Single,PLA
149,0.14,2.08,0.28,45,3D,Fiber,Single,PLA
150,0.141,2.1,0.282,45,3D,Fiber,Single,PLA
152,0.143,2.12,0.285,45,3D,Fiber,Single,PLA
153,0.144,2.14,0.288,45,3D,Fiber,Single,PLA
155,0.145,2.16,0.291,45,3D,Fiber,Single,PLA
156,0.147,2.18,0.293,45,3D,Fiber,Single,PLA
157,0.148,2.2,0.296,45,3D,Fiber,Single,PLA
159,0.15,2.22,0.299,45,3D,Fiber,Single,PLA
160,0.151,2.24,0.302,45,3D,Fiber,Single,PLA
161,0.152,2.26,0.305,45,3D,Fiber,Single,PLA
163,0.154,2.27,0.307,45,3D,Fiber,Single,PLA
165,0.155,2.3,0.31,45,3D,Fiber,Single,PLA
165,0.156,2.31,0.313,45,3D,Fiber,Single,PLA
167,0.158,2.34,0.316,45,3D,Fiber,Single,PLA
168,0.159,2.35,0.318,45,3D,Fiber,Single,PLA
170,0.161,2.38,0.321,45,3D,Fiber,Single,PLA
171,0.162,2.39,0.324,45,3D,Fiber,Single,PLA
173,0.163,2.41,0.327,45,3D,Fiber,Single,PLA
174,0.165,2.44,0.33,45,3D,Fiber,Single,PLA
175,0.166,2.45,0.332,45,3D,Fiber,Single,PLA
177,0.167,2.47,0.335,45,3D,Fiber,Single,PLA
178,0.169,2.49,0.338,45,3D,Fiber,Single,PLA
180,0.17,2.51,0.34,45,3D,Fiber,Single,PLA
181,0.172,2.53,0.343,45,3D,Fiber,Single,PLA
182,0.173,2.55,0.346,45,3D,Fiber,Single,PLA
184,0.174,2.57,0.349,45,3D,Fiber,Single,PLA
185,0.176,2.59,0.352,45,3D,Fiber,Single,PLA
186,0.177,2.61,0.354,45,3D,Fiber,Single,PLA
188,0.179,2.63,0.357,45,3D,Fiber,Single,PLA
189,0.18,2.64,0.36,45,3D,Fiber,Single,PLA
190,0.181,2.66,0.363,45,3D,Fiber,Single,PLA
192,0.183,2.69,0.365,45,3D,Fiber,Single,PLA
193,0.184,2.7,0.368,45,3D,Fiber,Single,PLA
194,0.186,2.72,0.371,45,3D,Fiber,Single,PLA
196,0.187,2.74,0.374,45,3D,Fiber,Single,PLA
197,0.188,2.76,0.377,45,3D,Fiber,Single,PLA
199,0.19,2.78,0.379,45,3D,Fiber,Single,PLA
200,0.191,2.8,0.382,45,3D,Fiber,Single,PLA
201,0.192,2.82,0.385,45,3D,Fiber,Single,PLA
203,0.194,2.84,0.388,45,3D,Fiber,Single,PLA
204,0.195,2.86,0.39,45,3D,Fiber,Single,PLA
205,0.197,2.87,0.393,45,3D,Fiber,Single,PLA
207,0.198,2.89,0.396,45,3D,Fiber,Single,PLA
208,0.199,2.91,0.399,45,3D,Fiber,Single,PLA
210,0.201,2.93,0.402,45,3D,Fiber,Single,PLA
211,0.202,2.95,0.404,45,3D,Fiber,Single,PLA
212,0.204,2.97,0.407,45,3D,Fiber,Single,PLA
214,0.205,2.99,0.41,45,3D,Fiber,Single,PLA
215,0.206,3.01,0.413,45,3D,Fiber,Single,PLA
216,0.208,3.02,0.415,45,3D,Fiber,Single,PLA
218,0.209,3.04,0.418,45,3D,Fiber,Single,PLA
219,0.211,3.06,0.421,45,3D,Fiber,Single,PLA
220,0.212,3.08,0.424,45,3D,Fiber,Single,PLA
222,0.213,3.1,0.427,45,3D,Fiber,Single,PLA
223,0.215,3.12,0.429,45,3D,Fiber,Single,PLA
225,0.216,3.14,0.432,45,3D,Fiber,Single,PLA
226,0.217,3.16,0.435,45,3D,Fiber,Single,PLA
228,0.219,3.18,0.438,45,3D,Fiber,Single,PLA
229,0.22,3.2,0.441,45,3D,Fiber,Single,PLA
230,0.222,3.21,0.443,45,3D,Fiber,Single,PLA
232,0.223,3.24,0.446,45,3D,Fiber,Single,PLA
233,0.224,3.25,0.449,45,3D,Fiber,Single,PLA
234,0.226,3.27,0.452,45,3D,Fiber,Single,PLA
236,0.227,3.3,0.454,45,3D,Fiber,Single,PLA
237,0.229,3.31,0.457,45,3D,Fiber,Single,PLA
238,0.23,3.33,0.46,45,3D,Fiber,Single,PLA
239,0.231,3.35,0.462,45,3D,Fiber,Single,PLA
