Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.899,0,-0.0126,0,45,Hex,Fiber,Single,PLA
-0.72,0,-0.0101,0,45,Hex,Fiber,Single,PLA
-0.72,0,-0.0101,0,45,Hex,Fiber,Single,PLA
-0.72,0,-0.0101,0,45,Hex,Fiber,Single,PLA
-0.894,0,-0.0125,0,45,Hex,Fiber,Single,PLA
-0.894,0,-0.0125,0,45,Hex,Fiber,Single,PLA
-0.94,0,-0.0131,0,45,Hex,Fiber,Single,PLA
-0.762,0,-0.0107,0,45,Hex,Fiber,Single,PLA
-0.914,0,-0.0128,0,45,Hex,Fiber,Single,PLA
-0.996,0,-0.0139,0,45,Hex,Fiber,Single,PLA
-0.833,0,-0.0116,0,45,Hex,Fiber,Single,PLA
-1.07,0,-0.0149,0,45,Hex,Fiber,Single,PLA
-0.949,0,-0.0133,0,45,Hex,Fiber,Single,PLA
-1.13,0,-0.0158,0,45,Hex,Fiber,Single,PLA
-0.995,0,-0.0139,0,45,Hex,Fiber,Single,PLA
-0.993,0,-0.0139,0,45,Hex,Fiber,Single,PLA
-0.935,0,-0.0131,0,45,Hex,Fiber,Single,PLA
-0.965,0,-0.0135,0,45,Hex,Fiber,Single,PLA
-1.05,0,-0.0146,0,45,Hex,Fiber,Single,PLA
-0.958,0,-0.0134,0,45,Hex,Fiber,Single,PLA
-1.02,0,-0.0142,0,45,Hex,Fiber,Single,PLA
-1.08,0,-0.0151,0,45,Hex,Fiber,Single,PLA
-1.25,0,-0.0175,0,45,Hex,Fiber,Single,PLA
-0.999,0,-0.014,0,45,Hex,Fiber,Single,PLA
-1.07,0,-0.0149,0,45,Hex,Fiber,Single,PLA
-1.07,0,-0.0149,0,45,Hex,Fiber,Single,PLA
-1.05,0,-0.0147,0,45,Hex,Fiber,Single,PLA
-1.17,0,-0.0163,0,45,Hex,Fiber,Single,PLA
-1.29,0,-0.018,0,45,Hex,Fiber,Single,PLA
-1.15,0,-0.0161,0,45,Hex,Fiber,Single,PLA
-1.42,0,-0.0199,0,45,Hex,Fiber,Single,PLA
-0.763,0,-0.0107,0,45,Hex,Fiber,Single,PLA
-1.41,0,-0.0197,0,45,Hex,Fiber,Single,PLA
-0.957,0,-0.0134,0,45,Hex,Fiber,Single,PLA
