Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.0626,0,-0.000908,0,45,Tri,Fiber,Single,PLA
0.139,0,0.00201,0,45,Tri,Fiber,Single,PLA
0.139,0,0.00201,0,45,Tri,Fiber,Single,PLA
0.139,0,0.00201,0,45,Tri,Fiber,Single,PLA
0.25,0,0.00363,0,45,Tri,Fiber,Single,PLA
0.25,0,0.00363,0,45,Tri,Fiber,Single,PLA
-0.278,0,-0.00404,0,45,Tri,Fiber,Single,PLA
0.137,0,0.00198,0,45,Tri,Fiber,Single,PLA
0.0868,0,0.00126,0,45,Tri,Fiber,Single,PLA
0.161,0,0.00234,0,45,Tri,Fiber,Single,PLA
-0.0248,0,-0.000359,0,45,Tri,Fiber,Single,PLA
-0.0582,0,-0.000844,0,45,Tri,Fiber,Single,PLA
-0.163,0,-0.00237,0,45,Tri,Fiber,Single,PLA
0.0477,0,0.000692,0,45,Tri,Fiber,Single,PLA
-0.193,0,-0.0028,0,45,Tri,Fiber,Single,PLA
-0.154,0,-0.00223,0,45,Tri,Fiber,Single,PLA
0.0856,0,0.00124,0,45,Tri,Fiber,Single,PLA
-0.149,0,-0.00216,0,45,Tri,Fiber,Single,PLA
0.0131,0,0.000191,0,45,Tri,Fiber,Single,PLA
0.298,0,0.00432,0,45,Tri,Fiber,Single,PLA
0.271,0,0.00394,0,45,Tri,Fiber,Single,PLA
0.017,0,0.000247,0,45,Tri,Fiber,Single,PLA
-0.00307,0,-4.45E-05,0,45,Tri,Fiber,Single,PLA
-0.0946,0,-0.00137,0,45,Tri,Fiber,Single,PLA
0.034,0,0.000494,0,45,Tri,Fiber,Single,PLA
0.0292,0,0.000423,0,45,Tri,Fiber,Single,PLA
-0.127,0,-0.00185,0,45,Tri,Fiber,Single,PLA
0.0513,0,0.000745,0,45,Tri,Fiber,Single,PLA
0.155,0,0.00225,0,45,Tri,Fiber,Single,PLA
-0.232,0,-0.00337,0,45,Tri,Fiber,Single,PLA
0.133,0,0.00193,0,45,Tri,Fiber,Single,PLA
-0.247,0,-0.00359,0,45,Tri,Fiber,Single,PLA
-0.057,0,-0.000828,0,45,Tri,Fiber,Single,PLA
-0.154,0,-0.00224,0,45,Tri,Fiber,Single,PLA
0.103,0,0.0015,0,45,Tri,Fiber,Single,PLA
0.0753,0.0001,0.00109,0.0002,45,Tri,Fiber,Single,PLA
1.14,0.0009,0.0165,0.0018,45,Tri,Fiber,Single,PLA
4.16,0.0038,0.0603,0.0076,45,Tri,Fiber,Single,PLA
5.22,0.00497,0.0757,0.00993,45,Tri,Fiber,Single,PLA
8.08,0.00714,0.117,0.0143,45,Tri,Fiber,Single,PLA
10.5,0.00901,0.153,0.018,45,Tri,Fiber,Single,PLA
12.9,0.011,0.187,0.022,45,Tri,Fiber,Single,PLA
15.4,0.0129,0.224,0.0258,45,Tri,Fiber,Single,PLA
17.4,0.0148,0.253,0.0296,45,Tri,Fiber,Single,PLA
20.5,0.0167,0.297,0.0334,45,Tri,Fiber,Single,PLA
