Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
0.0447,0,0.000649,0,15,3D,Fiber,Double,PLA
-0.0224,0,-0.000324,0,15,3D,Fiber,Double,PLA
-0.0268,0,-0.000389,0,15,3D,Fiber,Double,PLA
-0.0268,0,-0.000389,0,15,3D,Fiber,Double,PLA
0.152,0,0.00221,0,15,3D,Fiber,Double,PLA
0.171,0,0.00248,0,15,3D,Fiber,Double,PLA
0.0079,0,0.000115,0,15,3D,Fiber,Double,PLA
0.13,0,0.00189,0,15,3D,Fiber,Double,PLA
-0.00135,0,-1.96E-05,0,15,3D,Fiber,Double,PLA
-0.187,0,-0.00271,0,15,3D,Fiber,Double,PLA
-0.00322,0,-4.68E-05,0,15,3D,Fiber,Double,PLA
-0.102,0,-0.00148,0,15,3D,Fiber,Double,PLA
-0.0136,0,-0.000198,0,15,3D,Fiber,Double,PLA
-0.175,0,-0.00254,0,15,3D,Fiber,Double,PLA
0.143,0,0.00208,0,15,3D,Fiber,Double,PLA
-0.0493,0,-0.000715,0,15,3D,Fiber,Double,PLA
0.139,0,0.00201,0,15,3D,Fiber,Double,PLA
0.216,0,0.00314,0,15,3D,Fiber,Double,PLA
-0.0362,0,-0.000525,0,15,3D,Fiber,Double,PLA
0.0658,0,0.000955,0,15,3D,Fiber,Double,PLA
-0.0262,0,-0.00038,0,15,3D,Fiber,Double,PLA
0.0828,0,0.0012,0,15,3D,Fiber,Double,PLA
0.00801,0,0.000116,0,15,3D,Fiber,Double,PLA
0.772,0.0009,0.0112,0.0018,15,3D,Fiber,Double,PLA
3.3,0.0044,0.0479,0.0088,15,3D,Fiber,Double,PLA
6.06,0.00758,0.0879,0.0152,15,3D,Fiber,Double,PLA
8.51,0.0106,0.124,0.0211,15,3D,Fiber,Double,PLA
11.4,0.0135,0.165,0.0271,15,3D,Fiber,Double,PLA
14.3,0.0166,0.208,0.0332,15,3D,Fiber,Double,PLA
17.7,0.0198,0.256,0.0396,15,3D,Fiber,Double,PLA
20.4,0.0228,0.296,0.0455,15,3D,Fiber,Double,PLA
23,0.0258,0.334,0.0516,15,3D,Fiber,Double,PLA
25.8,0.0289,0.375,0.0579,15,3D,Fiber,Double,PLA
28.8,0.032,0.418,0.064,15,3D,Fiber,Double,PLA
31.5,0.035,0.458,0.07,15,3D,Fiber,Double,PLA
34.3,0.038,0.498,0.0759,15,3D,Fiber,Double,PLA
36.9,0.0409,0.535,0.0819,15,3D,Fiber,Double,PLA
39.7,0.0442,0.577,0.0885,15,3D,Fiber,Double,PLA
42.6,0.0472,0.618,0.0944,15,3D,Fiber,Double,PLA
45,0.0501,0.653,0.1,15,3D,Fiber,Double,PLA
47.7,0.0532,0.693,0.106,15,3D,Fiber,Double,PLA
50.1,0.0562,0.727,0.112,15,3D,Fiber,Double,PLA
55.5,0.0622,0.805,0.124,15,3D,Fiber,Double,PLA
55.7,0.0623,0.809,0.125,15,3D,Fiber,Double,PLA
57.9,0.0653,0.84,0.131,15,3D,Fiber,Double,PLA
60.8,0.0683,0.882,0.137,15,3D,Fiber,Double,PLA
63.3,0.0714,0.919,0.143,15,3D,Fiber,Double,PLA
65.7,0.0744,0.954,0.149,15,3D,Fiber,Double,PLA
68.3,0.0774,0.991,0.155,15,3D,Fiber,Double,PLA
71.1,0.0804,1.03,0.161,15,3D,Fiber,Double,PLA
73.3,0.0834,1.06,0.167,15,3D,Fiber,Double,PLA
76.1,0.0864,1.1,0.173,15,3D,Fiber,Double,PLA
78.2,0.0892,1.14,0.178,15,3D,Fiber,Double,PLA
81.1,0.0923,1.18,0.185,15,3D,Fiber,Double,PLA
83.4,0.0953,1.21,0.191,15,3D,Fiber,Double,PLA
85.8,0.0983,1.25,0.197,15,3D,Fiber,Double,PLA
88.2,0.101,1.28,0.202,15,3D,Fiber,Double,PLA
90.6,0.104,1.31,0.208,15,3D,Fiber,Double,PLA
92.9,0.107,1.35,0.214,15,3D,Fiber,Double,PLA
95.6,0.11,1.39,0.221,15,3D,Fiber,Double,PLA
98.2,0.113,1.43,0.226,15,3D,Fiber,Double,PLA
100,0.116,1.46,0.232,15,3D,Fiber,Double,PLA
103,0.119,1.49,0.238,15,3D,Fiber,Double,PLA
105,0.122,1.53,0.245,15,3D,Fiber,Double,PLA
108,0.125,1.56,0.25,15,3D,Fiber,Double,PLA
110,0.128,1.59,0.256,15,3D,Fiber,Double,PLA
112,0.131,1.63,0.262,15,3D,Fiber,Double,PLA
115,0.134,1.66,0.268,15,3D,Fiber,Double,PLA
117,0.137,1.7,0.274,15,3D,Fiber,Double,PLA
119,0.14,1.73,0.28,15,3D,Fiber,Double,PLA
122,0.143,1.76,0.286,15,3D,Fiber,Double,PLA
124,0.146,1.8,0.292,15,3D,Fiber,Double,PLA
126,0.149,1.84,0.298,15,3D,Fiber,Double,PLA
129,0.152,1.87,0.304,15,3D,Fiber,Double,PLA
131,0.155,1.9,0.31,15,3D,Fiber,Double,PLA
134,0.158,1.94,0.316,15,3D,Fiber,Double,PLA
136,0.161,1.98,0.322,15,3D,Fiber,Double,PLA
138,0.164,2,0.328,15,3D,Fiber,Double,PLA
140,0.167,2.04,0.334,15,3D,Fiber,Double,PLA
143,0.17,2.07,0.34,15,3D,Fiber,Double,PLA
145,0.173,2.11,0.346,15,3D,Fiber,Double,PLA
147,0.176,2.14,0.352,15,3D,Fiber,Double,PLA
150,0.179,2.17,0.358,15,3D,Fiber,Double,PLA
152,0.182,2.21,0.363,15,3D,Fiber,Double,PLA
