Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
0.478,0,0.00694,0,15,Hex,Fiber,Double,PLA
0.259,0,0.00376,0,15,Hex,Fiber,Double,PLA
0.259,0,0.00376,0,15,Hex,Fiber,Double,PLA
0.165,0,0.0024,0,15,Hex,Fiber,Double,PLA
0.165,0,0.0024,0,15,Hex,Fiber,Double,PLA
0.234,0,0.00339,0,15,Hex,Fiber,Double,PLA
0.101,0,0.00147,0,15,Hex,Fiber,Double,PLA
0.403,0,0.00585,0,15,Hex,Fiber,Double,PLA
0.299,0,0.00433,0,15,Hex,Fiber,Double,PLA
0.103,0,0.00149,0,15,Hex,Fiber,Double,PLA
0.251,0,0.00365,0,15,Hex,Fiber,Double,PLA
0.252,0,0.00366,0,15,Hex,Fiber,Double,PLA
0.287,0,0.00416,0,15,Hex,Fiber,Double,PLA
0.288,0,0.00418,0,15,Hex,Fiber,Double,PLA
0.388,0,0.00563,0,15,Hex,Fiber,Double,PLA
0.202,0,0.00294,0,15,Hex,Fiber,Double,PLA
0.215,0,0.00311,0,15,Hex,Fiber,Double,PLA
0.251,0,0.00365,0,15,Hex,Fiber,Double,PLA
0.487,0,0.00707,0,15,Hex,Fiber,Double,PLA
0.168,0,0.00243,0,15,Hex,Fiber,Double,PLA
0.262,0,0.0038,0,15,Hex,Fiber,Double,PLA
0.233,0,0.00338,0,15,Hex,Fiber,Double,PLA
0.329,0,0.00478,0,15,Hex,Fiber,Double,PLA
0.225,0,0.00327,0,15,Hex,Fiber,Double,PLA
0.509,0,0.00739,0,15,Hex,Fiber,Double,PLA
0.409,0,0.00593,0,15,Hex,Fiber,Double,PLA
0.292,0,0.00424,0,15,Hex,Fiber,Double,PLA
0.266,0,0.00386,0,15,Hex,Fiber,Double,PLA
0.893,0.00101,0.013,0.00201,15,Hex,Fiber,Double,PLA
3.83,0.00391,0.0556,0.00782,15,Hex,Fiber,Double,PLA
4.96,0.0053,0.072,0.0106,15,Hex,Fiber,Double,PLA
7.49,0.008,0.109,0.016,15,Hex,Fiber,Double,PLA
9.83,0.0104,0.143,0.0208,15,Hex,Fiber,Double,PLA
12.1,0.0128,0.176,0.0256,15,Hex,Fiber,Double,PLA
14.6,0.0153,0.212,0.0307,15,Hex,Fiber,Double,PLA
17.6,0.0178,0.256,0.0357,15,Hex,Fiber,Double,PLA
20.3,0.0202,0.294,0.0405,15,Hex,Fiber,Double,PLA
23,0.0227,0.333,0.0455,15,Hex,Fiber,Double,PLA
25.5,0.0253,0.37,0.0507,15,Hex,Fiber,Double,PLA
28.3,0.0278,0.411,0.0557,15,Hex,Fiber,Double,PLA
30.7,0.0303,0.445,0.0605,15,Hex,Fiber,Double,PLA
33.2,0.0327,0.483,0.0653,15,Hex,Fiber,Double,PLA
35.6,0.0353,0.516,0.0705,15,Hex,Fiber,Double,PLA
38.2,0.0378,0.555,0.0756,15,Hex,Fiber,Double,PLA
41.2,0.0403,0.598,0.0806,15,Hex,Fiber,Double,PLA
43.4,0.0428,0.629,0.0855,15,Hex,Fiber,Double,PLA
45.7,0.0451,0.663,0.0901,15,Hex,Fiber,Double,PLA
48,0.0475,0.697,0.095,15,Hex,Fiber,Double,PLA
50.6,0.0501,0.734,0.1,15,Hex,Fiber,Double,PLA
53.1,0.0526,0.77,0.105,15,Hex,Fiber,Double,PLA
55.3,0.055,0.803,0.11,15,Hex,Fiber,Double,PLA
57.6,0.0573,0.837,0.115,15,Hex,Fiber,Double,PLA
62.8,0.0623,0.911,0.125,15,Hex,Fiber,Double,PLA
62.7,0.0625,0.91,0.125,15,Hex,Fiber,Double,PLA
65,0.0649,0.943,0.13,15,Hex,Fiber,Double,PLA
67,0.0673,0.973,0.135,15,Hex,Fiber,Double,PLA
69.8,0.0698,1.01,0.14,15,Hex,Fiber,Double,PLA
72.1,0.0722,1.05,0.144,15,Hex,Fiber,Double,PLA
74.2,0.0746,1.08,0.149,15,Hex,Fiber,Double,PLA
