Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.84,0,-0.0122,0,15,Tri,Fiber,Double,PLA
-0.881,0,-0.0128,0,15,Tri,Fiber,Double,PLA
-0.881,0,-0.0128,0,15,Tri,Fiber,Double,PLA
-0.89,0,-0.0129,0,15,Tri,Fiber,Double,PLA
-0.83,0,-0.012,0,15,Tri,Fiber,Double,PLA
-0.759,0,-0.011,0,15,Tri,Fiber,Double,PLA
-0.842,0,-0.0122,0,15,Tri,Fiber,Double,PLA
-0.687,0,-0.00997,0,15,Tri,Fiber,Double,PLA
-0.902,0,-0.0131,0,15,Tri,Fiber,Double,PLA
-0.893,0,-0.013,0,15,Tri,Fiber,Double,PLA
-0.77,0,-0.0112,0,15,Tri,Fiber,Double,PLA
-0.847,0,-0.0123,0,15,Tri,Fiber,Double,PLA
-0.695,0,-0.0101,0,15,Tri,Fiber,Double,PLA
-1,0,-0.0146,0,15,Tri,Fiber,Double,PLA
-0.775,0,-0.0112,0,15,Tri,Fiber,Double,PLA
-0.747,0,-0.0108,0,15,Tri,Fiber,Double,PLA
-0.82,0,-0.0119,0,15,Tri,Fiber,Double,PLA
-0.717,0,-0.0104,0,15,Tri,Fiber,Double,PLA
-1.01,0,-0.0147,0,15,Tri,Fiber,Double,PLA
-1.02,0,-0.0149,0,15,Tri,Fiber,Double,PLA
-0.75,0,-0.0109,0,15,Tri,Fiber,Double,PLA
-0.823,0,-0.0119,0,15,Tri,Fiber,Double,PLA
-0.279,0.000848,-0.00405,0.0017,15,Tri,Fiber,Double,PLA
2.62,0.0039,0.038,0.0078,15,Tri,Fiber,Double,PLA
5.37,0.00696,0.078,0.0139,15,Tri,Fiber,Double,PLA
8.31,0.00991,0.121,0.0198,15,Tri,Fiber,Double,PLA
11.8,0.013,0.171,0.0259,15,Tri,Fiber,Double,PLA
14.9,0.0161,0.216,0.0323,15,Tri,Fiber,Double,PLA
19.1,0.0194,0.277,0.0387,15,Tri,Fiber,Double,PLA
22.8,0.0225,0.331,0.045,15,Tri,Fiber,Double,PLA
25.5,0.0256,0.371,0.0512,15,Tri,Fiber,Double,PLA
29.1,0.0286,0.422,0.0572,15,Tri,Fiber,Double,PLA
32.6,0.0319,0.473,0.0638,15,Tri,Fiber,Double,PLA
35.6,0.035,0.517,0.0701,15,Tri,Fiber,Double,PLA
38.9,0.0381,0.565,0.0762,15,Tri,Fiber,Double,PLA
41.8,0.0412,0.606,0.0825,15,Tri,Fiber,Double,PLA
44.5,0.0443,0.646,0.0886,15,Tri,Fiber,Double,PLA
48.2,0.0474,0.7,0.0948,15,Tri,Fiber,Double,PLA
50.8,0.0504,0.737,0.101,15,Tri,Fiber,Double,PLA
53.5,0.0534,0.777,0.107,15,Tri,Fiber,Double,PLA
56.7,0.0565,0.823,0.113,15,Tri,Fiber,Double,PLA
62.4,0.0626,0.906,0.125,15,Tri,Fiber,Double,PLA
62.4,0.0628,0.906,0.126,15,Tri,Fiber,Double,PLA
65.3,0.0659,0.948,0.132,15,Tri,Fiber,Double,PLA
68.1,0.069,0.989,0.138,15,Tri,Fiber,Double,PLA
71.2,0.0722,1.03,0.144,15,Tri,Fiber,Double,PLA
74.4,0.0752,1.08,0.15,15,Tri,Fiber,Double,PLA
77.3,0.0782,1.12,0.156,15,Tri,Fiber,Double,PLA
80.3,0.0813,1.17,0.163,15,Tri,Fiber,Double,PLA
83.4,0.0845,1.21,0.169,15,Tri,Fiber,Double,PLA
86.1,0.0876,1.25,0.175,15,Tri,Fiber,Double,PLA
88.8,0.0906,1.29,0.181,15,Tri,Fiber,Double,PLA
92.2,0.0938,1.34,0.188,15,Tri,Fiber,Double,PLA
94.6,0.0969,1.37,0.194,15,Tri,Fiber,Double,PLA
98.1,0.0999,1.42,0.2,15,Tri,Fiber,Double,PLA
101,0.103,1.46,0.206,15,Tri,Fiber,Double,PLA
103,0.106,1.5,0.212,15,Tri,Fiber,Double,PLA
107,0.109,1.55,0.218,15,Tri,Fiber,Double,PLA
109,0.112,1.59,0.224,15,Tri,Fiber,Double,PLA
112,0.115,1.63,0.231,15,Tri,Fiber,Double,PLA
115,0.118,1.67,0.237,15,Tri,Fiber,Double,PLA
118,0.121,1.71,0.243,15,Tri,Fiber,Double,PLA
121,0.125,1.76,0.249,15,Tri,Fiber,Double,PLA
124,0.128,1.8,0.255,15,Tri,Fiber,Double,PLA
127,0.131,1.84,0.261,15,Tri,Fiber,Double,PLA
130,0.134,1.88,0.268,15,Tri,Fiber,Double,PLA
133,0.137,1.92,0.274,15,Tri,Fiber,Double,PLA
135,0.14,1.96,0.28,15,Tri,Fiber,Double,PLA
138,0.143,2.01,0.286,15,Tri,Fiber,Double,PLA
141,0.146,2.04,0.292,15,Tri,Fiber,Double,PLA
143,0.149,2.08,0.298,15,Tri,Fiber,Double,PLA
147,0.152,2.13,0.304,15,Tri,Fiber,Double,PLA
149,0.155,2.17,0.31,15,Tri,Fiber,Double,PLA
152,0.158,2.21,0.317,15,Tri,Fiber,Double,PLA
155,0.161,2.25,0.323,15,Tri,Fiber,Double,PLA
158,0.164,2.29,0.329,15,Tri,Fiber,Double,PLA
161,0.167,2.33,0.335,15,Tri,Fiber,Double,PLA
164,0.171,2.38,0.341,15,Tri,Fiber,Double,PLA
166,0.174,2.41,0.347,15,Tri,Fiber,Double,PLA
170,0.177,2.46,0.354,15,Tri,Fiber,Double,PLA
172,0.18,2.5,0.36,15,Tri,Fiber,Double,PLA
175,0.183,2.53,0.366,15,Tri,Fiber,Double,PLA
178,0.186,2.58,0.372,15,Tri,Fiber,Double,PLA
180,0.189,2.62,0.378,15,Tri,Fiber,Double,PLA
183,0.192,2.66,0.384,15,Tri,Fiber,Double,PLA
186,0.195,2.7,0.39,15,Tri,Fiber,Double,PLA
189,0.198,2.74,0.397,15,Tri,Fiber,Double,PLA
192,0.201,2.78,0.403,15,Tri,Fiber,Double,PLA
194,0.204,2.82,0.409,15,Tri,Fiber,Double,PLA
197,0.207,2.86,0.415,15,Tri,Fiber,Double,PLA
200,0.211,2.9,0.421,15,Tri,Fiber,Double,PLA
202,0.214,2.94,0.427,15,Tri,Fiber,Double,PLA
205,0.217,2.97,0.433,15,Tri,Fiber,Double,PLA
208,0.22,3.02,0.439,15,Tri,Fiber,Double,PLA
211,0.223,3.06,0.446,15,Tri,Fiber,Double,PLA
214,0.226,3.1,0.452,15,Tri,Fiber,Double,PLA
216,0.229,3.14,0.458,15,Tri,Fiber,Double,PLA
219,0.232,3.17,0.464,15,Tri,Fiber,Double,PLA
222,0.235,3.22,0.47,15,Tri,Fiber,Double,PLA
224,0.238,3.26,0.477,15,Tri,Fiber,Double,PLA
227,0.241,3.3,0.483,15,Tri,Fiber,Double,PLA
230,0.244,3.34,0.489,15,Tri,Fiber,Double,PLA
232,0.247,3.37,0.495,15,Tri,Fiber,Double,PLA
235,0.251,3.41,0.501,15,Tri,Fiber,Double,PLA
238,0.254,3.46,0.507,15,Tri,Fiber,Double,PLA
240,0.257,3.49,0.513,15,Tri,Fiber,Double,PLA
243,0.26,3.53,0.52,15,Tri,Fiber,Double,PLA
246,0.263,3.57,0.526,15,Tri,Fiber,Double,PLA
249,0.266,3.61,0.532,15,Tri,Fiber,Double,PLA
251,0.269,3.65,0.538,15,Tri,Fiber,Double,PLA
254,0.272,3.68,0.544,15,Tri,Fiber,Double,PLA
256,0.275,3.72,0.55,15,Tri,Fiber,Double,PLA
259,0.278,3.76,0.557,15,Tri,Fiber,Double,PLA
262,0.281,3.8,0.563,15,Tri,Fiber,Double,PLA
264,0.284,3.84,0.569,15,Tri,Fiber,Double,PLA
267,0.288,3.87,0.575,15,Tri,Fiber,Double,PLA
270,0.291,3.91,0.581,15,Tri,Fiber,Double,PLA
272,0.294,3.95,0.587,15,Tri,Fiber,Double,PLA
275,0.297,3.99,0.593,15,Tri,Fiber,Double,PLA
277,0.3,4.03,0.6,15,Tri,Fiber,Double,PLA
280,0.303,4.07,0.606,15,Tri,Fiber,Double,PLA
282,0.306,4.1,0.612,15,Tri,Fiber,Double,PLA
285,0.309,4.13,0.618,15,Tri,Fiber,Double,PLA
287,0.312,4.17,0.624,15,Tri,Fiber,Double,PLA
290,0.315,4.21,0.631,15,Tri,Fiber,Double,PLA
293,0.318,4.25,0.637,15,Tri,Fiber,Double,PLA
295,0.321,4.28,0.643,15,Tri,Fiber,Double,PLA
298,0.324,4.32,0.649,15,Tri,Fiber,Double,PLA
300,0.328,4.36,0.655,15,Tri,Fiber,Double,PLA
303,0.331,4.4,0.661,15,Tri,Fiber,Double,PLA
305,0.334,4.43,0.667,15,Tri,Fiber,Double,PLA
308,0.337,4.47,0.674,15,Tri,Fiber,Double,PLA
311,0.34,4.51,0.68,15,Tri,Fiber,Double,PLA
313,0.343,4.54,0.686,15,Tri,Fiber,Double,PLA
316,0.346,4.58,0.692,15,Tri,Fiber,Double,PLA
318,0.349,4.62,0.698,15,Tri,Fiber,Double,PLA
320,0.352,4.65,0.704,15,Tri,Fiber,Double,PLA
