Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.3,0,-0.00435,0,30,3D,Fiber,Double,PLA
-0.487,0,-0.00707,0,30,3D,Fiber,Double,PLA
-0.487,0,-0.00707,0,30,3D,Fiber,Double,PLA
-0.487,0,-0.00707,0,30,3D,Fiber,Double,PLA
-0.268,0,-0.00389,0,30,3D,Fiber,Double,PLA
-0.268,0,-0.00389,0,30,3D,Fiber,Double,PLA
-0.21,0,-0.00304,0,30,3D,Fiber,Double,PLA
-0.283,0,-0.00411,0,30,3D,Fiber,Double,PLA
-0.286,0,-0.00415,0,30,3D,Fiber,Double,PLA
-0.347,0,-0.00504,0,30,3D,Fiber,Double,PLA
-0.421,0,-0.00611,0,30,3D,Fiber,Double,PLA
-0.22,0,-0.0032,0,30,3D,Fiber,Double,PLA
-0.333,0,-0.00483,0,30,3D,Fiber,Double,PLA
-0.463,0,-0.00672,0,30,3D,Fiber,Double,PLA
-0.215,0,-0.00312,0,30,3D,Fiber,Double,PLA
-0.423,0,-0.00614,0,30,3D,Fiber,Double,PLA
-0.09,0,-0.00131,0,30,3D,Fiber,Double,PLA
-0.3,0,-0.00436,0,30,3D,Fiber,Double,PLA
-0.133,0,-0.00193,0,30,3D,Fiber,Double,PLA
-0.0443,0,-0.000643,0,30,3D,Fiber,Double,PLA
-0.188,0,-0.00273,0,30,3D,Fiber,Double,PLA
-0.259,0,-0.00376,0,30,3D,Fiber,Double,PLA
-0.356,0,-0.00517,0,30,3D,Fiber,Double,PLA
-0.238,0,-0.00345,0,30,3D,Fiber,Double,PLA
-0.454,0,-0.00659,0,30,3D,Fiber,Double,PLA
-0.22,0,-0.00319,0,30,3D,Fiber,Double,PLA
-0.361,0,-0.00524,0,30,3D,Fiber,Double,PLA
-0.398,0,-0.00577,0,30,3D,Fiber,Double,PLA
-0.214,0,-0.0031,0,30,3D,Fiber,Double,PLA
-0.281,0,-0.00408,0,30,3D,Fiber,Double,PLA
-0.368,0,-0.00535,0,30,3D,Fiber,Double,PLA
-0.33,0,-0.00479,0,30,3D,Fiber,Double,PLA
0.0938,0.000711,0.00136,0.00142,30,3D,Fiber,Double,PLA
3.28,0.00385,0.0476,0.0077,30,3D,Fiber,Double,PLA
3.8,0.00481,0.0551,0.00961,30,3D,Fiber,Double,PLA
6.1,0.00707,0.0885,0.0141,30,3D,Fiber,Double,PLA
7.86,0.00892,0.114,0.0178,30,3D,Fiber,Double,PLA
10.1,0.0109,0.147,0.0218,30,3D,Fiber,Double,PLA
12.4,0.0129,0.18,0.0259,30,3D,Fiber,Double,PLA
14.3,0.015,0.208,0.03,30,3D,Fiber,Double,PLA
17,0.0171,0.247,0.0341,30,3D,Fiber,Double,PLA
19.2,0.0191,0.279,0.0382,30,3D,Fiber,Double,PLA
21.5,0.021,0.312,0.042,30,3D,Fiber,Double,PLA
24,0.0231,0.348,0.0463,30,3D,Fiber,Double,PLA
26.1,0.0252,0.379,0.0504,30,3D,Fiber,Double,PLA
28.3,0.0272,0.41,0.0543,30,3D,Fiber,Double,PLA
30.5,0.0292,0.442,0.0584,30,3D,Fiber,Double,PLA
32.5,0.0312,0.472,0.0623,30,3D,Fiber,Double,PLA
34.6,0.0331,0.502,0.0663,30,3D,Fiber,Double,PLA
36.6,0.0352,0.532,0.0704,30,3D,Fiber,Double,PLA
38.8,0.0372,0.563,0.0743,30,3D,Fiber,Double,PLA
41,0.0392,0.595,0.0784,30,3D,Fiber,Double,PLA
42.9,0.0413,0.622,0.0825,30,3D,Fiber,Double,PLA
45.1,0.0432,0.655,0.0865,30,3D,Fiber,Double,PLA
47.2,0.0452,0.686,0.0904,30,3D,Fiber,Double,PLA
49.1,0.047,0.713,0.0941,30,3D,Fiber,Double,PLA
51.1,0.0491,0.741,0.0982,30,3D,Fiber,Double,PLA
53.1,0.0511,0.771,0.102,30,3D,Fiber,Double,PLA
55.3,0.053,0.803,0.106,30,3D,Fiber,Double,PLA
57.4,0.0551,0.833,0.11,30,3D,Fiber,Double,PLA
61.3,0.0589,0.89,0.118,30,3D,Fiber,Double,PLA
61.2,0.059,0.888,0.118,30,3D,Fiber,Double,PLA
63.1,0.061,0.915,0.122,30,3D,Fiber,Double,PLA
65.1,0.063,0.944,0.126,30,3D,Fiber,Double,PLA
66.9,0.065,0.971,0.13,30,3D,Fiber,Double,PLA
68.9,0.0671,1,0.134,30,3D,Fiber,Double,PLA
70.8,0.069,1.03,0.138,30,3D,Fiber,Double,PLA
72.4,0.0709,1.05,0.142,30,3D,Fiber,Double,PLA
73.8,0.0728,1.07,0.146,30,3D,Fiber,Double,PLA
76.2,0.075,1.11,0.15,30,3D,Fiber,Double,PLA
78,0.0769,1.13,0.154,30,3D,Fiber,Double,PLA
79.9,0.0789,1.16,0.158,30,3D,Fiber,Double,PLA
81.8,0.0809,1.19,0.162,30,3D,Fiber,Double,PLA
83.8,0.0829,1.22,0.166,30,3D,Fiber,Double,PLA
85.5,0.0847,1.24,0.169,30,3D,Fiber,Double,PLA
87.4,0.0868,1.27,0.174,30,3D,Fiber,Double,PLA
