Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
0.0358,0,0.00064,0,30,Hex,Fiber,Double,PLA
0.0671,0,0.0012,0,30,Hex,Fiber,Double,PLA
0.0671,0,0.0012,0,30,Hex,Fiber,Double,PLA
0.34,0,0.00608,0,30,Hex,Fiber,Double,PLA
0.016,0,0.000286,0,30,Hex,Fiber,Double,PLA
-0.0402,0,-0.00072,0,30,Hex,Fiber,Double,PLA
0.0226,0,0.000405,0,30,Hex,Fiber,Double,PLA
-0.0122,0,-0.000218,0,30,Hex,Fiber,Double,PLA
-0.0702,0,-0.00126,0,30,Hex,Fiber,Double,PLA
0.0521,0,0.000932,0,30,Hex,Fiber,Double,PLA
-0.0327,0,-0.000585,0,30,Hex,Fiber,Double,PLA
0.217,0,0.00388,0,30,Hex,Fiber,Double,PLA
0.106,0,0.00189,0,30,Hex,Fiber,Double,PLA
0.169,0,0.00303,0,30,Hex,Fiber,Double,PLA
0.151,0,0.0027,0,30,Hex,Fiber,Double,PLA
0.195,0,0.00349,0,30,Hex,Fiber,Double,PLA
0.0355,0,0.000635,0,30,Hex,Fiber,Double,PLA
0.287,0,0.00513,0,30,Hex,Fiber,Double,PLA
0.161,0,0.00289,0,30,Hex,Fiber,Double,PLA
0.075,0,0.00134,0,30,Hex,Fiber,Double,PLA
0.103,0,0.00184,0,30,Hex,Fiber,Double,PLA
0.0541,0,0.000968,0,30,Hex,Fiber,Double,PLA
0.0735,0,0.00132,0,30,Hex,Fiber,Double,PLA
0.238,0,0.00425,0,30,Hex,Fiber,Double,PLA
0.211,0.000157,0.00378,0.000315,30,Hex,Fiber,Double,PLA
1.29,0.00174,0.0232,0.00349,30,Hex,Fiber,Double,PLA
4.39,0.00529,0.0785,0.0106,30,Hex,Fiber,Double,PLA
7.02,0.0083,0.125,0.0166,30,Hex,Fiber,Double,PLA
9.65,0.0111,0.173,0.0222,30,Hex,Fiber,Double,PLA
12.4,0.0139,0.221,0.0279,30,Hex,Fiber,Double,PLA
15.2,0.0169,0.271,0.0339,30,Hex,Fiber,Double,PLA
18.3,0.0199,0.328,0.0397,30,Hex,Fiber,Double,PLA
21.3,0.0229,0.381,0.0458,30,Hex,Fiber,Double,PLA
24.2,0.0258,0.434,0.0516,30,Hex,Fiber,Double,PLA
26.4,0.0287,0.473,0.0574,30,Hex,Fiber,Double,PLA
29.4,0.0316,0.526,0.0632,30,Hex,Fiber,Double,PLA
32.2,0.0345,0.576,0.0691,30,Hex,Fiber,Double,PLA
35,0.0375,0.627,0.0749,30,Hex,Fiber,Double,PLA
37.5,0.0402,0.671,0.0803,30,Hex,Fiber,Double,PLA
40.3,0.0431,0.722,0.0862,30,Hex,Fiber,Double,PLA
43.2,0.0461,0.772,0.0922,30,Hex,Fiber,Double,PLA
45.8,0.049,0.819,0.098,30,Hex,Fiber,Double,PLA
48.2,0.0518,0.863,0.104,30,Hex,Fiber,Double,PLA
51.2,0.0547,0.915,0.109,30,Hex,Fiber,Double,PLA
53.6,0.0576,0.96,0.115,30,Hex,Fiber,Double,PLA
56,0.0605,1,0.121,30,Hex,Fiber,Double,PLA
61.2,0.0661,1.09,0.132,30,Hex,Fiber,Double,PLA
61.1,0.0663,1.09,0.133,30,Hex,Fiber,Double,PLA
63.5,0.0691,1.14,0.138,30,Hex,Fiber,Double,PLA
66.2,0.0721,1.18,0.144,30,Hex,Fiber,Double,PLA
68.8,0.0749,1.23,0.15,30,Hex,Fiber,Double,PLA
71.3,0.0778,1.28,0.156,30,Hex,Fiber,Double,PLA
74.1,0.0807,1.33,0.161,30,Hex,Fiber,Double,PLA
76,0.0835,1.36,0.167,30,Hex,Fiber,Double,PLA
78.7,0.0864,1.41,0.173,30,Hex,Fiber,Double,PLA
81.4,0.0892,1.46,0.178,30,Hex,Fiber,Double,PLA
83.3,0.092,1.49,0.184,30,Hex,Fiber,Double,PLA
86.1,0.0949,1.54,0.19,30,Hex,Fiber,Double,PLA
88.5,0.0977,1.58,0.195,30,Hex,Fiber,Double,PLA
90.7,0.1,1.62,0.201,30,Hex,Fiber,Double,PLA
93.2,0.103,1.67,0.207,30,Hex,Fiber,Double,PLA
95.5,0.106,1.71,0.212,30,Hex,Fiber,Double,PLA
98.3,0.109,1.76,0.218,30,Hex,Fiber,Double,PLA
100,0.112,1.8,0.224,30,Hex,Fiber,Double,PLA
103,0.115,1.84,0.229,30,Hex,Fiber,Double,PLA
105,0.117,1.88,0.235,30,Hex,Fiber,Double,PLA
108,0.12,1.92,0.241,30,Hex,Fiber,Double,PLA
110,0.123,1.97,0.246,30,Hex,Fiber,Double,PLA
112,0.126,2.01,0.252,30,Hex,Fiber,Double,PLA
115,0.129,2.05,0.257,30,Hex,Fiber,Double,PLA
117,0.132,2.09,0.263,30,Hex,Fiber,Double,PLA
119,0.135,2.14,0.269,30,Hex,Fiber,Double,PLA
122,0.137,2.18,0.275,30,Hex,Fiber,Double,PLA
124,0.14,2.22,0.28,30,Hex,Fiber,Double,PLA
126,0.143,2.26,0.286,30,Hex,Fiber,Double,PLA
129,0.146,2.31,0.292,30,Hex,Fiber,Double,PLA
131,0.149,2.35,0.297,30,Hex,Fiber,Double,PLA
133,0.151,2.38,0.303,30,Hex,Fiber,Double,PLA
136,0.154,2.43,0.308,30,Hex,Fiber,Double,PLA
138,0.157,2.47,0.314,30,Hex,Fiber,Double,PLA
140,0.16,2.51,0.32,30,Hex,Fiber,Double,PLA
143,0.163,2.55,0.326,30,Hex,Fiber,Double,PLA
145,0.165,2.59,0.331,30,Hex,Fiber,Double,PLA
147,0.168,2.63,0.336,30,Hex,Fiber,Double,PLA
150,0.171,2.67,0.342,30,Hex,Fiber,Double,PLA
152,0.174,2.72,0.348,30,Hex,Fiber,Double,PLA
154,0.177,2.76,0.354,30,Hex,Fiber,Double,PLA
157,0.18,2.8,0.359,30,Hex,Fiber,Double,PLA
159,0.182,2.84,0.365,30,Hex,Fiber,Double,PLA
161,0.185,2.88,0.371,30,Hex,Fiber,Double,PLA
163,0.188,2.92,0.376,30,Hex,Fiber,Double,PLA
166,0.191,2.97,0.382,30,Hex,Fiber,Double,PLA
168,0.194,3.01,0.387,30,Hex,Fiber,Double,PLA
170,0.197,3.04,0.393,30,Hex,Fiber,Double,PLA
172,0.2,3.08,0.399,30,Hex,Fiber,Double,PLA
175,0.202,3.13,0.405,30,Hex,Fiber,Double,PLA
177,0.205,3.16,0.41,30,Hex,Fiber,Double,PLA
179,0.208,3.2,0.416,30,Hex,Fiber,Double,PLA
182,0.211,3.25,0.422,30,Hex,Fiber,Double,PLA
184,0.214,3.29,0.427,30,Hex,Fiber,Double,PLA
186,0.217,3.33,0.433,30,Hex,Fiber,Double,PLA
188,0.219,3.36,0.438,30,Hex,Fiber,Double,PLA
190,0.222,3.41,0.444,30,Hex,Fiber,Double,PLA
193,0.225,3.45,0.45,30,Hex,Fiber,Double,PLA
195,0.228,3.49,0.456,30,Hex,Fiber,Double,PLA
197,0.231,3.53,0.461,30,Hex,Fiber,Double,PLA
200,0.233,3.57,0.467,30,Hex,Fiber,Double,PLA
202,0.236,3.61,0.472,30,Hex,Fiber,Double,PLA
204,0.239,3.65,0.478,30,Hex,Fiber,Double,PLA
