Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-1.69,0,-0.024,0,45,3D,Fiber,Double,PLA
-1.46,0,-0.0208,0,45,3D,Fiber,Double,PLA
-1.46,0,-0.0208,0,45,3D,Fiber,Double,PLA
-1.72,0,-0.0245,0,45,3D,Fiber,Double,PLA
-1.72,0,-0.0245,0,45,3D,Fiber,Double,PLA
-1.44,0,-0.0205,0,45,3D,Fiber,Double,PLA
-1.35,0,-0.0193,0,45,3D,Fiber,Double,PLA
-1.44,0,-0.0205,0,45,3D,Fiber,Double,PLA
-1.65,0,-0.0235,0,45,3D,Fiber,Double,PLA
-1.71,0,-0.0243,0,45,3D,Fiber,Double,PLA
-1.6,0,-0.0228,0,45,3D,Fiber,Double,PLA
-1.35,0,-0.0192,0,45,3D,Fiber,Double,PLA
-1.84,0,-0.0263,0,45,3D,Fiber,Double,PLA
-1.5,0,-0.0214,0,45,3D,Fiber,Double,PLA
-1.76,0,-0.0251,0,45,3D,Fiber,Double,PLA
-1.86,0,-0.0266,0,45,3D,Fiber,Double,PLA
-1.56,0,-0.0222,0,45,3D,Fiber,Double,PLA
-1.93,0,-0.0275,0,45,3D,Fiber,Double,PLA
-1.5,0,-0.0213,0,45,3D,Fiber,Double,PLA
-1.86,0,-0.0266,0,45,3D,Fiber,Double,PLA
-1.66,0,-0.0236,0,45,3D,Fiber,Double,PLA
-1.94,0,-0.0276,0,45,3D,Fiber,Double,PLA
-1.61,0,-0.0229,0,45,3D,Fiber,Double,PLA
-1.75,0,-0.025,0,45,3D,Fiber,Double,PLA
-1.93,0,-0.0275,0,45,3D,Fiber,Double,PLA
-1.98,0,-0.0282,0,45,3D,Fiber,Double,PLA
-0.434,0.002,-0.00619,0.004,45,3D,Fiber,Double,PLA
3.05,0.0052,0.0434,0.0104,45,3D,Fiber,Double,PLA
3.58,0.00688,0.0511,0.0138,45,3D,Fiber,Double,PLA
9.43,0.00984,0.134,0.0197,45,3D,Fiber,Double,PLA
10.3,0.0125,0.147,0.025,45,3D,Fiber,Double,PLA
12.8,0.0152,0.182,0.0303,45,3D,Fiber,Double,PLA
16.9,0.0178,0.241,0.0356,45,3D,Fiber,Double,PLA
19.4,0.0207,0.276,0.0413,45,3D,Fiber,Double,PLA
21.6,0.0234,0.308,0.0468,45,3D,Fiber,Double,PLA
24.4,0.0262,0.348,0.0524,45,3D,Fiber,Double,PLA
27,0.0288,0.385,0.0577,45,3D,Fiber,Double,PLA
30.4,0.0315,0.433,0.063,45,3D,Fiber,Double,PLA
33.3,0.0342,0.474,0.0685,45,3D,Fiber,Double,PLA
