Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.148,0,-0.00214,0,45,Hex,Fiber,Double,PLA
0.00276,0,4.01E-05,0,45,Hex,Fiber,Double,PLA
0.0768,0,0.00111,0,45,Hex,Fiber,Double,PLA
-0.139,0,-0.00201,0,45,Hex,Fiber,Double,PLA
-0.139,0,-0.00201,0,45,Hex,Fiber,Double,PLA
-0.174,0,-0.00253,0,45,Hex,Fiber,Double,PLA
-0.174,0,-0.00253,0,45,Hex,Fiber,Double,PLA
-0.121,0,-0.00175,0,45,Hex,Fiber,Double,PLA
0.0762,0,0.00111,0,45,Hex,Fiber,Double,PLA
0.00398,0,5.78E-05,0,45,Hex,Fiber,Double,PLA
-0.11,0,-0.00159,0,45,Hex,Fiber,Double,PLA
-0.0697,0,-0.00101,0,45,Hex,Fiber,Double,PLA
-0.253,0,-0.00367,0,45,Hex,Fiber,Double,PLA
-0.148,0,-0.00214,0,45,Hex,Fiber,Double,PLA
0.0206,0,0.0003,0,45,Hex,Fiber,Double,PLA
-0.233,0,-0.00338,0,45,Hex,Fiber,Double,PLA
0.0563,0,0.000818,0,45,Hex,Fiber,Double,PLA
0.0541,0,0.000784,0,45,Hex,Fiber,Double,PLA
-0.288,0,-0.00418,0,45,Hex,Fiber,Double,PLA
-0.0332,0,-0.000482,0,45,Hex,Fiber,Double,PLA
-0.202,0,-0.00293,0,45,Hex,Fiber,Double,PLA
-0.181,0,-0.00263,0,45,Hex,Fiber,Double,PLA
-0.296,0,-0.0043,0,45,Hex,Fiber,Double,PLA
0.155,0,0.00225,0,45,Hex,Fiber,Double,PLA
-0.182,0,-0.00265,0,45,Hex,Fiber,Double,PLA
-0.224,0,-0.00324,0,45,Hex,Fiber,Double,PLA
-0.0732,0,-0.00106,0,45,Hex,Fiber,Double,PLA
-0.25,0,-0.00363,0,45,Hex,Fiber,Double,PLA
-0.11,0,-0.0016,0,45,Hex,Fiber,Double,PLA
-0.31,0,-0.0045,0,45,Hex,Fiber,Double,PLA
0.479,0.0013,0.00695,0.0026,45,Hex,Fiber,Double,PLA
2.71,0.00424,0.0393,0.00849,45,Hex,Fiber,Double,PLA
4.19,0.00564,0.0608,0.0113,45,Hex,Fiber,Double,PLA
6.2,0.00834,0.09,0.0167,45,Hex,Fiber,Double,PLA
8.41,0.0106,0.122,0.0213,45,Hex,Fiber,Double,PLA
10.8,0.0132,0.157,0.0265,45,Hex,Fiber,Double,PLA
13,0.0157,0.189,0.0314,45,Hex,Fiber,Double,PLA
15.4,0.0182,0.223,0.0364,45,Hex,Fiber,Double,PLA
18,0.0206,0.261,0.0413,45,Hex,Fiber,Double,PLA
20.5,0.0232,0.298,0.0464,45,Hex,Fiber,Double,PLA
22.8,0.0256,0.331,0.0513,45,Hex,Fiber,Double,PLA
25.5,0.0282,0.37,0.0565,45,Hex,Fiber,Double,PLA
27.6,0.0306,0.401,0.0612,45,Hex,Fiber,Double,PLA
29.7,0.033,0.431,0.066,45,Hex,Fiber,Double,PLA
32.2,0.0356,0.468,0.0712,45,Hex,Fiber,Double,PLA
34.7,0.038,0.504,0.076,45,Hex,Fiber,Double,PLA
37.1,0.0405,0.539,0.081,45,Hex,Fiber,Double,PLA
39.3,0.0429,0.57,0.0858,45,Hex,Fiber,Double,PLA
41.3,0.0452,0.6,0.0904,45,Hex,Fiber,Double,PLA
43.5,0.0477,0.632,0.0954,45,Hex,Fiber,Double,PLA
46.1,0.0502,0.669,0.1,45,Hex,Fiber,Double,PLA
48.1,0.0527,0.698,0.105,45,Hex,Fiber,Double,PLA
50.4,0.0551,0.732,0.11,45,Hex,Fiber,Double,PLA
52.6,0.0575,0.764,0.115,45,Hex,Fiber,Double,PLA
57.2,0.0624,0.831,0.125,45,Hex,Fiber,Double,PLA
57.4,0.0626,0.833,0.125,45,Hex,Fiber,Double,PLA
59.6,0.065,0.865,0.13,45,Hex,Fiber,Double,PLA
61.9,0.0674,0.898,0.135,45,Hex,Fiber,Double,PLA
63.8,0.0698,0.926,0.14,45,Hex,Fiber,Double,PLA
66.2,0.0722,0.961,0.144,45,Hex,Fiber,Double,PLA
68.5,0.0748,0.995,0.15,45,Hex,Fiber,Double,PLA
70.4,0.0772,1.02,0.154,45,Hex,Fiber,Double,PLA
73.1,0.0797,1.06,0.159,45,Hex,Fiber,Double,PLA
75.1,0.0821,1.09,0.164,45,Hex,Fiber,Double,PLA
77.2,0.0845,1.12,0.169,45,Hex,Fiber,Double,PLA
79.4,0.087,1.15,0.174,45,Hex,Fiber,Double,PLA
81.5,0.0895,1.18,0.179,45,Hex,Fiber,Double,PLA
83.7,0.0919,1.22,0.184,45,Hex,Fiber,Double,PLA
85.9,0.0943,1.25,0.189,45,Hex,Fiber,Double,PLA
87.7,0.0966,1.27,0.193,45,Hex,Fiber,Double,PLA
90,0.0991,1.31,0.198,45,Hex,Fiber,Double,PLA
92.2,0.102,1.34,0.203,45,Hex,Fiber,Double,PLA
94.2,0.104,1.37,0.208,45,Hex,Fiber,Double,PLA
96.6,0.106,1.4,0.213,45,Hex,Fiber,Double,PLA
98.3,0.109,1.43,0.217,45,Hex,Fiber,Double,PLA
100,0.111,1.46,0.222,45,Hex,Fiber,Double,PLA
