Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.3,0,-0.00427,0,15,3D,Steel,Signal,PLA
-0.351,0,-0.00501,0,15,3D,Steel,Signal,PLA
-0.339,0,-0.00482,0,15,3D,Steel,Signal,PLA
-0.39,0,-0.00555,0,15,3D,Steel,Signal,PLA
-0.239,0,-0.0034,0,15,3D,Steel,Signal,PLA
-0.508,0,-0.00724,0,15,3D,Steel,Signal,PLA
-0.644,0,-0.00918,0,15,3D,Steel,Signal,PLA
-0.483,0,-0.00688,0,15,3D,Steel,Signal,PLA
-0.353,0,-0.00503,0,15,3D,Steel,Signal,PLA
-0.353,0,-0.00503,0,15,3D,Steel,Signal,PLA
-0.353,0,-0.00503,0,15,3D,Steel,Signal,PLA
-0.353,0,-0.00503,0,15,3D,Steel,Signal,PLA
-0.353,0,-0.00503,0,15,3D,Steel,Signal,PLA
-0.353,0,-0.00503,0,15,3D,Steel,Signal,PLA
-0.353,0,-0.00503,0,15,3D,Steel,Signal,PLA
-0.481,0,-0.00685,0,15,3D,Steel,Signal,PLA
-0.692,0,-0.00986,0,15,3D,Steel,Signal,PLA
-0.671,0,-0.00955,0,15,3D,Steel,Signal,PLA
-0.539,0,-0.00767,0,15,3D,Steel,Signal,PLA
-0.516,0,-0.00734,0,15,3D,Steel,Signal,PLA
-0.354,0,-0.00504,0,15,3D,Steel,Signal,PLA
-0.526,0,-0.00749,0,15,3D,Steel,Signal,PLA
-0.378,0,-0.00538,0,15,3D,Steel,Signal,PLA
-0.545,0,-0.00776,0,15,3D,Steel,Signal,PLA
-0.584,0,-0.00833,0,15,3D,Steel,Signal,PLA
-0.666,0,-0.00949,0,15,3D,Steel,Signal,PLA
-0.794,0,-0.0113,0,15,3D,Steel,Signal,PLA
-0.518,0,-0.00738,0,15,3D,Steel,Signal,PLA
-0.66,0,-0.00941,0,15,3D,Steel,Signal,PLA
-0.726,0,-0.0103,0,15,3D,Steel,Signal,PLA
-0.465,0,-0.00663,0,15,3D,Steel,Signal,PLA
-0.753,0,-0.0107,0,15,3D,Steel,Signal,PLA
-0.753,0,-0.0107,0,15,3D,Steel,Signal,PLA
-0.742,0,-0.0106,0,15,3D,Steel,Signal,PLA
-0.647,0,-0.00922,0,15,3D,Steel,Signal,PLA
-0.473,0,-0.00673,0,15,3D,Steel,Signal,PLA
-0.628,0,-0.00895,0,15,3D,Steel,Signal,PLA
-0.935,0,-0.0133,0,15,3D,Steel,Signal,PLA
-0.687,0,-0.00978,0,15,3D,Steel,Signal,PLA
-0.694,0,-0.00988,0,15,3D,Steel,Signal,PLA
-0.834,0,-0.0119,0,15,3D,Steel,Signal,PLA
-0.625,0,-0.0089,0,15,3D,Steel,Signal,PLA
-0.744,0,-0.0106,0,15,3D,Steel,Signal,PLA
-0.854,0,-0.0122,0,15,3D,Steel,Signal,PLA
-0.567,0,-0.00808,0,15,3D,Steel,Signal,PLA
-0.736,0,-0.0105,0,15,3D,Steel,Signal,PLA
-0.57,0,-0.00813,0,15,3D,Steel,Signal,PLA
-0.673,0,-0.00958,0,15,3D,Steel,Signal,PLA
-1,0,-0.0143,0,15,3D,Steel,Signal,PLA
-0.665,0,-0.00948,0,15,3D,Steel,Signal,PLA
-0.443,0,-0.0063,0,15,3D,Steel,Signal,PLA
-0.95,0.0001,-0.0135,0.0002,15,3D,Steel,Signal,PLA
0.0725,0.0012,0.00103,0.0024,15,3D,Steel,Signal,PLA
1.56,0.00261,0.0222,0.00522,15,3D,Steel,Signal,PLA
3.06,0.0042,0.0436,0.0084,15,3D,Steel,Signal,PLA
3.9,0.00491,0.0556,0.00981,15,3D,Steel,Signal,PLA
5.78,0.00666,0.0823,0.0133,15,3D,Steel,Signal,PLA
7.29,0.00821,0.104,0.0164,15,3D,Steel,Signal,PLA
9.03,0.00976,0.129,0.0195,15,3D,Steel,Signal,PLA
10.9,0.0112,0.155,0.0224,15,3D,Steel,Signal,PLA
12,0.0127,0.171,0.0253,15,3D,Steel,Signal,PLA
14.1,0.0142,0.201,0.0284,15,3D,Steel,Signal,PLA
15.2,0.0157,0.217,0.0313,15,3D,Steel,Signal,PLA
17,0.0172,0.242,0.0344,15,3D,Steel,Signal,PLA
18.8,0.0188,0.268,0.0375,15,3D,Steel,Signal,PLA
21.1,0.0203,0.3,0.0406,15,3D,Steel,Signal,PLA
22.5,0.0219,0.32,0.0437,15,3D,Steel,Signal,PLA
24.5,0.0234,0.349,0.0468,15,3D,Steel,Signal,PLA
25.9,0.0249,0.369,0.0497,15,3D,Steel,Signal,PLA
27.4,0.0263,0.391,0.0526,15,3D,Steel,Signal,PLA
29.3,0.0278,0.418,0.0555,15,3D,Steel,Signal,PLA
30.4,0.0293,0.433,0.0586,15,3D,Steel,Signal,PLA
32.3,0.0309,0.46,0.0618,15,3D,Steel,Signal,PLA
33.9,0.0324,0.483,0.0649,15,3D,Steel,Signal,PLA
35.2,0.0339,0.502,0.0678,15,3D,Steel,Signal,PLA
36.9,0.0354,0.526,0.0709,15,3D,Steel,Signal,PLA
38.4,0.0369,0.547,0.0738,15,3D,Steel,Signal,PLA
40,0.0383,0.57,0.0767,15,3D,Steel,Signal,PLA
41.2,0.0398,0.587,0.0796,15,3D,Steel,Signal,PLA
42.4,0.0412,0.604,0.0825,15,3D,Steel,Signal,PLA
44,0.0428,0.627,0.0856,15,3D,Steel,Signal,PLA
45.5,0.0442,0.648,0.0885,15,3D,Steel,Signal,PLA
46.9,0.0458,0.668,0.0916,15,3D,Steel,Signal,PLA
48.7,0.0472,0.694,0.0945,15,3D,Steel,Signal,PLA
49.6,0.0488,0.707,0.0976,15,3D,Steel,Signal,PLA
51.1,0.0501,0.727,0.1,15,3D,Steel,Signal,PLA
52.4,0.0517,0.746,0.103,15,3D,Steel,Signal,PLA
53.9,0.053,0.768,0.106,15,3D,Steel,Signal,PLA
55.2,0.0545,0.787,0.109,15,3D,Steel,Signal,PLA
56.5,0.056,0.804,0.112,15,3D,Steel,Signal,PLA
58,0.0575,0.826,0.115,15,3D,Steel,Signal,PLA
59.1,0.0589,0.841,0.118,15,3D,Steel,Signal,PLA
60.6,0.0605,0.863,0.121,15,3D,Steel,Signal,PLA
62.1,0.0619,0.884,0.124,15,3D,Steel,Signal,PLA
63.1,0.0634,0.899,0.127,15,3D,Steel,Signal,PLA
65.6,0.0662,0.935,0.132,15,3D,Steel,Signal,PLA
66.1,0.0664,0.941,0.133,15,3D,Steel,Signal,PLA
66.9,0.0678,0.953,0.136,15,3D,Steel,Signal,PLA
68.4,0.0694,0.975,0.139,15,3D,Steel,Signal,PLA
69.8,0.0708,0.995,0.142,15,3D,Steel,Signal,PLA
71.2,0.0724,1.01,0.145,15,3D,Steel,Signal,PLA
72.2,0.0738,1.03,0.148,15,3D,Steel,Signal,PLA
74,0.0753,1.05,0.151,15,3D,Steel,Signal,PLA
75.2,0.0767,1.07,0.153,15,3D,Steel,Signal,PLA
76.3,0.0782,1.09,0.156,15,3D,Steel,Signal,PLA
77.6,0.0796,1.1,0.159,15,3D,Steel,Signal,PLA
79,0.0811,1.12,0.162,15,3D,Steel,Signal,PLA
80.3,0.0826,1.14,0.165,15,3D,Steel,Signal,PLA
81.6,0.0841,1.16,0.168,15,3D,Steel,Signal,PLA
82.8,0.0855,1.18,0.171,15,3D,Steel,Signal,PLA
84,0.087,1.2,0.174,15,3D,Steel,Signal,PLA
85.5,0.0885,1.22,0.177,15,3D,Steel,Signal,PLA
86.7,0.0899,1.23,0.18,15,3D,Steel,Signal,PLA
87.8,0.0913,1.25,0.183,15,3D,Steel,Signal,PLA
89.2,0.0927,1.27,0.185,15,3D,Steel,Signal,PLA
90.4,0.0942,1.29,0.188,15,3D,Steel,Signal,PLA
91.6,0.0957,1.3,0.191,15,3D,Steel,Signal,PLA
93,0.0972,1.32,0.194,15,3D,Steel,Signal,PLA
94.3,0.0987,1.34,0.197,15,3D,Steel,Signal,PLA
95.9,0.1,1.37,0.2,15,3D,Steel,Signal,PLA
96.7,0.102,1.38,0.203,15,3D,Steel,Signal,PLA
98.2,0.103,1.4,0.206,15,3D,Steel,Signal,PLA
99.2,0.104,1.41,0.209,15,3D,Steel,Signal,PLA
100,0.106,1.43,0.212,15,3D,Steel,Signal,PLA
102,0.107,1.45,0.215,15,3D,Steel,Signal,PLA
103,0.109,1.47,0.218,15,3D,Steel,Signal,PLA
104,0.11,1.48,0.221,15,3D,Steel,Signal,PLA
105,0.112,1.5,0.224,15,3D,Steel,Signal,PLA
107,0.113,1.52,0.226,15,3D,Steel,Signal,PLA
108,0.115,1.54,0.229,15,3D,Steel,Signal,PLA
109,0.116,1.55,0.232,15,3D,Steel,Signal,PLA
111,0.117,1.57,0.235,15,3D,Steel,Signal,PLA
112,0.119,1.59,0.238,15,3D,Steel,Signal,PLA
113,0.12,1.61,0.241,15,3D,Steel,Signal,PLA
114,0.122,1.62,0.244,15,3D,Steel,Signal,PLA
116,0.123,1.65,0.247,15,3D,Steel,Signal,PLA
117,0.125,1.66,0.25,15,3D,Steel,Signal,PLA
118,0.126,1.68,0.253,15,3D,Steel,Signal,PLA
119,0.128,1.7,0.255,15,3D,Steel,Signal,PLA
121,0.129,1.72,0.258,15,3D,Steel,Signal,PLA
122,0.131,1.73,0.261,15,3D,Steel,Signal,PLA
123,0.132,1.75,0.264,15,3D,Steel,Signal,PLA
124,0.133,1.77,0.267,15,3D,Steel,Signal,PLA
126,0.135,1.79,0.27,15,3D,Steel,Signal,PLA
127,0.136,1.81,0.273,15,3D,Steel,Signal,PLA
128,0.138,1.82,0.276,15,3D,Steel,Signal,PLA
129,0.139,1.84,0.279,15,3D,Steel,Signal,PLA
130,0.141,1.86,0.282,15,3D,Steel,Signal,PLA
132,0.142,1.88,0.284,15,3D,Steel,Signal,PLA
133,0.144,1.89,0.287,15,3D,Steel,Signal,PLA
134,0.145,1.91,0.29,15,3D,Steel,Signal,PLA
135,0.147,1.92,0.293,15,3D,Steel,Signal,PLA
136,0.148,1.94,0.296,15,3D,Steel,Signal,PLA
138,0.149,1.96,0.299,15,3D,Steel,Signal,PLA
139,0.151,1.98,0.302,15,3D,Steel,Signal,PLA
140,0.152,2,0.305,15,3D,Steel,Signal,PLA
141,0.154,2.01,0.308,15,3D,Steel,Signal,PLA
143,0.155,2.03,0.311,15,3D,Steel,Signal,PLA
144,0.157,2.05,0.313,15,3D,Steel,Signal,PLA
145,0.158,2.06,0.316,15,3D,Steel,Signal,PLA
146,0.16,2.08,0.319,15,3D,Steel,Signal,PLA
147,0.161,2.1,0.322,15,3D,Steel,Signal,PLA
149,0.163,2.12,0.325,15,3D,Steel,Signal,PLA
150,0.164,2.14,0.328,15,3D,Steel,Signal,PLA
151,0.165,2.16,0.331,15,3D,Steel,Signal,PLA
152,0.167,2.17,0.334,15,3D,Steel,Signal,PLA
154,0.168,2.19,0.337,15,3D,Steel,Signal,PLA
155,0.17,2.2,0.339,15,3D,Steel,Signal,PLA
156,0.171,2.22,0.342,15,3D,Steel,Signal,PLA
157,0.173,2.24,0.345,15,3D,Steel,Signal,PLA
159,0.174,2.26,0.348,15,3D,Steel,Signal,PLA
160,0.176,2.27,0.351,15,3D,Steel,Signal,PLA
161,0.177,2.29,0.354,15,3D,Steel,Signal,PLA
162,0.179,2.31,0.357,15,3D,Steel,Signal,PLA
163,0.18,2.32,0.36,15,3D,Steel,Signal,PLA
164,0.181,2.34,0.363,15,3D,Steel,Signal,PLA
165,0.183,2.36,0.365,15,3D,Steel,Signal,PLA
167,0.184,2.38,0.369,15,3D,Steel,Signal,PLA
168,0.186,2.39,0.371,15,3D,Steel,Signal,PLA
169,0.187,2.41,0.374,15,3D,Steel,Signal,PLA
170,0.189,2.43,0.377,15,3D,Steel,Signal,PLA
172,0.19,2.45,0.38,15,3D,Steel,Signal,PLA
173,0.192,2.46,0.383,15,3D,Steel,Signal,PLA
174,0.193,2.48,0.386,15,3D,Steel,Signal,PLA
175,0.194,2.5,0.389,15,3D,Steel,Signal,PLA
176,0.196,2.51,0.392,15,3D,Steel,Signal,PLA
177,0.197,2.53,0.395,15,3D,Steel,Signal,PLA
179,0.199,2.55,0.397,15,3D,Steel,Signal,PLA
180,0.2,2.56,0.401,15,3D,Steel,Signal,PLA
181,0.202,2.58,0.403,15,3D,Steel,Signal,PLA
182,0.203,2.6,0.406,15,3D,Steel,Signal,PLA
183,0.205,2.61,0.409,15,3D,Steel,Signal,PLA
184,0.206,2.63,0.412,15,3D,Steel,Signal,PLA
186,0.207,2.64,0.415,15,3D,Steel,Signal,PLA
187,0.209,2.66,0.418,15,3D,Steel,Signal,PLA
188,0.21,2.68,0.421,15,3D,Steel,Signal,PLA
189,0.212,2.7,0.424,15,3D,Steel,Signal,PLA
190,0.213,2.71,0.427,15,3D,Steel,Signal,PLA
192,0.215,2.73,0.43,15,3D,Steel,Signal,PLA
193,0.216,2.75,0.433,15,3D,Steel,Signal,PLA
194,0.218,2.76,0.435,15,3D,Steel,Signal,PLA
195,0.219,2.78,0.438,15,3D,Steel,Signal,PLA
196,0.221,2.8,0.441,15,3D,Steel,Signal,PLA
197,0.222,2.81,0.444,15,3D,Steel,Signal,PLA
199,0.224,2.83,0.447,15,3D,Steel,Signal,PLA
200,0.225,2.85,0.45,15,3D,Steel,Signal,PLA
201,0.226,2.87,0.453,15,3D,Steel,Signal,PLA
202,0.228,2.88,0.456,15,3D,Steel,Signal,PLA
204,0.229,2.9,0.459,15,3D,Steel,Signal,PLA
205,0.231,2.91,0.462,15,3D,Steel,Signal,PLA
206,0.232,2.93,0.465,15,3D,Steel,Signal,PLA
207,0.234,2.94,0.467,15,3D,Steel,Signal,PLA
208,0.235,2.97,0.47,15,3D,Steel,Signal,PLA
209,0.237,2.97,0.473,15,3D,Steel,Signal,PLA
210,0.238,3,0.476,15,3D,Steel,Signal,PLA
211,0.24,3.01,0.479,15,3D,Steel,Signal,PLA
213,0.241,3.03,0.482,15,3D,Steel,Signal,PLA
214,0.242,3.05,0.485,15,3D,Steel,Signal,PLA
215,0.244,3.06,0.488,15,3D,Steel,Signal,PLA
216,0.245,3.08,0.491,15,3D,Steel,Signal,PLA
