Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.742,0,-0.0108,0,15,Hex,Steel,Single,PLA
-0.827,0,-0.012,0,15,Hex,Steel,Single,PLA
-0.827,0,-0.012,0,15,Hex,Steel,Single,PLA
-0.827,0,-0.012,0,15,Hex,Steel,Single,PLA
-0.885,0,-0.0128,0,15,Hex,Steel,Single,PLA
-0.846,0,-0.0123,0,15,Hex,Steel,Single,PLA
-0.767,0,-0.0111,0,15,Hex,Steel,Single,PLA
-1.14,0,-0.0166,0,15,Hex,Steel,Single,PLA
-0.945,0,-0.0137,0,15,Hex,Steel,Single,PLA
-0.892,0,-0.0129,0,15,Hex,Steel,Single,PLA
-0.878,0,-0.0127,0,15,Hex,Steel,Single,PLA
-0.65,0,-0.00943,0,15,Hex,Steel,Single,PLA
-0.79,0,-0.0115,0,15,Hex,Steel,Single,PLA
-0.835,0,-0.0121,0,15,Hex,Steel,Single,PLA
-0.951,0,-0.0138,0,15,Hex,Steel,Single,PLA
-1.01,0,-0.0147,0,15,Hex,Steel,Single,PLA
-0.989,0,-0.0143,0,15,Hex,Steel,Single,PLA
-1.11,0,-0.0161,0,15,Hex,Steel,Single,PLA
-0.88,0,-0.0128,0,15,Hex,Steel,Single,PLA
-1.14,0,-0.0166,0,15,Hex,Steel,Single,PLA
-0.912,0,-0.0132,0,15,Hex,Steel,Single,PLA
-0.877,0,-0.0127,0,15,Hex,Steel,Single,PLA
-0.715,0,-0.0104,0,15,Hex,Steel,Single,PLA
-0.984,0,-0.0143,0,15,Hex,Steel,Single,PLA
-0.906,0,-0.0132,0,15,Hex,Steel,Single,PLA
-0.934,0,-0.0136,0,15,Hex,Steel,Single,PLA
-0.802,0,-0.0116,0,15,Hex,Steel,Single,PLA
-1.01,0,-0.0147,0,15,Hex,Steel,Single,PLA
-0.924,0,-0.0134,0,15,Hex,Steel,Single,PLA
-1.03,0,-0.0149,0,15,Hex,Steel,Single,PLA
-0.946,0,-0.0137,0,15,Hex,Steel,Single,PLA
-0.983,0,-0.0143,0,15,Hex,Steel,Single,PLA
-0.58,0.000723,-0.00842,0.00145,15,Hex,Steel,Single,PLA
1.11,0.0021,0.0161,0.0042,15,Hex,Steel,Single,PLA
4.91,0.0053,0.0712,0.0106,15,Hex,Steel,Single,PLA
6.01,0.00644,0.0872,0.0129,15,Hex,Steel,Single,PLA
8.6,0.00871,0.125,0.0174,15,Hex,Steel,Single,PLA
11,0.0108,0.16,0.0216,15,Hex,Steel,Single,PLA
13.7,0.0129,0.198,0.0258,15,Hex,Steel,Single,PLA
16,0.015,0.233,0.0301,15,Hex,Steel,Single,PLA
19.1,0.0172,0.277,0.0344,15,Hex,Steel,Single,PLA
21.7,0.0194,0.315,0.0388,15,Hex,Steel,Single,PLA
24.8,0.0213,0.359,0.0427,15,Hex,Steel,Single,PLA
26.8,0.0234,0.389,0.0468,15,Hex,Steel,Single,PLA
29.5,0.0257,0.428,0.0514,15,Hex,Steel,Single,PLA
32,0.0278,0.465,0.0555,15,Hex,Steel,Single,PLA
34.9,0.0299,0.506,0.0599,15,Hex,Steel,Single,PLA
37.6,0.0321,0.546,0.0642,15,Hex,Steel,Single,PLA
39.4,0.0341,0.572,0.0682,15,Hex,Steel,Single,PLA
41.9,0.0362,0.608,0.0723,15,Hex,Steel,Single,PLA
44.5,0.0383,0.646,0.0767,15,Hex,Steel,Single,PLA
46.8,0.0405,0.68,0.081,15,Hex,Steel,Single,PLA
49.5,0.0426,0.718,0.0851,15,Hex,Steel,Single,PLA
51.7,0.0446,0.75,0.0893,15,Hex,Steel,Single,PLA
53.9,0.0467,0.783,0.0934,15,Hex,Steel,Single,PLA
56.5,0.0487,0.819,0.0974,15,Hex,Steel,Single,PLA
58.7,0.0509,0.851,0.102,15,Hex,Steel,Single,PLA
61,0.0529,0.885,0.106,15,Hex,Steel,Single,PLA
63.3,0.055,0.919,0.11,15,Hex,Steel,Single,PLA
65.9,0.0572,0.956,0.114,15,Hex,Steel,Single,PLA
67.9,0.0593,0.986,0.119,15,Hex,Steel,Single,PLA
72.4,0.0633,1.05,0.127,15,Hex,Steel,Single,PLA
72.3,0.0635,1.05,0.127,15,Hex,Steel,Single,PLA
74.8,0.0656,1.09,0.131,15,Hex,Steel,Single,PLA
77.2,0.0676,1.12,0.135,15,Hex,Steel,Single,PLA
79.1,0.0698,1.15,0.14,15,Hex,Steel,Single,PLA
81.5,0.0717,1.18,0.143,15,Hex,Steel,Single,PLA
83.9,0.0738,1.22,0.148,15,Hex,Steel,Single,PLA
85.7,0.0759,1.24,0.152,15,Hex,Steel,Single,PLA
88,0.0779,1.28,0.156,15,Hex,Steel,Single,PLA
90.2,0.0801,1.31,0.16,15,Hex,Steel,Single,PLA
92.6,0.0822,1.34,0.164,15,Hex,Steel,Single,PLA
94.5,0.0842,1.37,0.168,15,Hex,Steel,Single,PLA
96.7,0.0862,1.4,0.172,15,Hex,Steel,Single,PLA
99,0.0882,1.44,0.176,15,Hex,Steel,Single,PLA
101,0.0902,1.46,0.18,15,Hex,Steel,Single,PLA
103,0.0924,1.5,0.185,15,Hex,Steel,Single,PLA
105,0.0945,1.53,0.189,15,Hex,Steel,Single,PLA
107,0.0965,1.56,0.193,15,Hex,Steel,Single,PLA
109,0.0985,1.59,0.197,15,Hex,Steel,Single,PLA
112,0.101,1.62,0.201,15,Hex,Steel,Single,PLA
114,0.103,1.65,0.205,15,Hex,Steel,Single,PLA
116,0.105,1.68,0.209,15,Hex,Steel,Single,PLA
118,0.107,1.71,0.214,15,Hex,Steel,Single,PLA
120,0.109,1.74,0.218,15,Hex,Steel,Single,PLA
122,0.111,1.77,0.222,15,Hex,Steel,Single,PLA
124,0.113,1.8,0.226,15,Hex,Steel,Single,PLA
126,0.115,1.83,0.23,15,Hex,Steel,Single,PLA
128,0.117,1.86,0.234,15,Hex,Steel,Single,PLA
131,0.119,1.9,0.238,15,Hex,Steel,Single,PLA
133,0.121,1.93,0.242,15,Hex,Steel,Single,PLA
135,0.123,1.96,0.246,15,Hex,Steel,Single,PLA
137,0.125,1.99,0.25,15,Hex,Steel,Single,PLA
139,0.127,2.02,0.254,15,Hex,Steel,Single,PLA
141,0.129,2.05,0.259,15,Hex,Steel,Single,PLA
143,0.131,2.08,0.263,15,Hex,Steel,Single,PLA
145,0.133,2.11,0.267,15,Hex,Steel,Single,PLA
147,0.135,2.14,0.271,15,Hex,Steel,Single,PLA
149,0.137,2.17,0.275,15,Hex,Steel,Single,PLA
151,0.139,2.2,0.279,15,Hex,Steel,Single,PLA
154,0.142,2.23,0.283,15,Hex,Steel,Single,PLA
156,0.144,2.26,0.287,15,Hex,Steel,Single,PLA
158,0.146,2.29,0.291,15,Hex,Steel,Single,PLA
160,0.148,2.32,0.295,15,Hex,Steel,Single,PLA
