Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
0.286,0,0.00415,0,30,3D,Without Mesh,Zero,PLA
-0.153,0,-0.00222,0,30,3D,Without Mesh,Zero,PLA
-0.0983,0,-0.00143,0,30,3D,Without Mesh,Zero,PLA
-0.0439,0,-0.000637,0,30,3D,Without Mesh,Zero,PLA
-0.0358,0,-0.000519,0,30,3D,Without Mesh,Zero,PLA
-0.0358,0,-0.000519,0,30,3D,Without Mesh,Zero,PLA
-0.0565,0,-0.00082,0,30,3D,Without Mesh,Zero,PLA
0.283,0,0.00411,0,30,3D,Without Mesh,Zero,PLA
-0.0642,0,-0.000932,0,30,3D,Without Mesh,Zero,PLA
0.273,0,0.00396,0,30,3D,Without Mesh,Zero,PLA
0.00203,0,2.95E-05,0,30,3D,Without Mesh,Zero,PLA
0.469,0,0.00681,0,30,3D,Without Mesh,Zero,PLA
0.419,0,0.00608,0,30,3D,Without Mesh,Zero,PLA
0.118,0,0.00172,0,30,3D,Without Mesh,Zero,PLA
0.462,0,0.00671,0,30,3D,Without Mesh,Zero,PLA
-0.0215,0,-0.000313,0,30,3D,Without Mesh,Zero,PLA
0.249,0,0.00362,0,30,3D,Without Mesh,Zero,PLA
0.00691,0,0.0001,0,30,3D,Without Mesh,Zero,PLA
0.126,0,0.00183,0,30,3D,Without Mesh,Zero,PLA
0.477,0,0.00692,0,30,3D,Without Mesh,Zero,PLA
0.123,0,0.00179,0,30,3D,Without Mesh,Zero,PLA
0.447,0,0.00649,0,30,3D,Without Mesh,Zero,PLA
0.224,0,0.00324,0,30,3D,Without Mesh,Zero,PLA
-0.00284,0,-4.13E-05,0,30,3D,Without Mesh,Zero,PLA
0.115,0,0.00168,0,30,3D,Without Mesh,Zero,PLA
0.123,0,0.00178,0,30,3D,Without Mesh,Zero,PLA
0.32,0,0.00464,0,30,3D,Without Mesh,Zero,PLA
0.263,0,0.00382,0,30,3D,Without Mesh,Zero,PLA
0.264,0,0.00383,0,30,3D,Without Mesh,Zero,PLA
0.232,0,0.00337,0,30,3D,Without Mesh,Zero,PLA
0.0317,0,0.00046,0,30,3D,Without Mesh,Zero,PLA
0.243,0,0.00353,0,30,3D,Without Mesh,Zero,PLA
0.244,0,0.00354,0,30,3D,Without Mesh,Zero,PLA
0.308,0,0.00448,0,30,3D,Without Mesh,Zero,PLA
0.412,0,0.00599,0,30,3D,Without Mesh,Zero,PLA
