Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.00447,0,-6.74E-05,0,30,Hex,Without Mesh,Zero,PLA
0.00894,0,0.000135,0,30,Hex,Without Mesh,Zero,PLA
-0.0939,0,-0.00142,0,30,Hex,Without Mesh,Zero,PLA
-0.0939,0,-0.00142,0,30,Hex,Without Mesh,Zero,PLA
-0.0939,0,-0.00142,0,30,Hex,Without Mesh,Zero,PLA
0.0629,0,0.000949,0,30,Hex,Without Mesh,Zero,PLA
-0.00997,0,-0.00015,0,30,Hex,Without Mesh,Zero,PLA
-0.0115,0,-0.000174,0,30,Hex,Without Mesh,Zero,PLA
-0.299,0,-0.00451,0,30,Hex,Without Mesh,Zero,PLA
-0.0359,0,-0.000542,0,30,Hex,Without Mesh,Zero,PLA
-0.033,0,-0.000498,0,30,Hex,Without Mesh,Zero,PLA
0.0208,0,0.000314,0,30,Hex,Without Mesh,Zero,PLA
0.032,0,0.000482,0,30,Hex,Without Mesh,Zero,PLA
-0.141,0,-0.00212,0,30,Hex,Without Mesh,Zero,PLA
-0.142,0,-0.00214,0,30,Hex,Without Mesh,Zero,PLA
-0.0842,0,-0.00127,0,30,Hex,Without Mesh,Zero,PLA
0.0265,0,0.000399,0,30,Hex,Without Mesh,Zero,PLA
-0.252,0,-0.0038,0,30,Hex,Without Mesh,Zero,PLA
-0.0168,0,-0.000254,0,30,Hex,Without Mesh,Zero,PLA
-0.115,0,-0.00173,0,30,Hex,Without Mesh,Zero,PLA
0.0124,0,0.000187,0,30,Hex,Without Mesh,Zero,PLA
-0.228,0,-0.00343,0,30,Hex,Without Mesh,Zero,PLA
0.00757,0,0.000114,0,30,Hex,Without Mesh,Zero,PLA
-0.149,0,-0.00225,0,30,Hex,Without Mesh,Zero,PLA
0.0351,0,0.000529,0,30,Hex,Without Mesh,Zero,PLA
-0.112,0,-0.00169,0,30,Hex,Without Mesh,Zero,PLA
-0.0983,0,-0.00148,0,30,Hex,Without Mesh,Zero,PLA
0.0272,0.0001,0.00041,0.0002,30,Hex,Without Mesh,Zero,PLA
1.39,0.00238,0.021,0.00477,30,Hex,Without Mesh,Zero,PLA
3.48,0.00473,0.0525,0.00945,30,Hex,Without Mesh,Zero,PLA
5.64,0.00727,0.0851,0.0145,30,Hex,Without Mesh,Zero,PLA
8.22,0.00971,0.124,0.0194,30,Hex,Without Mesh,Zero,PLA
