Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.791,0,-0.0115,0,15,Tri,Steel,Single,PLA
-0.704,0,-0.0102,0,15,Tri,Steel,Single,PLA
-0.983,0,-0.0143,0,15,Tri,Steel,Single,PLA
-0.983,0,-0.0143,0,15,Tri,Steel,Single,PLA
-0.872,0,-0.0127,0,15,Tri,Steel,Single,PLA
-0.872,0,-0.0127,0,15,Tri,Steel,Single,PLA
-0.872,0,-0.0127,0,15,Tri,Steel,Single,PLA
-0.876,0,-0.0127,0,15,Tri,Steel,Single,PLA
-0.897,0,-0.013,0,15,Tri,Steel,Single,PLA
-0.9,0,-0.0131,0,15,Tri,Steel,Single,PLA
-0.941,0,-0.0137,0,15,Tri,Steel,Single,PLA
-0.95,0,-0.0138,0,15,Tri,Steel,Single,PLA
-0.862,0,-0.0125,0,15,Tri,Steel,Single,PLA
-1.04,0,-0.0152,0,15,Tri,Steel,Single,PLA
-1.17,0,-0.017,0,15,Tri,Steel,Single,PLA
-0.818,0,-0.0119,0,15,Tri,Steel,Single,PLA
-1.06,0,-0.0154,0,15,Tri,Steel,Single,PLA
-0.934,0,-0.0135,0,15,Tri,Steel,Single,PLA
-1.01,0,-0.0146,0,15,Tri,Steel,Single,PLA
-0.665,0,-0.00966,0,15,Tri,Steel,Single,PLA
-0.863,0,-0.0125,0,15,Tri,Steel,Single,PLA
-1,0,-0.0146,0,15,Tri,Steel,Single,PLA
-0.747,0,-0.0108,0,15,Tri,Steel,Single,PLA
-0.966,0,-0.014,0,15,Tri,Steel,Single,PLA
-0.992,0,-0.0144,0,15,Tri,Steel,Single,PLA
-1.01,0,-0.0147,0,15,Tri,Steel,Single,PLA
-0.996,0,-0.0144,0,15,Tri,Steel,Single,PLA
-1.06,0,-0.0154,0,15,Tri,Steel,Single,PLA
-1.12,0,-0.0162,0,15,Tri,Steel,Single,PLA
-0.898,0,-0.013,0,15,Tri,Steel,Single,PLA
-0.927,0,-0.0135,0,15,Tri,Steel,Single,PLA
-0.96,0,-0.0139,0,15,Tri,Steel,Single,PLA
-1.13,0,-0.0164,0,15,Tri,Steel,Single,PLA
-0.864,0,-0.0125,0,15,Tri,Steel,Single,PLA
-1.13,0,-0.0164,0,15,Tri,Steel,Single,PLA
-1.06,0,-0.0154,0,15,Tri,Steel,Single,PLA
-0.951,0,-0.0138,0,15,Tri,Steel,Single,PLA
-1.07,0,-0.0155,0,15,Tri,Steel,Single,PLA
-0.629,0.000157,-0.00913,0.000313,15,Tri,Steel,Single,PLA
0.26,0.00159,0.00378,0.00317,15,Tri,Steel,Single,PLA
2.09,0.00333,0.0304,0.00667,15,Tri,Steel,Single,PLA
3.91,0.0052,0.0568,0.0104,15,Tri,Steel,Single,PLA
5.3,0.00658,0.0769,0.0132,15,Tri,Steel,Single,PLA
7.67,0.0085,0.111,0.017,15,Tri,Steel,Single,PLA
9.69,0.0102,0.141,0.0205,15,Tri,Steel,Single,PLA
12.1,0.0122,0.175,0.0243,15,Tri,Steel,Single,PLA
14.1,0.014,0.204,0.028,15,Tri,Steel,Single,PLA
16.4,0.0157,0.239,0.0315,15,Tri,Steel,Single,PLA
18.3,0.0177,0.266,0.0353,15,Tri,Steel,Single,PLA
21,0.0195,0.305,0.039,15,Tri,Steel,Single,PLA
23.2,0.0212,0.336,0.0424,15,Tri,Steel,Single,PLA
25.8,0.0232,0.374,0.0463,15,Tri,Steel,Single,PLA
27.8,0.025,0.404,0.05,15,Tri,Steel,Single,PLA
30,0.0269,0.435,0.0538,15,Tri,Steel,Single,PLA
32.1,0.0287,0.465,0.0575,15,Tri,Steel,Single,PLA
34.2,0.0306,0.497,0.0611,15,Tri,Steel,Single,PLA
36.6,0.0323,0.531,0.0646,15,Tri,Steel,Single,PLA
38.5,0.0341,0.558,0.0683,15,Tri,Steel,Single,PLA
40.4,0.0359,0.586,0.0718,15,Tri,Steel,Single,PLA
42,0.0378,0.609,0.0756,15,Tri,Steel,Single,PLA
44.4,0.0396,0.644,0.0792,15,Tri,Steel,Single,PLA
46,0.0414,0.668,0.0828,15,Tri,Steel,Single,PLA
48,0.0433,0.697,0.0866,15,Tri,Steel,Single,PLA
50.2,0.045,0.729,0.09,15,Tri,Steel,Single,PLA
51.9,0.0467,0.754,0.0935,15,Tri,Steel,Single,PLA
53.8,0.0485,0.781,0.097,15,Tri,Steel,Single,PLA
55.6,0.0504,0.807,0.101,15,Tri,Steel,Single,PLA
57.3,0.0521,0.832,0.104,15,Tri,Steel,Single,PLA
61.2,0.0558,0.889,0.112,15,Tri,Steel,Single,PLA
61.4,0.056,0.89,0.112,15,Tri,Steel,Single,PLA
63.2,0.0577,0.917,0.115,15,Tri,Steel,Single,PLA
65.1,0.0594,0.945,0.119,15,Tri,Steel,Single,PLA
66.7,0.0612,0.969,0.122,15,Tri,Steel,Single,PLA
68.7,0.0629,0.996,0.126,15,Tri,Steel,Single,PLA
70.5,0.0647,1.02,0.129,15,Tri,Steel,Single,PLA
72,0.0666,1.05,0.133,15,Tri,Steel,Single,PLA
74.3,0.0684,1.08,0.137,15,Tri,Steel,Single,PLA
75.9,0.0702,1.1,0.14,15,Tri,Steel,Single,PLA
77.8,0.0719,1.13,0.144,15,Tri,Steel,Single,PLA
79.6,0.0736,1.15,0.147,15,Tri,Steel,Single,PLA
81.3,0.0754,1.18,0.151,15,Tri,Steel,Single,PLA
82.9,0.0772,1.2,0.154,15,Tri,Steel,Single,PLA
84.9,0.0791,1.23,0.158,15,Tri,Steel,Single,PLA
86.9,0.0809,1.26,0.162,15,Tri,Steel,Single,PLA
88.4,0.0826,1.28,0.165,15,Tri,Steel,Single,PLA
90.5,0.0844,1.31,0.169,15,Tri,Steel,Single,PLA
91.8,0.0861,1.33,0.172,15,Tri,Steel,Single,PLA
93.7,0.0878,1.36,0.176,15,Tri,Steel,Single,PLA
95,0.0896,1.38,0.179,15,Tri,Steel,Single,PLA
97.4,0.0915,1.41,0.183,15,Tri,Steel,Single,PLA
99,0.0933,1.44,0.187,15,Tri,Steel,Single,PLA
100,0.0951,1.46,0.19,15,Tri,Steel,Single,PLA
102,0.0968,1.48,0.194,15,Tri,Steel,Single,PLA
104,0.0985,1.51,0.197,15,Tri,Steel,Single,PLA
106,0.1,1.53,0.201,15,Tri,Steel,Single,PLA
107,0.102,1.56,0.204,15,Tri,Steel,Single,PLA
110,0.104,1.59,0.208,15,Tri,Steel,Single,PLA
111,0.106,1.6,0.211,15,Tri,Steel,Single,PLA
113,0.107,1.64,0.215,15,Tri,Steel,Single,PLA
114,0.109,1.66,0.218,15,Tri,Steel,Single,PLA
116,0.111,1.68,0.222,15,Tri,Steel,Single,PLA
118,0.113,1.71,0.225,15,Tri,Steel,Single,PLA
119,0.114,1.73,0.229,15,Tri,Steel,Single,PLA
121,0.116,1.76,0.232,15,Tri,Steel,Single,PLA
123,0.118,1.79,0.236,15,Tri,Steel,Single,PLA
125,0.12,1.81,0.24,15,Tri,Steel,Single,PLA
127,0.122,1.84,0.243,15,Tri,Steel,Single,PLA
128,0.123,1.86,0.247,15,Tri,Steel,Single,PLA
130,0.125,1.88,0.25,15,Tri,Steel,Single,PLA
131,0.127,1.91,0.253,15,Tri,Steel,Single,PLA
133,0.129,1.93,0.257,15,Tri,Steel,Single,PLA
135,0.13,1.96,0.261,15,Tri,Steel,Single,PLA
137,0.132,1.98,0.264,15,Tri,Steel,Single,PLA
138,0.134,2.01,0.268,15,Tri,Steel,Single,PLA
140,0.136,2.03,0.271,15,Tri,Steel,Single,PLA
142,0.137,2.06,0.275,15,Tri,Steel,Single,PLA
143,0.139,2.08,0.278,15,Tri,Steel,Single,PLA
145,0.141,2.11,0.282,15,Tri,Steel,Single,PLA
147,0.143,2.13,0.286,15,Tri,Steel,Single,PLA
149,0.145,2.16,0.289,15,Tri,Steel,Single,PLA
150,0.146,2.18,0.293,15,Tri,Steel,Single,PLA
153,0.148,2.22,0.296,15,Tri,Steel,Single,PLA
153,0.15,2.22,0.3,15,Tri,Steel,Single,PLA
155,0.152,2.25,0.303,15,Tri,Steel,Single,PLA
157,0.153,2.28,0.307,15,Tri,Steel,Single,PLA
159,0.155,2.3,0.31,15,Tri,Steel,Single,PLA
160,0.157,2.32,0.314,15,Tri,Steel,Single,PLA
162,0.159,2.36,0.318,15,Tri,Steel,Single,PLA
164,0.161,2.37,0.321,15,Tri,Steel,Single,PLA
166,0.162,2.4,0.324,15,Tri,Steel,Single,PLA
167,0.164,2.42,0.328,15,Tri,Steel,Single,PLA
169,0.166,2.45,0.331,15,Tri,Steel,Single,PLA
170,0.168,2.47,0.335,15,Tri,Steel,Single,PLA
172,0.169,2.49,0.339,15,Tri,Steel,Single,PLA
174,0.171,2.53,0.342,15,Tri,Steel,Single,PLA
176,0.173,2.55,0.346,15,Tri,Steel,Single,PLA
177,0.175,2.57,0.349,15,Tri,Steel,Single,PLA
179,0.176,2.59,0.353,15,Tri,Steel,Single,PLA
180,0.178,2.61,0.356,15,Tri,Steel,Single,PLA
182,0.18,2.64,0.36,15,Tri,Steel,Single,PLA
184,0.182,2.66,0.363,15,Tri,Steel,Single,PLA
185,0.183,2.69,0.367,15,Tri,Steel,Single,PLA
187,0.185,2.71,0.37,15,Tri,Steel,Single,PLA
189,0.187,2.74,0.374,15,Tri,Steel,Single,PLA
190,0.189,2.76,0.377,15,Tri,Steel,Single,PLA
192,0.19,2.78,0.381,15,Tri,Steel,Single,PLA
194,0.192,2.81,0.385,15,Tri,Steel,Single,PLA
195,0.194,2.84,0.388,15,Tri,Steel,Single,PLA
197,0.196,2.85,0.392,15,Tri,Steel,Single,PLA
199,0.198,2.88,0.395,15,Tri,Steel,Single,PLA
200,0.199,2.9,0.399,15,Tri,Steel,Single,PLA
201,0.201,2.92,0.402,15,Tri,Steel,Single,PLA
203,0.203,2.94,0.406,15,Tri,Steel,Single,PLA
204,0.205,2.97,0.409,15,Tri,Steel,Single,PLA
206,0.206,2.99,0.413,15,Tri,Steel,Single,PLA
208,0.208,3.02,0.416,15,Tri,Steel,Single,PLA
209,0.21,3.04,0.42,15,Tri,Steel,Single,PLA
211,0.212,3.06,0.423,15,Tri,Steel,Single,PLA
212,0.214,3.08,0.427,15,Tri,Steel,Single,PLA
214,0.215,3.11,0.43,15,Tri,Steel,Single,PLA
216,0.217,3.13,0.434,15,Tri,Steel,Single,PLA
217,0.219,3.15,0.438,15,Tri,Steel,Single,PLA
219,0.221,3.18,0.441,15,Tri,Steel,Single,PLA
220,0.222,3.2,0.445,15,Tri,Steel,Single,PLA
222,0.224,3.22,0.448,15,Tri,Steel,Single,PLA
223,0.226,3.24,0.452,15,Tri,Steel,Single,PLA
225,0.228,3.27,0.455,15,Tri,Steel,Single,PLA
227,0.229,3.29,0.459,15,Tri,Steel,Single,PLA
229,0.231,3.32,0.462,15,Tri,Steel,Single,PLA
230,0.233,3.34,0.466,15,Tri,Steel,Single,PLA
232,0.235,3.36,0.47,15,Tri,Steel,Single,PLA
233,0.237,3.38,0.473,15,Tri,Steel,Single,PLA
234,0.238,3.4,0.477,15,Tri,Steel,Single,PLA
236,0.24,3.43,0.48,15,Tri,Steel,Single,PLA
237,0.242,3.45,0.484,15,Tri,Steel,Single,PLA
239,0.244,3.47,0.487,15,Tri,Steel,Single,PLA
241,0.245,3.49,0.491,15,Tri,Steel,Single,PLA
242,0.247,3.52,0.494,15,Tri,Steel,Single,PLA
244,0.249,3.54,0.498,15,Tri,Steel,Single,PLA
245,0.251,3.56,0.501,15,Tri,Steel,Single,PLA
247,0.252,3.58,0.505,15,Tri,Steel,Single,PLA
248,0.254,3.61,0.508,15,Tri,Steel,Single,PLA
250,0.256,3.63,0.512,15,Tri,Steel,Single,PLA
251,0.258,3.64,0.515,15,Tri,Steel,Single,PLA
253,0.259,3.67,0.519,15,Tri,Steel,Single,PLA
254,0.261,3.69,0.522,15,Tri,Steel,Single,PLA
256,0.263,3.71,0.526,15,Tri,Steel,Single,PLA
257,0.265,3.74,0.529,15,Tri,Steel,Single,PLA
259,0.266,3.76,0.533,15,Tri,Steel,Single,PLA
260,0.268,3.77,0.536,15,Tri,Steel,Single,PLA
262,0.27,3.8,0.54,15,Tri,Steel,Single,PLA
263,0.272,3.82,0.544,15,Tri,Steel,Single,PLA
