Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.277,0,-0.00402,0,30,3D,Steel,Single,PLA
-0.13,0,-0.00188,0,30,3D,Steel,Single,PLA
-0.13,0,-0.00188,0,30,3D,Steel,Single,PLA
-0.107,0,-0.00156,0,30,3D,Steel,Single,PLA
-0.151,0,-0.00219,0,30,3D,Steel,Single,PLA
-0.0737,0,-0.00107,0,30,3D,Steel,Single,PLA
0.0708,0,0.00103,0,30,3D,Steel,Single,PLA
-0.0805,0,-0.00117,0,30,3D,Steel,Single,PLA
-0.584,0,-0.00848,0,30,3D,Steel,Single,PLA
-0.22,0,-0.00319,0,30,3D,Steel,Single,PLA
-0.334,0,-0.00485,0,30,3D,Steel,Single,PLA
-0.121,0,-0.00175,0,30,3D,Steel,Single,PLA
-0.151,0,-0.0022,0,30,3D,Steel,Single,PLA
-0.206,0,-0.00299,0,30,3D,Steel,Single,PLA
-0.298,0,-0.00432,0,30,3D,Steel,Single,PLA
-0.164,0,-0.00238,0,30,3D,Steel,Single,PLA
-0.181,0,-0.00262,0,30,3D,Steel,Single,PLA
-0.48,0,-0.00697,0,30,3D,Steel,Single,PLA
-0.251,0,-0.00365,0,30,3D,Steel,Single,PLA
-0.311,0,-0.00452,0,30,3D,Steel,Single,PLA
-0.49,0,-0.00711,0,30,3D,Steel,Single,PLA
-0.189,0,-0.00274,0,30,3D,Steel,Single,PLA
-0.404,0,-0.00586,0,30,3D,Steel,Single,PLA
0.645,0.0012,0.00937,0.0024,30,3D,Steel,Single,PLA
3.75,0.00403,0.0545,0.00806,30,3D,Steel,Single,PLA
7,0.00711,0.102,0.0142,30,3D,Steel,Single,PLA
9.86,0.0101,0.143,0.0202,30,3D,Steel,Single,PLA
12.8,0.013,0.186,0.026,30,3D,Steel,Single,PLA
17,0.0162,0.247,0.0323,30,3D,Steel,Single,PLA
20.9,0.0193,0.303,0.0386,30,3D,Steel,Single,PLA
24.3,0.0223,0.353,0.0446,30,3D,Steel,Single,PLA
27.8,0.0253,0.403,0.0506,30,3D,Steel,Single,PLA
31.5,0.0284,0.457,0.0568,30,3D,Steel,Single,PLA
34.6,0.0315,0.502,0.0629,30,3D,Steel,Single,PLA
38,0.0345,0.551,0.0691,30,3D,Steel,Single,PLA
41,0.0375,0.595,0.075,30,3D,Steel,Single,PLA
44.4,0.0405,0.645,0.081,30,3D,Steel,Single,PLA
47.8,0.0435,0.694,0.087,30,3D,Steel,Single,PLA
