Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.653,0,-0.00913,0,30,3D,Steel,Single,PLA
-0.501,0,-0.007,0,30,3D,Steel,Single,PLA
-0.501,0,-0.007,0,30,3D,Steel,Single,PLA
-0.501,0,-0.007,0,30,3D,Steel,Single,PLA
-0.715,0,-0.01,0,30,3D,Steel,Single,PLA
-0.617,0,-0.00863,0,30,3D,Steel,Single,PLA
-0.515,0,-0.0072,0,30,3D,Steel,Single,PLA
-0.627,0,-0.00877,0,30,3D,Steel,Single,PLA
-0.659,0,-0.00922,0,30,3D,Steel,Single,PLA
-0.754,0,-0.0105,0,30,3D,Steel,Single,PLA
-0.706,0,-0.00988,0,30,3D,Steel,Single,PLA
-0.748,0,-0.0105,0,30,3D,Steel,Single,PLA
-0.56,0,-0.00783,0,30,3D,Steel,Single,PLA
-0.676,0,-0.00945,0,30,3D,Steel,Single,PLA
-0.438,0,-0.00613,0,30,3D,Steel,Single,PLA
-0.733,0,-0.0103,0,30,3D,Steel,Single,PLA
-0.702,0,-0.00982,0,30,3D,Steel,Single,PLA
-0.766,0,-0.0107,0,30,3D,Steel,Single,PLA
-0.862,0,-0.0121,0,30,3D,Steel,Single,PLA
-1.04,0,-0.0146,0,30,3D,Steel,Single,PLA
-0.559,0,-0.00782,0,30,3D,Steel,Single,PLA
-0.722,0,-0.0101,0,30,3D,Steel,Single,PLA
-0.882,0,-0.0123,0,30,3D,Steel,Single,PLA
-0.721,0,-0.0101,0,30,3D,Steel,Single,PLA
-0.709,0,-0.00992,0,30,3D,Steel,Single,PLA
-0.823,0,-0.0115,0,30,3D,Steel,Single,PLA
-0.752,0,-0.0105,0,30,3D,Steel,Single,PLA
-0.779,0,-0.0109,0,30,3D,Steel,Single,PLA
-1.02,0,-0.0142,0,30,3D,Steel,Single,PLA
-0.96,0,-0.0134,0,30,3D,Steel,Single,PLA
-0.796,0,-0.0111,0,30,3D,Steel,Single,PLA
-0.778,0,-0.0109,0,30,3D,Steel,Single,PLA
-0.23,0.0007,-0.00322,0.0014,30,3D,Steel,Single,PLA
2.08,0.0038,0.0291,0.0076,30,3D,Steel,Single,PLA
2.99,0.00549,0.0418,0.011,30,3D,Steel,Single,PLA
5.09,0.0078,0.0712,0.0156,30,3D,Steel,Single,PLA
6.88,0.0098,0.0962,0.0196,30,3D,Steel,Single,PLA
8.75,0.012,0.122,0.0241,30,3D,Steel,Single,PLA
10.6,0.0142,0.148,0.0283,30,3D,Steel,Single,PLA
12.4,0.0162,0.174,0.0324,30,3D,Steel,Single,PLA
14.8,0.0186,0.207,0.0371,30,3D,Steel,Single,PLA
17.1,0.0208,0.239,0.0416,30,3D,Steel,Single,PLA
18.8,0.0231,0.263,0.0461,30,3D,Steel,Single,PLA
21.1,0.0252,0.295,0.0504,30,3D,Steel,Single,PLA
22.9,0.0274,0.321,0.0547,30,3D,Steel,Single,PLA
25.1,0.0295,0.351,0.059,30,3D,Steel,Single,PLA
26.9,0.0317,0.377,0.0635,30,3D,Steel,Single,PLA
29.1,0.0339,0.406,0.0678,30,3D,Steel,Single,PLA
30.7,0.0361,0.43,0.0723,30,3D,Steel,Single,PLA
32.5,0.0382,0.454,0.0764,30,3D,Steel,Single,PLA
34.7,0.0403,0.486,0.0807,30,3D,Steel,Single,PLA
36.6,0.0425,0.512,0.085,30,3D,Steel,Single,PLA
38.5,0.0447,0.538,0.0895,30,3D,Steel,Single,PLA
40.2,0.0469,0.563,0.0937,30,3D,Steel,Single,PLA
42.2,0.049,0.591,0.098,30,3D,Steel,Single,PLA
44,0.0512,0.616,0.102,30,3D,Steel,Single,PLA
45.6,0.0532,0.638,0.106,30,3D,Steel,Single,PLA
47.7,0.0554,0.666,0.111,30,3D,Steel,Single,PLA
49.4,0.0576,0.69,0.115,30,3D,Steel,Single,PLA
53.5,0.0619,0.748,0.124,30,3D,Steel,Single,PLA
53.6,0.062,0.75,0.124,30,3D,Steel,Single,PLA
55.4,0.0641,0.774,0.128,30,3D,Steel,Single,PLA
57.2,0.0662,0.8,0.132,30,3D,Steel,Single,PLA
59.2,0.0683,0.828,0.137,30,3D,Steel,Single,PLA
61.2,0.0705,0.856,0.141,30,3D,Steel,Single,PLA
63.1,0.0727,0.882,0.145,30,3D,Steel,Single,PLA
64.6,0.0749,0.904,0.15,30,3D,Steel,Single,PLA
66.6,0.0769,0.931,0.154,30,3D,Steel,Single,PLA
68,0.079,0.952,0.158,30,3D,Steel,Single,PLA
70.1,0.0812,0.981,0.162,30,3D,Steel,Single,PLA
71.8,0.0833,1,0.167,30,3D,Steel,Single,PLA
73.7,0.0855,1.03,0.171,30,3D,Steel,Single,PLA
75.9,0.0876,1.06,0.175,30,3D,Steel,Single,PLA
77.4,0.0898,1.08,0.18,30,3D,Steel,Single,PLA
79.5,0.0917,1.11,0.183,30,3D,Steel,Single,PLA
80.8,0.094,1.13,0.188,30,3D,Steel,Single,PLA
82.8,0.0961,1.16,0.192,30,3D,Steel,Single,PLA
84.4,0.0983,1.18,0.197,30,3D,Steel,Single,PLA
86.3,0.1,1.21,0.201,30,3D,Steel,Single,PLA
88.2,0.102,1.23,0.205,30,3D,Steel,Single,PLA
89.8,0.105,1.26,0.209,30,3D,Steel,Single,PLA
91.7,0.107,1.28,0.213,30,3D,Steel,Single,PLA
93.4,0.109,1.31,0.218,30,3D,Steel,Single,PLA
95.5,0.111,1.34,0.222,30,3D,Steel,Single,PLA
96.9,0.113,1.36,0.226,30,3D,Steel,Single,PLA
99,0.115,1.38,0.23,30,3D,Steel,Single,PLA
101,0.117,1.41,0.235,30,3D,Steel,Single,PLA
102,0.119,1.43,0.239,30,3D,Steel,Single,PLA
104,0.122,1.45,0.243,30,3D,Steel,Single,PLA
106,0.124,1.48,0.247,30,3D,Steel,Single,PLA
107,0.126,1.5,0.252,30,3D,Steel,Single,PLA
109,0.128,1.53,0.256,30,3D,Steel,Single,PLA
111,0.13,1.55,0.26,30,3D,Steel,Single,PLA
113,0.132,1.58,0.264,30,3D,Steel,Single,PLA
115,0.134,1.6,0.269,30,3D,Steel,Single,PLA
116,0.136,1.63,0.273,30,3D,Steel,Single,PLA
118,0.139,1.65,0.277,30,3D,Steel,Single,PLA
119,0.141,1.67,0.281,30,3D,Steel,Single,PLA
122,0.143,1.7,0.285,30,3D,Steel,Single,PLA
123,0.145,1.72,0.289,30,3D,Steel,Single,PLA
125,0.147,1.74,0.294,30,3D,Steel,Single,PLA
126,0.149,1.77,0.298,30,3D,Steel,Single,PLA
128,0.151,1.8,0.303,30,3D,Steel,Single,PLA
130,0.153,1.82,0.307,30,3D,Steel,Single,PLA
132,0.155,1.85,0.311,30,3D,Steel,Single,PLA
134,0.157,1.87,0.315,30,3D,Steel,Single,PLA
136,0.16,1.9,0.319,30,3D,Steel,Single,PLA
137,0.162,1.92,0.324,30,3D,Steel,Single,PLA
139,0.164,1.94,0.328,30,3D,Steel,Single,PLA
