Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.0573,0.0,0.0,-0.536,30,Hex,Steel,Single,PLA
-0.0241,0.0,0.0,-0.226,30,Hex,Steel,Single,PLA
-0.0241,0.0,0.0,-0.226,30,Hex,Steel,Single,PLA
0.0181,0.0,0.0,0.169,30,Hex,Steel,Single,PLA
0.0181,0.0,0.0,0.169,30,Hex,Steel,Single,PLA
-0.0132,0.0,0.0,-0.124,30,Hex,Steel,Single,PLA
-0.0515,0.0,0.0,-0.482,30,Hex,Steel,Single,PLA
-0.0307,0.0,0.0,-0.288,30,Hex,Steel,Single,PLA
-0.0372,0.0,0.0,-0.348,30,Hex,Steel,Single,PLA
-0.045,0.0,0.0,-0.421,30,Hex,Steel,Single,PLA
-0.0501,0.0,0.0,-0.469,30,Hex,Steel,Single,PLA
-0.0156,0.0,0.0,-0.146,30,Hex,Steel,Single,PLA
-0.0379,0.0,0.0,-0.355,30,Hex,Steel,Single,PLA
-0.0611,0.0,0.0,-0.572,30,Hex,Steel,Single,PLA
-0.0433,0.0,0.0,-0.406,30,Hex,Steel,Single,PLA
-0.0261,0.0,0.0,-0.245,30,Hex,Steel,Single,PLA
-0.0372,0.0,0.0,-0.348,30,Hex,Steel,Single,PLA
0.00402,0.0,0.0,0.0376,30,Hex,Steel,Single,PLA
-0.0534,0.0,0.0,-0.5,30,Hex,Steel,Single,PLA
-0.058,0.0,0.0,-0.543,30,Hex,Steel,Single,PLA
-0.0806,0.0,0.0,-0.755,30,Hex,Steel,Single,PLA
-0.00559,0.0,0.0,-0.0523,30,Hex,Steel,Single,PLA
-0.0182,0.0,0.0,-0.171,30,Hex,Steel,Single,PLA
0.000251,0.0,0.0,0.00235,30,Hex,Steel,Single,PLA
-0.0296,0.0,0.0,-0.278,30,Hex,Steel,Single,PLA
-0.0249,0.0,0.0,-0.233,30,Hex,Steel,Single,PLA
-0.0312,1.23e-05,0.000625,-0.292,30,Hex,Steel,Single,PLA
0.491,0.000114,0.00578,4.6,30,Hex,Steel,Single,PLA
1.21,0.000189,0.0096,11.3,30,Hex,Steel,Single,PLA
1.94,0.000299,0.0152,18.1,30,Hex,Steel,Single,PLA
2.6,0.000395,0.0201,24.3,30,Hex,Steel,Single,PLA
3.29,0.000495,0.0251,30.8,30,Hex,Steel,Single,PLA
4.03,0.000602,0.0306,37.8,30,Hex,Steel,Single,PLA
4.88,0.000706,0.0359,45.7,30,Hex,Steel,Single,PLA
5.76,0.00081,0.0411,54.0,30,Hex,Steel,Single,PLA
6.44,0.000909,0.0462,60.3,30,Hex,Steel,Single,PLA
7.2,0.00101,0.0515,67.5,30,Hex,Steel,Single,PLA
8.02,0.00112,0.0568,75.1,30,Hex,Steel,Single,PLA
8.65,0.00122,0.062,81.0,30,Hex,Steel,Single,PLA
9.35,0.00132,0.067,87.6,30,Hex,Steel,Single,PLA
10.0,0.00142,0.0721,93.9,30,Hex,Steel,Single,PLA
10.8,0.00152,0.0774,101.0,30,Hex,Steel,Single,PLA
11.5,0.00163,0.0826,108.0,30,Hex,Steel,Single,PLA
12.2,0.00173,0.0877,114.0,30,Hex,Steel,Single,PLA
12.8,0.00183,0.0928,120.0,30,Hex,Steel,Single,PLA
13.4,0.00192,0.0976,126.0,30,Hex,Steel,Single,PLA
14.1,0.00202,0.103,132.0,30,Hex,Steel,Single,PLA
15.5,0.00223,0.113,145.0,30,Hex,Steel,Single,PLA
15.5,0.00223,0.113,146.0,30,Hex,Steel,Single,PLA
16.1,0.00233,0.118,151.0,30,Hex,Steel,Single,PLA
16.8,0.00243,0.123,157.0,30,Hex,Steel,Single,PLA
17.4,0.00253,0.129,163.0,30,Hex,Steel,Single,PLA
18.0,0.00263,0.134,168.0,30,Hex,Steel,Single,PLA
18.6,0.00273,0.139,174.0,30,Hex,Steel,Single,PLA
19.3,0.00283,0.144,180.0,30,Hex,Steel,Single,PLA
19.9,0.00293,0.149,186.0,30,Hex,Steel,Single,PLA
20.5,0.00303,0.154,192.0,30,Hex,Steel,Single,PLA
21.1,0.00313,0.159,198.0,30,Hex,Steel,Single,PLA
21.8,0.00323,0.164,204.0,30,Hex,Steel,Single,PLA
22.3,0.00333,0.169,209.0,30,Hex,Steel,Single,PLA
22.9,0.00343,0.174,215.0,30,Hex,Steel,Single,PLA
23.6,0.00353,0.179,221.0,30,Hex,Steel,Single,PLA
24.2,0.00363,0.184,226.0,30,Hex,Steel,Single,PLA
24.7,0.00373,0.19,232.0,30,Hex,Steel,Single,PLA
