Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.125,0.0,0.0,-1.17,30,Tri,Steel,Single,PLA
-0.143,0.0,0.0,-1.34,30,Tri,Steel,Single,PLA
-0.128,0.0,0.0,-1.2,30,Tri,Steel,Single,PLA
-0.128,0.0,0.0,-1.2,30,Tri,Steel,Single,PLA
-0.158,0.0,0.0,-1.48,30,Tri,Steel,Single,PLA
-0.158,0.0,0.0,-1.48,30,Tri,Steel,Single,PLA
-0.158,0.0,0.0,-1.48,30,Tri,Steel,Single,PLA
-0.123,0.0,0.0,-1.15,30,Tri,Steel,Single,PLA
-0.175,0.0,0.0,-1.63,30,Tri,Steel,Single,PLA
-0.123,0.0,0.0,-1.16,30,Tri,Steel,Single,PLA
-0.144,0.0,0.0,-1.35,30,Tri,Steel,Single,PLA
-0.123,0.0,0.0,-1.15,30,Tri,Steel,Single,PLA
-0.149,0.0,0.0,-1.4,30,Tri,Steel,Single,PLA
-0.159,0.0,0.0,-1.49,30,Tri,Steel,Single,PLA
-0.164,0.0,0.0,-1.54,30,Tri,Steel,Single,PLA
-0.142,0.0,0.0,-1.33,30,Tri,Steel,Single,PLA
-0.202,0.0,0.0,-1.89,30,Tri,Steel,Single,PLA
-0.203,0.0,0.0,-1.9,30,Tri,Steel,Single,PLA
-0.171,0.0,0.0,-1.6,30,Tri,Steel,Single,PLA
-0.214,0.0,0.0,-2.01,30,Tri,Steel,Single,PLA
-0.176,0.0,0.0,-1.65,30,Tri,Steel,Single,PLA
-0.157,0.0,0.0,-1.47,30,Tri,Steel,Single,PLA
-0.233,0.0,0.0,-2.18,30,Tri,Steel,Single,PLA
-0.254,0.0,0.0,-2.38,30,Tri,Steel,Single,PLA
-0.194,0.0,0.0,-1.81,30,Tri,Steel,Single,PLA
-0.159,0.0,0.0,-1.49,30,Tri,Steel,Single,PLA
-0.197,0.0,0.0,-1.84,30,Tri,Steel,Single,PLA
-0.223,0.0,0.0,-2.08,30,Tri,Steel,Single,PLA
-0.207,0.0,0.0,-1.94,30,Tri,Steel,Single,PLA
