Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.111,0.0,0.0,-1.04,45,3D,Steel,Single,PLA
-0.116,0.0,0.0,-1.08,45,3D,Steel,Single,PLA
-0.0965,0.0,0.0,-0.903,45,3D,Steel,Single,PLA
-0.0643,0.0,0.0,-0.602,45,3D,Steel,Single,PLA
-0.128,0.0,0.0,-1.2,45,3D,Steel,Single,PLA
-0.117,0.0,0.0,-1.09,45,3D,Steel,Single,PLA
-0.14,0.0,0.0,-1.31,45,3D,Steel,Single,PLA
-0.149,0.0,0.0,-1.4,45,3D,Steel,Single,PLA
-0.11,0.0,0.0,-1.03,45,3D,Steel,Single,PLA
-0.148,0.0,0.0,-1.39,45,3D,Steel,Single,PLA
-0.13,0.0,0.0,-1.21,45,3D,Steel,Single,PLA
-0.149,0.0,0.0,-1.4,45,3D,Steel,Single,PLA
-0.138,0.0,0.0,-1.29,45,3D,Steel,Single,PLA
-0.164,0.0,0.0,-1.53,45,3D,Steel,Single,PLA
-0.163,0.0,0.0,-1.52,45,3D,Steel,Single,PLA
-0.191,0.0,0.0,-1.79,45,3D,Steel,Single,PLA
-0.133,0.0,0.0,-1.24,45,3D,Steel,Single,PLA
-0.138,0.0,0.0,-1.29,45,3D,Steel,Single,PLA
-0.161,0.0,0.0,-1.51,45,3D,Steel,Single,PLA
-0.16,0.0,0.0,-1.5,45,3D,Steel,Single,PLA
-0.133,0.0,0.0,-1.24,45,3D,Steel,Single,PLA
-0.173,0.0,0.0,-1.62,45,3D,Steel,Single,PLA
-0.158,0.0,0.0,-1.48,45,3D,Steel,Single,PLA
0.2,8.46e-05,0.0043,1.88,45,3D,Steel,Single,PLA
0.875,0.000193,0.0098,8.2,45,3D,Steel,Single,PLA
1.64,0.000313,0.0159,15.4,45,3D,Steel,Single,PLA
2.41,0.000429,0.0218,22.6,45,3D,Steel,Single,PLA
3.12,0.000545,0.0277,29.2,45,3D,Steel,Single,PLA
3.76,0.000657,0.0334,35.2,45,3D,Steel,Single,PLA
4.61,0.000774,0.0393,43.2,45,3D,Steel,Single,PLA
5.4,0.000894,0.0454,50.6,45,3D,Steel,Single,PLA
6.29,0.00101,0.0515,58.9,45,3D,Steel,Single,PLA
7.03,0.00113,0.0574,65.8,45,3D,Steel,Single,PLA
7.81,0.00124,0.0631,73.2,45,3D,Steel,Single,PLA
8.61,0.00136,0.069,80.6,45,3D,Steel,Single,PLA
9.29,0.00147,0.0749,87.0,45,3D,Steel,Single,PLA
10.1,0.00159,0.081,94.7,45,3D,Steel,Single,PLA
10.8,0.0017,0.0865,101.0,45,3D,Steel,Single,PLA
11.7,0.00185,0.094,110.0,45,3D,Steel,Single,PLA
12.3,0.00194,0.0983,115.0,45,3D,Steel,Single,PLA
13.0,0.00205,0.104,122.0,45,3D,Steel,Single,PLA
14.4,0.00228,0.116,135.0,45,3D,Steel,Single,PLA
14.4,0.00228,0.116,135.0,45,3D,Steel,Single,PLA
15.1,0.0024,0.122,141.0,45,3D,Steel,Single,PLA
15.8,0.00252,0.128,148.0,45,3D,Steel,Single,PLA
16.5,0.00263,0.134,154.0,45,3D,Steel,Single,PLA
17.2,0.00275,0.139,161.0,45,3D,Steel,Single,PLA
17.9,0.00286,0.145,168.0,45,3D,Steel,Single,PLA
18.6,0.00298,0.151,174.0,45,3D,Steel,Single,PLA
19.2,0.00309,0.157,180.0,45,3D,Steel,Single,PLA
19.9,0.0032,0.163,186.0,45,3D,Steel,Single,PLA
20.6,0.00332,0.169,193.0,45,3D,Steel,Single,PLA
21.3,0.00344,0.175,199.0,45,3D,Steel,Single,PLA
21.9,0.00355,0.18,205.0,45,3D,Steel,Single,PLA
22.6,0.00366,0.186,211.0,45,3D,Steel,Single,PLA
23.2,0.00378,0.192,217.0,45,3D,Steel,Single,PLA
23.8,0.00389,0.198,223.0,45,3D,Steel,Single,PLA
24.5,0.00401,0.204,229.0,45,3D,Steel,Single,PLA
25.1,0.00412,0.209,235.0,45,3D,Steel,Single,PLA
25.7,0.00423,0.215,241.0,45,3D,Steel,Single,PLA
26.3,0.00435,0.221,247.0,45,3D,Steel,Single,PLA
27.0,0.00447,0.227,253.0,45,3D,Steel,Single,PLA
27.7,0.00458,0.233,259.0,45,3D,Steel,Single,PLA
28.2,0.00469,0.238,264.0,45,3D,Steel,Single,PLA
28.9,0.00481,0.244,270.0,45,3D,Steel,Single,PLA
29.5,0.00492,0.25,276.0,45,3D,Steel,Single,PLA
30.1,0.00504,0.256,282.0,45,3D,Steel,Single,PLA
30.7,0.00515,0.262,288.0,45,3D,Steel,Single,PLA
31.3,0.00526,0.267,294.0,45,3D,Steel,Single,PLA
32.0,0.00538,0.273,299.0,45,3D,Steel,Single,PLA
32.6,0.0055,0.279,305.0,45,3D,Steel,Single,PLA
33.1,0.00561,0.285,310.0,45,3D,Steel,Single,PLA
33.7,0.00572,0.291,316.0,45,3D,Steel,Single,PLA
34.3,0.00584,0.297,321.0,45,3D,Steel,Single,PLA
34.9,0.00595,0.302,327.0,45,3D,Steel,Single,PLA
35.5,0.00606,0.308,333.0,45,3D,Steel,Single,PLA
36.1,0.00617,0.314,338.0,45,3D,Steel,Single,PLA
36.7,0.00629,0.32,343.0,45,3D,Steel,Single,PLA
37.3,0.00641,0.325,349.0,45,3D,Steel,Single,PLA
37.8,0.00652,0.331,354.0,45,3D,Steel,Single,PLA
38.5,0.00664,0.337,360.0,45,3D,Steel,Single,PLA
39.0,0.00675,0.343,365.0,45,3D,Steel,Single,PLA
39.6,0.00686,0.349,371.0,45,3D,Steel,Single,PLA
40.1,0.00698,0.355,376.0,45,3D,Steel,Single,PLA
40.8,0.00709,0.36,382.0,45,3D,Steel,Single,PLA
41.4,0.00721,0.366,387.0,45,3D,Steel,Single,PLA
41.9,0.00733,0.372,393.0,45,3D,Steel,Single,PLA
42.5,0.00744,0.378,398.0,45,3D,Steel,Single,PLA
43.1,0.00756,0.384,404.0,45,3D,Steel,Single,PLA
43.6,0.00767,0.39,409.0,45,3D,Steel,Single,PLA
44.2,0.00778,0.395,414.0,45,3D,Steel,Single,PLA
44.8,0.0079,0.401,420.0,45,3D,Steel,Single,PLA
45.4,0.00802,0.407,425.0,45,3D,Steel,Single,PLA
46.0,0.00813,0.413,431.0,45,3D,Steel,Single,PLA
46.6,0.00824,0.419,436.0,45,3D,Steel,Single,PLA
47.2,0.00836,0.425,442.0,45,3D,Steel,Single,PLA
47.7,0.00847,0.43,447.0,45,3D,Steel,Single,PLA
48.3,0.00859,0.436,452.0,45,3D,Steel,Single,PLA
48.8,0.0087,0.442,457.0,45,3D,Steel,Single,PLA
49.4,0.00881,0.448,463.0,45,3D,Steel,Single,PLA
50.0,0.00893,0.454,468.0,45,3D,Steel,Single,PLA
50.5,0.00904,0.459,473.0,45,3D,Steel,Single,PLA
51.1,0.00916,0.465,478.0,45,3D,Steel,Single,PLA
51.7,0.00927,0.471,484.0,45,3D,Steel,Single,PLA
52.2,0.00939,0.477,489.0,45,3D,Steel,Single,PLA
52.7,0.0095,0.483,494.0,45,3D,Steel,Single,PLA
53.3,0.00962,0.489,499.0,45,3D,Steel,Single,PLA
53.8,0.00973,0.494,504.0,45,3D,Steel,Single,PLA
54.4,0.00985,0.5,510.0,45,3D,Steel,Single,PLA
54.9,0.00996,0.506,514.0,45,3D,Steel,Single,PLA
55.6,0.0101,0.512,520.0,45,3D,Steel,Single,PLA
56.0,0.0102,0.517,525.0,45,3D,Steel,Single,PLA
56.7,0.0103,0.523,531.0,45,3D,Steel,Single,PLA
57.2,0.0104,0.529,536.0,45,3D,Steel,Single,PLA
57.7,0.0105,0.535,541.0,45,3D,Steel,Single,PLA
58.3,0.0106,0.541,546.0,45,3D,Steel,Single,PLA
58.8,0.0108,0.547,550.0,45,3D,Steel,Single,PLA
59.3,0.0109,0.552,556.0,45,3D,Steel,Single,PLA
59.9,0.011,0.558,561.0,45,3D,Steel,Single,PLA
60.5,0.0111,0.564,566.0,45,3D,Steel,Single,PLA
60.9,0.0112,0.57,570.0,45,3D,Steel,Single,PLA
61.5,0.0113,0.576,576.0,45,3D,Steel,Single,PLA
62.0,0.0115,0.582,581.0,45,3D,Steel,Single,PLA
62.6,0.0116,0.587,586.0,45,3D,Steel,Single,PLA
63.0,0.0117,0.593,590.0,45,3D,Steel,Single,PLA
63.6,0.0118,0.599,595.0,45,3D,Steel,Single,PLA
64.2,0.0119,0.605,601.0,45,3D,Steel,Single,PLA
64.6,0.012,0.611,605.0,45,3D,Steel,Single,PLA
65.1,0.0121,0.616,610.0,45,3D,Steel,Single,PLA
65.7,0.0122,0.622,615.0,45,3D,Steel,Single,PLA
66.2,0.0124,0.628,620.0,45,3D,Steel,Single,PLA
66.7,0.0125,0.634,625.0,45,3D,Steel,Single,PLA
67.2,0.0126,0.64,630.0,45,3D,Steel,Single,PLA
67.8,0.0127,0.645,635.0,45,3D,Steel,Single,PLA
68.2,0.0128,0.651,639.0,45,3D,Steel,Single,PLA
68.8,0.0129,0.657,644.0,45,3D,Steel,Single,PLA
69.4,0.013,0.663,650.0,45,3D,Steel,Single,PLA
69.8,0.0132,0.669,654.0,45,3D,Steel,Single,PLA
70.3,0.0133,0.674,658.0,45,3D,Steel,Single,PLA
70.8,0.0134,0.68,663.0,45,3D,Steel,Single,PLA
71.4,0.0135,0.686,668.0,45,3D,Steel,Single,PLA
71.8,0.0136,0.692,673.0,45,3D,Steel,Single,PLA
72.3,0.0137,0.698,677.0,45,3D,Steel,Single,PLA
72.8,0.0138,0.704,682.0,45,3D,Steel,Single,PLA
73.3,0.014,0.71,687.0,45,3D,Steel,Single,PLA
73.9,0.0141,0.715,692.0,45,3D,Steel,Single,PLA
74.4,0.0142,0.721,697.0,45,3D,Steel,Single,PLA
74.8,0.0143,0.727,701.0,45,3D,Steel,Single,PLA
75.4,0.0144,0.733,706.0,45,3D,Steel,Single,PLA
76.0,0.0145,0.739,711.0,45,3D,Steel,Single,PLA
76.4,0.0147,0.744,716.0,45,3D,Steel,Single,PLA
76.9,0.0148,0.75,720.0,45,3D,Steel,Single,PLA
77.4,0.0149,0.756,725.0,45,3D,Steel,Single,PLA
77.9,0.015,0.762,729.0,45,3D,Steel,Single,PLA
78.4,0.0151,0.768,734.0,45,3D,Steel,Single,PLA
78.9,0.0152,0.773,739.0,45,3D,Steel,Single,PLA
79.5,0.0153,0.779,744.0,45,3D,Steel,Single,PLA
79.9,0.0155,0.785,749.0,45,3D,Steel,Single,PLA
80.4,0.0156,0.791,753.0,45,3D,Steel,Single,PLA
80.9,0.0157,0.797,758.0,45,3D,Steel,Single,PLA
81.4,0.0158,0.802,762.0,45,3D,Steel,Single,PLA
81.9,0.0159,0.808,767.0,45,3D,Steel,Single,PLA
82.4,0.016,0.814,771.0,45,3D,Steel,Single,PLA
82.9,0.0161,0.82,776.0,45,3D,Steel,Single,PLA
83.4,0.0163,0.826,781.0,45,3D,Steel,Single,PLA
83.8,0.0164,0.832,785.0,45,3D,Steel,Single,PLA
84.3,0.0165,0.837,789.0,45,3D,Steel,Single,PLA
84.8,0.0166,0.843,794.0,45,3D,Steel,Single,PLA
85.2,0.0167,0.849,798.0,45,3D,Steel,Single,PLA
85.8,0.0168,0.855,803.0,45,3D,Steel,Single,PLA
86.3,0.0169,0.861,808.0,45,3D,Steel,Single,PLA
86.8,0.0171,0.867,813.0,45,3D,Steel,Single,PLA
87.2,0.0172,0.872,817.0,45,3D,Steel,Single,PLA
87.7,0.0173,0.878,821.0,45,3D,Steel,Single,PLA
88.2,0.0174,0.884,826.0,45,3D,Steel,Single,PLA
88.6,0.0175,0.89,830.0,45,3D,Steel,Single,PLA
89.1,0.0176,0.896,835.0,45,3D,Steel,Single,PLA
89.6,0.0177,0.901,839.0,45,3D,Steel,Single,PLA
90.1,0.0179,0.907,844.0,45,3D,Steel,Single,PLA
90.6,0.018,0.913,848.0,45,3D,Steel,Single,PLA
91.1,0.0181,0.919,853.0,45,3D,Steel,Single,PLA
91.5,0.0182,0.925,857.0,45,3D,Steel,Single,PLA
92.0,0.0183,0.93,861.0,45,3D,Steel,Single,PLA
92.4,0.0184,0.936,865.0,45,3D,Steel,Single,PLA
92.9,0.0185,0.942,870.0,45,3D,Steel,Single,PLA
93.4,0.0187,0.948,875.0,45,3D,Steel,Single,PLA
93.8,0.0188,0.953,878.0,45,3D,Steel,Single,PLA
94.3,0.0189,0.959,883.0,45,3D,Steel,Single,PLA
94.8,0.019,0.965,888.0,45,3D,Steel,Single,PLA
95.3,0.0191,0.971,892.0,45,3D,Steel,Single,PLA
