Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.0633,0.0,0.0,-0.593,45,Hex,Steel,Single,PLA
-0.0613,0.0,0.0,-0.574,45,Hex,Steel,Single,PLA
-0.0613,0.0,0.0,-0.574,45,Hex,Steel,Single,PLA
-0.0583,0.0,0.0,-0.546,45,Hex,Steel,Single,PLA
-0.0811,0.0,0.0,-0.76,45,Hex,Steel,Single,PLA
-0.0144,0.0,0.0,-0.135,45,Hex,Steel,Single,PLA
-0.0759,0.0,0.0,-0.711,45,Hex,Steel,Single,PLA
-0.0566,0.0,0.0,-0.53,45,Hex,Steel,Single,PLA
-0.0666,0.0,0.0,-0.623,45,Hex,Steel,Single,PLA
-0.0768,0.0,0.0,-0.72,45,Hex,Steel,Single,PLA
-0.066,0.0,0.0,-0.618,45,Hex,Steel,Single,PLA
-0.0431,0.0,0.0,-0.404,45,Hex,Steel,Single,PLA
-0.0732,0.0,0.0,-0.685,45,Hex,Steel,Single,PLA
-0.086,0.0,0.0,-0.805,45,Hex,Steel,Single,PLA
-0.0453,0.0,0.0,-0.424,45,Hex,Steel,Single,PLA
-0.0346,0.0,0.0,-0.324,45,Hex,Steel,Single,PLA
-0.0435,0.0,0.0,-0.407,45,Hex,Steel,Single,PLA
-0.0871,0.0,0.0,-0.816,45,Hex,Steel,Single,PLA
-0.0928,0.0,0.0,-0.869,45,Hex,Steel,Single,PLA
-0.0643,0.0,0.0,-0.602,45,Hex,Steel,Single,PLA
-0.0731,0.0,0.0,-0.685,45,Hex,Steel,Single,PLA
0.262,7.85e-05,0.00399,2.45,45,Hex,Steel,Single,PLA
1.15,0.000198,0.0101,10.8,45,Hex,Steel,Single,PLA
2.08,0.000322,0.0163,19.5,45,Hex,Steel,Single,PLA
2.93,0.000441,0.0224,27.5,45,Hex,Steel,Single,PLA
3.87,0.000569,0.0289,36.2,45,Hex,Steel,Single,PLA
4.95,0.000696,0.0354,46.4,45,Hex,Steel,Single,PLA
5.89,0.000823,0.0418,55.1,45,Hex,Steel,Single,PLA
