Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
0.0,0.0,0.0,0.0,45,Tri,Steel,Single,PLA
0.0392,0.0,0.0,0.367,45,Tri,Steel,Single,PLA
0.0249,0.0,0.0,0.233,45,Tri,Steel,Single,PLA
0.0131,0.0,0.0,0.122,45,Tri,Steel,Single,PLA
0.0694,0.0,0.0,0.65,45,Tri,Steel,Single,PLA
0.0251,0.0,0.0,0.235,45,Tri,Steel,Single,PLA
0.0165,0.0,0.0,0.154,45,Tri,Steel,Single,PLA
0.00831,0.0,0.0,0.0778,45,Tri,Steel,Single,PLA
0.0433,0.0,0.0,0.405,45,Tri,Steel,Single,PLA
0.0394,0.0,0.0,0.369,45,Tri,Steel,Single,PLA
0.0328,0.0,0.0,0.307,45,Tri,Steel,Single,PLA
-0.00355,0.0,0.0,-0.0332,45,Tri,Steel,Single,PLA
0.0207,0.0,0.0,0.194,45,Tri,Steel,Single,PLA
0.00717,0.0,0.0,0.0671,45,Tri,Steel,Single,PLA
-0.0192,0.0,0.0,-0.179,45,Tri,Steel,Single,PLA
-0.0111,0.0,0.0,-0.104,45,Tri,Steel,Single,PLA
0.0361,0.0,0.0,0.338,45,Tri,Steel,Single,PLA
0.00395,0.0,0.0,0.037,45,Tri,Steel,Single,PLA
0.0271,0.0,0.0,0.254,45,Tri,Steel,Single,PLA
-6.7e-05,0.0,0.0,-0.000627,45,Tri,Steel,Single,PLA
0.0221,0.0,0.0,0.207,45,Tri,Steel,Single,PLA
0.0452,0.0,0.0,0.423,45,Tri,Steel,Single,PLA
0.000268,0.0,0.0,0.00251,45,Tri,Steel,Single,PLA
0.0148,0.0,0.0,0.139,45,Tri,Steel,Single,PLA
0.127,3.31e-05,0.00168,1.19,45,Tri,Steel,Single,PLA
0.756,0.000129,0.00653,7.08,45,Tri,Steel,Single,PLA
1.65,0.000232,0.0118,15.5,45,Tri,Steel,Single,PLA
2.53,0.000339,0.0172,23.7,45,Tri,Steel,Single,PLA
3.3,0.000447,0.0227,30.9,45,Tri,Steel,Single,PLA
4.19,0.000555,0.0282,39.2,45,Tri,Steel,Single,PLA
5.07,0.000665,0.0338,47.5,45,Tri,Steel,Single,PLA
6.09,0.000777,0.0395,57.1,45,Tri,Steel,Single,PLA
6.96,0.00088,0.0447,65.1,45,Tri,Steel,Single,PLA
7.82,0.000991,0.0504,73.2,45,Tri,Steel,Single,PLA
8.69,0.0011,0.056,81.3,45,Tri,Steel,Single,PLA
9.58,0.00121,0.0615,89.7,45,Tri,Steel,Single,PLA
10.3,0.00131,0.0667,96.7,45,Tri,Steel,Single,PLA
11.1,0.00142,0.0722,104.0,45,Tri,Steel,Single,PLA
12.0,0.00153,0.0776,112.0,45,Tri,Steel,Single,PLA
12.7,0.00164,0.0832,119.0,45,Tri,Steel,Single,PLA
13.6,0.00175,0.0887,128.0,45,Tri,Steel,Single,PLA
14.4,0.00185,0.0938,134.0,45,Tri,Steel,Single,PLA
15.1,0.00196,0.0994,142.0,45,Tri,Steel,Single,PLA
16.0,0.00206,0.105,150.0,45,Tri,Steel,Single,PLA
17.6,0.00228,0.116,164.0,45,Tri,Steel,Single,PLA
17.6,0.00228,0.116,165.0,45,Tri,Steel,Single,PLA
18.3,0.00239,0.121,172.0,45,Tri,Steel,Single,PLA
19.0,0.0025,0.127,178.0,45,Tri,Steel,Single,PLA
19.9,0.00261,0.132,186.0,45,Tri,Steel,Single,PLA
20.5,0.00271,0.138,192.0,45,Tri,Steel,Single,PLA
21.3,0.00281,0.143,199.0,45,Tri,Steel,Single,PLA
22.0,0.00292,0.148,206.0,45,Tri,Steel,Single,PLA
22.8,0.00303,0.154,214.0,45,Tri,Steel,Single,PLA
23.5,0.00314,0.159,220.0,45,Tri,Steel,Single,PLA
24.2,0.00324,0.165,226.0,45,Tri,Steel,Single,PLA
24.9,0.00334,0.17,233.0,45,Tri,Steel,Single,PLA
25.6,0.00345,0.175,240.0,45,Tri,Steel,Single,PLA
26.3,0.00355,0.181,246.0,45,Tri,Steel,Single,PLA
27.1,0.00366,0.186,254.0,45,Tri,Steel,Single,PLA
27.7,0.00376,0.191,259.0,45,Tri,Steel,Single,PLA
28.4,0.00387,0.196,266.0,45,Tri,Steel,Single,PLA
29.1,0.00397,0.202,273.0,45,Tri,Steel,Single,PLA
29.8,0.00408,0.207,279.0,45,Tri,Steel,Single,PLA
30.4,0.00419,0.213,285.0,45,Tri,Steel,Single,PLA
31.1,0.00429,0.218,291.0,45,Tri,Steel,Single,PLA
31.8,0.0044,0.223,298.0,45,Tri,Steel,Single,PLA
32.5,0.0045,0.229,304.0,45,Tri,Steel,Single,PLA
33.2,0.00461,0.234,311.0,45,Tri,Steel,Single,PLA
33.8,0.00471,0.239,317.0,45,Tri,Steel,Single,PLA
34.5,0.00481,0.245,323.0,45,Tri,Steel,Single,PLA
35.1,0.00492,0.25,328.0,45,Tri,Steel,Single,PLA
35.9,0.00503,0.255,336.0,45,Tri,Steel,Single,PLA
36.5,0.00513,0.261,342.0,45,Tri,Steel,Single,PLA
37.1,0.00524,0.266,348.0,45,Tri,Steel,Single,PLA
37.7,0.00534,0.271,353.0,45,Tri,Steel,Single,PLA
38.4,0.00545,0.277,360.0,45,Tri,Steel,Single,PLA
39.0,0.00556,0.282,365.0,45,Tri,Steel,Single,PLA
39.7,0.00566,0.288,371.0,45,Tri,Steel,Single,PLA
40.2,0.00577,0.293,377.0,45,Tri,Steel,Single,PLA
40.8,0.00587,0.298,382.0,45,Tri,Steel,Single,PLA
41.4,0.00597,0.304,388.0,45,Tri,Steel,Single,PLA
42.1,0.00608,0.309,395.0,45,Tri,Steel,Single,PLA
42.8,0.00618,0.314,400.0,45,Tri,Steel,Single,PLA
43.4,0.00629,0.319,407.0,45,Tri,Steel,Single,PLA
44.0,0.00639,0.325,412.0,45,Tri,Steel,Single,PLA
44.6,0.0065,0.33,418.0,45,Tri,Steel,Single,PLA
45.3,0.0066,0.335,424.0,45,Tri,Steel,Single,PLA
45.9,0.00671,0.341,429.0,45,Tri,Steel,Single,PLA
46.5,0.00681,0.346,435.0,45,Tri,Steel,Single,PLA
47.0,0.00692,0.351,440.0,45,Tri,Steel,Single,PLA
47.6,0.00702,0.357,446.0,45,Tri,Steel,Single,PLA
48.2,0.00713,0.362,451.0,45,Tri,Steel,Single,PLA
48.8,0.00723,0.367,457.0,45,Tri,Steel,Single,PLA
49.3,0.00734,0.373,462.0,45,Tri,Steel,Single,PLA
50.0,0.00745,0.378,468.0,45,Tri,Steel,Single,PLA
50.6,0.00755,0.384,474.0,45,Tri,Steel,Single,PLA
51.2,0.00766,0.389,480.0,45,Tri,Steel,Single,PLA
51.9,0.00776,0.394,486.0,45,Tri,Steel,Single,PLA
52.4,0.00787,0.4,491.0,45,Tri,Steel,Single,PLA
53.0,0.00797,0.405,496.0,45,Tri,Steel,Single,PLA
53.7,0.00808,0.41,503.0,45,Tri,Steel,Single,PLA
54.3,0.00819,0.416,508.0,45,Tri,Steel,Single,PLA
