Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.0975,0.0,0.0,-0.913,15,3D,Steel,Double,PLA
-0.0754,0.0,0.0,-0.706,15,3D,Steel,Double,PLA
-0.117,0.0,0.0,-1.09,15,3D,Steel,Double,PLA
-0.117,0.0,0.0,-1.09,15,3D,Steel,Double,PLA
-0.117,0.0,0.0,-1.09,15,3D,Steel,Double,PLA
-0.0508,0.0,0.0,-0.476,15,3D,Steel,Double,PLA
-0.11,0.0,0.0,-1.03,15,3D,Steel,Double,PLA
-0.134,0.0,0.0,-1.25,15,3D,Steel,Double,PLA
-0.119,0.0,0.0,-1.11,15,3D,Steel,Double,PLA
-0.0784,0.0,0.0,-0.734,15,3D,Steel,Double,PLA
-0.0801,0.0,0.0,-0.75,15,3D,Steel,Double,PLA
-0.152,0.0,0.0,-1.42,15,3D,Steel,Double,PLA
-0.157,0.0,0.0,-1.47,15,3D,Steel,Double,PLA
-0.113,0.0,0.0,-1.06,15,3D,Steel,Double,PLA
-0.144,0.0,0.0,-1.35,15,3D,Steel,Double,PLA
-0.133,0.0,0.0,-1.24,15,3D,Steel,Double,PLA
-0.129,0.0,0.0,-1.21,15,3D,Steel,Double,PLA
-0.118,0.0,0.0,-1.1,15,3D,Steel,Double,PLA
-0.161,0.0,0.0,-1.51,15,3D,Steel,Double,PLA
-0.156,0.0,0.0,-1.46,15,3D,Steel,Double,PLA
-0.123,0.0,0.0,-1.15,15,3D,Steel,Double,PLA
-0.161,0.0,0.0,-1.51,15,3D,Steel,Double,PLA
-0.129,0.0,0.0,-1.21,15,3D,Steel,Double,PLA
-0.163,0.0,0.0,-1.53,15,3D,Steel,Double,PLA
-0.133,9.19e-06,0.000467,-1.25,15,3D,Steel,Double,PLA
0.395,0.000105,0.00531,3.7,15,3D,Steel,Double,PLA
1.14,0.000208,0.0106,10.7,15,3D,Steel,Double,PLA
2.01,0.000315,0.016,18.8,15,3D,Steel,Double,PLA
2.76,0.000422,0.0214,25.8,15,3D,Steel,Double,PLA
3.51,0.000533,0.0271,32.8,15,3D,Steel,Double,PLA
4.38,0.000644,0.0327,41.0,15,3D,Steel,Double,PLA
5.34,0.000755,0.0384,50.0,15,3D,Steel,Double,PLA
6.19,0.000867,0.044,58.0,15,3D,Steel,Double,PLA
7.0,0.000974,0.0495,65.6,15,3D,Steel,Double,PLA
