Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.0673,0.0,0.0,-0.63,15,Hex,Steel,Double,PLA
-0.0588,0.0,0.0,-0.55,15,Hex,Steel,Double,PLA
-0.0322,0.0,0.0,-0.301,15,Hex,Steel,Double,PLA
-0.0322,0.0,0.0,-0.301,15,Hex,Steel,Double,PLA
-0.0523,0.0,0.0,-0.489,15,Hex,Steel,Double,PLA
-0.0544,0.0,0.0,-0.509,15,Hex,Steel,Double,PLA
-0.0422,0.0,0.0,-0.396,15,Hex,Steel,Double,PLA
-0.059,0.0,0.0,-0.553,15,Hex,Steel,Double,PLA
-0.0552,0.0,0.0,-0.517,15,Hex,Steel,Double,PLA
-0.0562,0.0,0.0,-0.526,15,Hex,Steel,Double,PLA
-0.0418,0.0,0.0,-0.391,15,Hex,Steel,Double,PLA
-0.0474,0.0,0.0,-0.444,15,Hex,Steel,Double,PLA
-0.0668,0.0,0.0,-0.625,15,Hex,Steel,Double,PLA
-0.0943,0.0,0.0,-0.883,15,Hex,Steel,Double,PLA
-0.0723,0.0,0.0,-0.677,15,Hex,Steel,Double,PLA
-0.0911,0.0,0.0,-0.853,15,Hex,Steel,Double,PLA
-0.0367,0.0,0.0,-0.344,15,Hex,Steel,Double,PLA
-0.021,0.0,0.0,-0.197,15,Hex,Steel,Double,PLA
-0.0629,0.0,0.0,-0.589,15,Hex,Steel,Double,PLA
-0.0535,0.0,0.0,-0.501,15,Hex,Steel,Double,PLA
-0.0852,0.0,0.0,-0.798,15,Hex,Steel,Double,PLA
-0.0719,0.0,0.0,-0.674,15,Hex,Steel,Double,PLA
-0.114,0.0,0.0,-1.06,15,Hex,Steel,Double,PLA
-0.0897,0.0,0.0,-0.84,15,Hex,Steel,Double,PLA
-0.0587,0.0,0.0,-0.55,15,Hex,Steel,Double,PLA
-0.0588,0.0,0.0,-0.551,15,Hex,Steel,Double,PLA
-0.0474,0.0,0.0,-0.444,15,Hex,Steel,Double,PLA
-0.0603,0.0,0.0,-0.565,15,Hex,Steel,Double,PLA
-0.0725,0.0,0.0,-0.679,15,Hex,Steel,Double,PLA
0.318,6.28e-05,0.00319,2.98,15,Hex,Steel,Double,PLA
0.988,0.000153,0.00776,9.25,15,Hex,Steel,Double,PLA
1.76,0.000251,0.0127,16.5,15,Hex,Steel,Double,PLA
2.53,0.000354,0.018,23.7,15,Hex,Steel,Double,PLA
3.34,0.000454,0.0231,31.3,15,Hex,Steel,Double,PLA
4.17,0.000555,0.0282,39.0,15,Hex,Steel,Double,PLA
4.93,0.00065,0.033,46.1,15,Hex,Steel,Double,PLA
5.89,0.000756,0.0384,55.2,15,Hex,Steel,Double,PLA
6.94,0.000861,0.0438,65.0,15,Hex,Steel,Double,PLA
7.74,0.000959,0.0487,72.5,15,Hex,Steel,Double,PLA
8.6,0.00106,0.0539,80.6,15,Hex,Steel,Double,PLA
9.37,0.00116,0.0589,87.7,15,Hex,Steel,Double,PLA
10.2,0.00126,0.0641,95.9,15,Hex,Steel,Double,PLA
11.0,0.00136,0.0692,103.0,15,Hex,Steel,Double,PLA
11.9,0.00147,0.0746,112.0,15,Hex,Steel,Double,PLA
12.6,0.00157,0.0796,118.0,15,Hex,Steel,Double,PLA
13.5,0.00166,0.0843,126.0,15,Hex,Steel,Double,PLA
14.2,0.00176,0.0895,133.0,15,Hex,Steel,Double,PLA
15.0,0.00186,0.0945,140.0,15,Hex,Steel,Double,PLA
15.7,0.00196,0.0997,147.0,15,Hex,Steel,Double,PLA
17.1,0.00215,0.109,160.0,15,Hex,Steel,Double,PLA
17.1,0.00216,0.11,160.0,15,Hex,Steel,Double,PLA
17.8,0.00226,0.115,167.0,15,Hex,Steel,Double,PLA
18.5,0.00236,0.12,174.0,15,Hex,Steel,Double,PLA
19.3,0.00246,0.125,180.0,15,Hex,Steel,Double,PLA
19.9,0.00256,0.13,186.0,15,Hex,Steel,Double,PLA
20.6,0.00266,0.135,193.0,15,Hex,Steel,Double,PLA
21.2,0.00276,0.14,199.0,15,Hex,Steel,Double,PLA
21.8,0.00282,0.143,204.0,15,Hex,Steel,Double,PLA
22.8,0.00297,0.151,214.0,15,Hex,Steel,Double,PLA
23.2,0.00306,0.155,218.0,15,Hex,Steel,Double,PLA
23.9,0.00315,0.16,224.0,15,Hex,Steel,Double,PLA
24.5,0.00325,0.165,230.0,15,Hex,Steel,Double,PLA
25.2,0.00336,0.171,236.0,15,Hex,Steel,Double,PLA
25.8,0.00346,0.176,242.0,15,Hex,Steel,Double,PLA
26.5,0.00355,0.181,248.0,15,Hex,Steel,Double,PLA
27.0,0.00365,0.185,253.0,15,Hex,Steel,Double,PLA
27.8,0.00375,0.191,260.0,15,Hex,Steel,Double,PLA
28.4,0.00385,0.195,266.0,15,Hex,Steel,Double,PLA
29.0,0.00395,0.201,271.0,15,Hex,Steel,Double,PLA
29.6,0.00405,0.206,277.0,15,Hex,Steel,Double,PLA
30.2,0.00414,0.211,282.0,15,Hex,Steel,Double,PLA
30.8,0.00424,0.216,288.0,15,Hex,Steel,Double,PLA
31.4,0.00434,0.221,294.0,15,Hex,Steel,Double,PLA
32.1,0.00444,0.226,301.0,15,Hex,Steel,Double,PLA
32.6,0.00454,0.231,305.0,15,Hex,Steel,Double,PLA
33.2,0.00464,0.235,311.0,15,Hex,Steel,Double,PLA
33.8,0.00474,0.241,317.0,15,Hex,Steel,Double,PLA
34.4,0.00484,0.246,322.0,15,Hex,Steel,Double,PLA
35.0,0.00494,0.251,328.0,15,Hex,Steel,Double,PLA
35.6,0.00503,0.256,333.0,15,Hex,Steel,Double,PLA
36.1,0.00513,0.261,338.0,15,Hex,Steel,Double,PLA
36.8,0.00523,0.266,345.0,15,Hex,Steel,Double,PLA
37.4,0.00533,0.271,350.0,15,Hex,Steel,Double,PLA
38.0,0.00543,0.276,355.0,15,Hex,Steel,Double,PLA
38.6,0.00553,0.281,361.0,15,Hex,Steel,Double,PLA
39.1,0.00562,0.286,366.0,15,Hex,Steel,Double,PLA
39.7,0.00573,0.291,372.0,15,Hex,Steel,Double,PLA
40.3,0.00583,0.296,377.0,15,Hex,Steel,Double,PLA
40.9,0.00593,0.301,383.0,15,Hex,Steel,Double,PLA
41.4,0.00603,0.306,388.0,15,Hex,Steel,Double,PLA
42.0,0.00612,0.311,393.0,15,Hex,Steel,Double,PLA
42.5,0.00622,0.316,398.0,15,Hex,Steel,Double,PLA
43.1,0.00632,0.321,403.0,15,Hex,Steel,Double,PLA
43.6,0.00642,0.326,408.0,15,Hex,Steel,Double,PLA
44.2,0.00652,0.331,414.0,15,Hex,Steel,Double,PLA
44.7,0.00662,0.336,419.0,15,Hex,Steel,Double,PLA
45.4,0.00672,0.341,425.0,15,Hex,Steel,Double,PLA
45.9,0.00682,0.346,430.0,15,Hex,Steel,Double,PLA
46.4,0.00692,0.351,435.0,15,Hex,Steel,Double,PLA
47.0,0.00702,0.356,440.0,15,Hex,Steel,Double,PLA
47.5,0.00711,0.361,444.0,15,Hex,Steel,Double,PLA
48.1,0.00721,0.366,450.0,15,Hex,Steel,Double,PLA
48.7,0.00731,0.371,456.0,15,Hex,Steel,Double,PLA
49.2,0.00741,0.377,461.0,15,Hex,Steel,Double,PLA
49.7,0.00751,0.381,466.0,15,Hex,Steel,Double,PLA
50.2,0.0076,0.386,470.0,15,Hex,Steel,Double,PLA
50.8,0.00771,0.391,476.0,15,Hex,Steel,Double,PLA
51.3,0.00781,0.397,480.0,15,Hex,Steel,Double,PLA
51.9,0.00791,0.402,486.0,15,Hex,Steel,Double,PLA
52.3,0.008,0.407,490.0,15,Hex,Steel,Double,PLA
52.8,0.0081,0.411,495.0,15,Hex,Steel,Double,PLA
53.4,0.0082,0.417,500.0,15,Hex,Steel,Double,PLA
54.0,0.0083,0.422,505.0,15,Hex,Steel,Double,PLA
54.5,0.0084,0.427,511.0,15,Hex,Steel,Double,PLA
55.0,0.0085,0.432,515.0,15,Hex,Steel,Double,PLA
55.5,0.0086,0.437,520.0,15,Hex,Steel,Double,PLA
56.0,0.0087,0.442,525.0,15,Hex,Steel,Double,PLA
56.6,0.00879,0.447,530.0,15,Hex,Steel,Double,PLA
57.1,0.0089,0.452,535.0,15,Hex,Steel,Double,PLA
57.6,0.00899,0.457,539.0,15,Hex,Steel,Double,PLA
58.1,0.00909,0.462,544.0,15,Hex,Steel,Double,PLA
58.6,0.00919,0.467,548.0,15,Hex,Steel,Double,PLA
59.1,0.00929,0.472,554.0,15,Hex,Steel,Double,PLA
59.6,0.00939,0.477,558.0,15,Hex,Steel,Double,PLA
60.1,0.00949,0.482,563.0,15,Hex,Steel,Double,PLA
60.7,0.00959,0.487,568.0,15,Hex,Steel,Double,PLA
61.1,0.00968,0.492,572.0,15,Hex,Steel,Double,PLA
61.6,0.00978,0.497,577.0,15,Hex,Steel,Double,PLA
62.1,0.00988,0.502,582.0,15,Hex,Steel,Double,PLA
62.7,0.00998,0.507,587.0,15,Hex,Steel,Double,PLA
63.1,0.0101,0.512,591.0,15,Hex,Steel,Double,PLA
63.6,0.0102,0.517,595.0,15,Hex,Steel,Double,PLA
64.0,0.0103,0.522,600.0,15,Hex,Steel,Double,PLA
64.6,0.0104,0.527,605.0,15,Hex,Steel,Double,PLA
65.1,0.0105,0.532,609.0,15,Hex,Steel,Double,PLA
65.6,0.0106,0.537,614.0,15,Hex,Steel,Double,PLA
66.1,0.0107,0.542,619.0,15,Hex,Steel,Double,PLA
66.6,0.0108,0.547,623.0,15,Hex,Steel,Double,PLA
67.0,0.0109,0.552,628.0,15,Hex,Steel,Double,PLA
67.6,0.011,0.557,633.0,15,Hex,Steel,Double,PLA
68.0,0.0111,0.562,637.0,15,Hex,Steel,Double,PLA
68.5,0.0112,0.567,641.0,15,Hex,Steel,Double,PLA
69.0,0.0113,0.573,647.0,15,Hex,Steel,Double,PLA
69.5,0.0114,0.578,651.0,15,Hex,Steel,Double,PLA
70.0,0.0115,0.583,656.0,15,Hex,Steel,Double,PLA
70.5,0.0116,0.588,660.0,15,Hex,Steel,Double,PLA
