Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.0472,0.0,0.0,-0.442,15,Tri,Steel,Double,PLA
-0.0402,0.0,0.0,-0.376,15,Tri,Steel,Double,PLA
-0.0402,0.0,0.0,-0.376,15,Tri,Steel,Double,PLA
0.00502,0.0,0.0,0.0471,15,Tri,Steel,Double,PLA
0.00502,0.0,0.0,0.0471,15,Tri,Steel,Double,PLA
0.0327,0.0,0.0,0.306,15,Tri,Steel,Double,PLA
-0.0408,0.0,0.0,-0.382,15,Tri,Steel,Double,PLA
0.00612,0.0,0.0,0.0573,15,Tri,Steel,Double,PLA
0.00567,0.0,0.0,0.0531,15,Tri,Steel,Double,PLA
-0.0043,0.0,0.0,-0.0402,15,Tri,Steel,Double,PLA
-0.0522,0.0,0.0,-0.489,15,Tri,Steel,Double,PLA
-0.0682,0.0,0.0,-0.638,15,Tri,Steel,Double,PLA
0.0131,0.0,0.0,0.122,15,Tri,Steel,Double,PLA
-0.00244,0.0,0.0,-0.0228,15,Tri,Steel,Double,PLA
-0.00274,0.0,0.0,-0.0256,15,Tri,Steel,Double,PLA
0.00517,0.0,0.0,0.0485,15,Tri,Steel,Double,PLA
-0.0297,0.0,0.0,-0.278,15,Tri,Steel,Double,PLA
0.00609,0.0,0.0,0.0571,15,Tri,Steel,Double,PLA
-0.0364,0.0,0.0,-0.341,15,Tri,Steel,Double,PLA
-0.00133,0.0,0.0,-0.0124,15,Tri,Steel,Double,PLA
-0.0216,0.0,0.0,-0.202,15,Tri,Steel,Double,PLA
-0.0425,0.0,0.0,-0.398,15,Tri,Steel,Double,PLA
-0.0187,0.0,0.0,-0.175,15,Tri,Steel,Double,PLA
-0.0206,0.0,0.0,-0.193,15,Tri,Steel,Double,PLA
-0.0108,0.0,0.0,-0.101,15,Tri,Steel,Double,PLA
-0.022,0.0,0.0,-0.206,15,Tri,Steel,Double,PLA
0.174,3.33e-05,0.00169,1.63,15,Tri,Steel,Double,PLA
0.894,0.000124,0.00629,8.37,15,Tri,Steel,Double,PLA
1.87,0.00023,0.0117,17.6,15,Tri,Steel,Double,PLA
2.82,0.000332,0.0169,26.4,15,Tri,Steel,Double,PLA
3.67,0.000433,0.022,34.4,15,Tri,Steel,Double,PLA
4.62,0.000537,0.0273,43.3,15,Tri,Steel,Double,PLA
5.48,0.000643,0.0327,51.3,15,Tri,Steel,Double,PLA
6.6,0.000749,0.0381,61.8,15,Tri,Steel,Double,PLA
7.68,0.000851,0.0433,71.9,15,Tri,Steel,Double,PLA
8.59,0.000954,0.0485,80.4,15,Tri,Steel,Double,PLA
