Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.119,0.0,0.0,-1.11,30,3D,Steel,Double,PLA
-0.119,0.0,0.0,-1.11,30,3D,Steel,Double,PLA
-0.131,0.0,0.0,-1.22,30,3D,Steel,Double,PLA
-0.0945,0.0,0.0,-0.885,30,3D,Steel,Double,PLA
-0.122,0.0,0.0,-1.14,30,3D,Steel,Double,PLA
-0.124,0.0,0.0,-1.16,30,3D,Steel,Double,PLA
-0.116,0.0,0.0,-1.09,30,3D,Steel,Double,PLA
-0.151,0.0,0.0,-1.41,30,3D,Steel,Double,PLA
-0.068,0.0,0.0,-0.636,30,3D,Steel,Double,PLA
-0.114,0.0,0.0,-1.07,30,3D,Steel,Double,PLA
-0.114,0.0,0.0,-1.07,30,3D,Steel,Double,PLA
-0.104,0.0,0.0,-0.971,30,3D,Steel,Double,PLA
-0.147,0.0,0.0,-1.38,30,3D,Steel,Double,PLA
-0.139,0.0,0.0,-1.3,30,3D,Steel,Double,PLA
-0.112,0.0,0.0,-1.05,30,3D,Steel,Double,PLA
-0.161,0.0,0.0,-1.51,30,3D,Steel,Double,PLA
-0.198,0.0,0.0,-1.85,30,3D,Steel,Double,PLA
-0.135,0.0,0.0,-1.27,30,3D,Steel,Double,PLA
-0.149,0.0,0.0,-1.4,30,3D,Steel,Double,PLA
-0.168,0.0,0.0,-1.57,30,3D,Steel,Double,PLA
0.311,6.69e-05,0.0034,2.91,30,3D,Steel,Double,PLA
1.28,0.000193,0.00979,12.0,30,3D,Steel,Double,PLA
2.48,0.000332,0.0169,23.2,30,3D,Steel,Double,PLA
3.64,0.000468,0.0238,34.1,30,3D,Steel,Double,PLA
4.65,0.0006,0.0305,43.6,30,3D,Steel,Double,PLA
6.04,0.00074,0.0376,56.5,30,3D,Steel,Double,PLA
7.23,0.000878,0.0446,67.7,30,3D,Steel,Double,PLA
8.39,0.00101,0.0514,78.6,30,3D,Steel,Double,PLA
9.36,0.00115,0.0582,87.7,30,3D,Steel,Double,PLA
10.5,0.00128,0.0651,98.2,30,3D,Steel,Double,PLA
11.5,0.00142,0.0722,108.0,30,3D,Steel,Double,PLA
12.5,0.00155,0.0789,117.0,30,3D,Steel,Double,PLA
13.5,0.00169,0.0856,127.0,30,3D,Steel,Double,PLA
14.5,0.00183,0.0927,135.0,30,3D,Steel,Double,PLA
15.4,0.00196,0.0996,144.0,30,3D,Steel,Double,PLA
16.3,0.00209,0.106,153.0,30,3D,Steel,Double,PLA
17.2,0.00222,0.113,161.0,30,3D,Steel,Double,PLA
19.1,0.00249,0.127,179.0,30,3D,Steel,Double,PLA
19.2,0.0025,0.127,180.0,30,3D,Steel,Double,PLA
20.0,0.00263,0.134,187.0,30,3D,Steel,Double,PLA
21.1,0.00279,0.142,197.0,30,3D,Steel,Double,PLA
21.7,0.0029,0.147,203.0,30,3D,Steel,Double,PLA
22.6,0.00303,0.154,212.0,30,3D,Steel,Double,PLA
23.6,0.00317,0.161,221.0,30,3D,Steel,Double,PLA
24.4,0.00331,0.168,228.0,30,3D,Steel,Double,PLA
25.3,0.00344,0.175,237.0,30,3D,Steel,Double,PLA
26.1,0.00357,0.182,244.0,30,3D,Steel,Double,PLA
27.0,0.00371,0.188,253.0,30,3D,Steel,Double,PLA
27.8,0.00385,0.195,260.0,30,3D,Steel,Double,PLA
28.6,0.00398,0.202,268.0,30,3D,Steel,Double,PLA
29.5,0.00411,0.209,276.0,30,3D,Steel,Double,PLA
30.4,0.00425,0.216,284.0,30,3D,Steel,Double,PLA
31.2,0.00439,0.223,292.0,30,3D,Steel,Double,PLA
32.0,0.00452,0.229,299.0,30,3D,Steel,Double,PLA
32.8,0.00466,0.236,307.0,30,3D,Steel,Double,PLA
33.6,0.00479,0.243,315.0,30,3D,Steel,Double,PLA
34.5,0.00493,0.25,323.0,30,3D,Steel,Double,PLA
35.2,0.00506,0.257,329.0,30,3D,Steel,Double,PLA
36.0,0.00519,0.264,337.0,30,3D,Steel,Double,PLA
36.8,0.00533,0.271,345.0,30,3D,Steel,Double,PLA
37.6,0.00546,0.278,352.0,30,3D,Steel,Double,PLA
38.3,0.0056,0.284,359.0,30,3D,Steel,Double,PLA
