Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.0613,0.0,0.0,-0.574,30,Hex,Steel,Double,PLA
-0.0935,0.0,0.0,-0.875,30,Hex,Steel,Double,PLA
-0.0935,0.0,0.0,-0.875,30,Hex,Steel,Double,PLA
-0.0681,0.0,0.0,-0.638,30,Hex,Steel,Double,PLA
-0.0261,0.0,0.0,-0.245,30,Hex,Steel,Double,PLA
-0.042,0.0,0.0,-0.393,30,Hex,Steel,Double,PLA
-0.0448,0.0,0.0,-0.419,30,Hex,Steel,Double,PLA
-0.0274,0.0,0.0,-0.257,30,Hex,Steel,Double,PLA
-0.0658,0.0,0.0,-0.616,30,Hex,Steel,Double,PLA
-0.0884,0.0,0.0,-0.828,30,Hex,Steel,Double,PLA
-0.101,0.0,0.0,-0.95,30,Hex,Steel,Double,PLA
-0.086,0.0,0.0,-0.805,30,Hex,Steel,Double,PLA
-0.0719,0.0,0.0,-0.673,30,Hex,Steel,Double,PLA
-0.0474,0.0,0.0,-0.444,30,Hex,Steel,Double,PLA
-0.0824,0.0,0.0,-0.772,30,Hex,Steel,Double,PLA
-0.103,0.0,0.0,-0.96,30,Hex,Steel,Double,PLA
-0.0659,0.0,0.0,-0.617,30,Hex,Steel,Double,PLA
-0.0679,0.0,0.0,-0.636,30,Hex,Steel,Double,PLA
-0.107,0.0,0.0,-1.0,30,Hex,Steel,Double,PLA
-0.0767,0.0,0.0,-0.718,30,Hex,Steel,Double,PLA
-0.0782,0.0,0.0,-0.732,30,Hex,Steel,Double,PLA
-0.0947,0.0,0.0,-0.887,30,Hex,Steel,Double,PLA
-0.0942,0.0,0.0,-0.882,30,Hex,Steel,Double,PLA
-0.0742,0.0,0.0,-0.695,30,Hex,Steel,Double,PLA
-0.0932,0.0,0.0,-0.873,30,Hex,Steel,Double,PLA
-0.0755,0.0,0.0,-0.707,30,Hex,Steel,Double,PLA
-0.0992,0.0,0.0,-0.929,30,Hex,Steel,Double,PLA
