Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.26,0.0,0.0,-2.44,45,3D,Steel,Double,PLA
-0.239,0.0,0.0,-2.24,45,3D,Steel,Double,PLA
-0.313,0.0,0.0,-2.93,45,3D,Steel,Double,PLA
-0.228,0.0,0.0,-2.13,45,3D,Steel,Double,PLA
-0.237,0.0,0.0,-2.22,45,3D,Steel,Double,PLA
-0.28,0.0,0.0,-2.62,45,3D,Steel,Double,PLA
-0.334,0.0,0.0,-3.12,45,3D,Steel,Double,PLA
-0.263,0.0,0.0,-2.47,45,3D,Steel,Double,PLA
-0.333,0.0,0.0,-3.12,45,3D,Steel,Double,PLA
-0.348,0.0,0.0,-3.26,45,3D,Steel,Double,PLA
-0.337,0.0,0.0,-3.16,45,3D,Steel,Double,PLA
-0.353,0.0,0.0,-3.31,45,3D,Steel,Double,PLA
0.733,0.000203,0.0103,6.86,45,3D,Steel,Double,PLA
2.32,0.000438,0.0223,21.7,45,3D,Steel,Double,PLA
3.72,0.000669,0.034,34.8,45,3D,Steel,Double,PLA
5.09,0.000908,0.0461,47.6,45,3D,Steel,Double,PLA
6.36,0.00114,0.0579,59.5,45,3D,Steel,Double,PLA
7.64,0.00137,0.0698,71.6,45,3D,Steel,Double,PLA
8.82,0.00161,0.0818,82.6,45,3D,Steel,Double,PLA
9.89,0.00184,0.0935,92.6,45,3D,Steel,Double,PLA
11.9,0.0023,0.117,112.0,45,3D,Steel,Double,PLA
12.0,0.0023,0.117,113.0,45,3D,Steel,Double,PLA
13.0,0.00253,0.128,122.0,45,3D,Steel,Double,PLA
14.0,0.00275,0.14,131.0,45,3D,Steel,Double,PLA
15.0,0.00298,0.152,140.0,45,3D,Steel,Double,PLA
15.9,0.0032,0.163,149.0,45,3D,Steel,Double,PLA
16.9,0.00343,0.174,158.0,45,3D,Steel,Double,PLA
17.8,0.00365,0.186,167.0,45,3D,Steel,Double,PLA
18.8,0.00388,0.197,176.0,45,3D,Steel,Double,PLA
19.7,0.00411,0.209,184.0,45,3D,Steel,Double,PLA
20.5,0.00433,0.22,192.0,45,3D,Steel,Double,PLA
21.4,0.00455,0.231,201.0,45,3D,Steel,Double,PLA
22.4,0.00477,0.242,209.0,45,3D,Steel,Double,PLA
23.1,0.005,0.254,217.0,45,3D,Steel,Double,PLA
24.0,0.00522,0.265,224.0,45,3D,Steel,Double,PLA
24.9,0.00544,0.277,233.0,45,3D,Steel,Double,PLA
25.7,0.00567,0.288,241.0,45,3D,Steel,Double,PLA
26.5,0.00589,0.299,248.0,45,3D,Steel,Double,PLA
27.4,0.00612,0.311,256.0,45,3D,Steel,Double,PLA
28.2,0.00634,0.322,264.0,45,3D,Steel,Double,PLA
29.0,0.00656,0.333,272.0,45,3D,Steel,Double,PLA
29.8,0.00678,0.345,279.0,45,3D,Steel,Double,PLA
30.7,0.00701,0.356,287.0,45,3D,Steel,Double,PLA
31.4,0.00723,0.367,294.0,45,3D,Steel,Double,PLA
32.2,0.00746,0.379,302.0,45,3D,Steel,Double,PLA
33.0,0.00768,0.39,309.0,45,3D,Steel,Double,PLA
33.7,0.0079,0.401,316.0,45,3D,Steel,Double,PLA
34.6,0.00813,0.413,324.0,45,3D,Steel,Double,PLA
35.2,0.00835,0.424,330.0,45,3D,Steel,Double,PLA
36.1,0.00857,0.436,338.0,45,3D,Steel,Double,PLA
36.8,0.0088,0.447,344.0,45,3D,Steel,Double,PLA
37.5,0.00903,0.459,351.0,45,3D,Steel,Double,PLA
38.3,0.00925,0.47,358.0,45,3D,Steel,Double,PLA
39.0,0.00947,0.481,365.0,45,3D,Steel,Double,PLA
39.6,0.00969,0.492,371.0,45,3D,Steel,Double,PLA
40.4,0.00992,0.504,378.0,45,3D,Steel,Double,PLA
41.1,0.0101,0.515,385.0,45,3D,Steel,Double,PLA
41.8,0.0104,0.527,391.0,45,3D,Steel,Double,PLA
42.5,0.0106,0.538,398.0,45,3D,Steel,Double,PLA
43.2,0.0108,0.549,405.0,45,3D,Steel,Double,PLA
43.9,0.011,0.561,411.0,45,3D,Steel,Double,PLA
44.5,0.0113,0.572,417.0,45,3D,Steel,Double,PLA
45.2,0.0115,0.583,424.0,45,3D,Steel,Double,PLA
45.9,0.0117,0.595,430.0,45,3D,Steel,Double,PLA
46.5,0.0119,0.606,436.0,45,3D,Steel,Double,PLA
47.2,0.0122,0.618,442.0,45,3D,Steel,Double,PLA
47.8,0.0124,0.629,447.0,45,3D,Steel,Double,PLA
48.5,0.0126,0.641,454.0,45,3D,Steel,Double,PLA
49.0,0.0128,0.652,459.0,45,3D,Steel,Double,PLA
49.8,0.0131,0.663,466.0,45,3D,Steel,Double,PLA
50.3,0.0133,0.674,471.0,45,3D,Steel,Double,PLA
51.0,0.0135,0.686,477.0,45,3D,Steel,Double,PLA
51.6,0.0137,0.697,483.0,45,3D,Steel,Double,PLA
52.2,0.014,0.709,489.0,45,3D,Steel,Double,PLA
52.9,0.0142,0.72,495.0,45,3D,Steel,Double,PLA
53.5,0.0144,0.731,501.0,45,3D,Steel,Double,PLA
54.1,0.0146,0.743,507.0,45,3D,Steel,Double,PLA
54.7,0.0148,0.754,512.0,45,3D,Steel,Double,PLA
55.3,0.0151,0.766,518.0,45,3D,Steel,Double,PLA
55.9,0.0153,0.777,524.0,45,3D,Steel,Double,PLA
56.5,0.0155,0.788,529.0,45,3D,Steel,Double,PLA
57.0,0.0157,0.799,534.0,45,3D,Steel,Double,PLA
57.7,0.016,0.811,540.0,45,3D,Steel,Double,PLA
58.2,0.0162,0.822,545.0,45,3D,Steel,Double,PLA
58.7,0.0164,0.833,550.0,45,3D,Steel,Double,PLA
59.3,0.0166,0.844,556.0,45,3D,Steel,Double,PLA
59.8,0.0168,0.856,560.0,45,3D,Steel,Double,PLA
60.4,0.0171,0.867,566.0,45,3D,Steel,Double,PLA
61.0,0.0173,0.878,571.0,45,3D,Steel,Double,PLA
61.6,0.0175,0.89,577.0,45,3D,Steel,Double,PLA
62.1,0.0177,0.901,581.0,45,3D,Steel,Double,PLA
62.7,0.018,0.913,587.0,45,3D,Steel,Double,PLA
63.2,0.0182,0.924,592.0,45,3D,Steel,Double,PLA
63.8,0.0184,0.935,597.0,45,3D,Steel,Double,PLA
64.4,0.0186,0.947,603.0,45,3D,Steel,Double,PLA
64.9,0.0189,0.958,607.0,45,3D,Steel,Double,PLA
65.4,0.0191,0.97,612.0,45,3D,Steel,Double,PLA
65.9,0.0193,0.981,617.0,45,3D,Steel,Double,PLA
66.5,0.0195,0.993,622.0,45,3D,Steel,Double,PLA
66.9,0.0198,1.0,627.0,45,3D,Steel,Double,PLA
67.5,0.02,1.02,632.0,45,3D,Steel,Double,PLA
68.0,0.0202,1.03,636.0,45,3D,Steel,Double,PLA
68.5,0.0204,1.04,641.0,45,3D,Steel,Double,PLA
69.0,0.0207,1.05,646.0,45,3D,Steel,Double,PLA
69.4,0.0209,1.06,650.0,45,3D,Steel,Double,PLA
70.0,0.0211,1.07,655.0,45,3D,Steel,Double,PLA
70.4,0.0213,1.08,659.0,45,3D,Steel,Double,PLA
70.9,0.0216,1.1,664.0,45,3D,Steel,Double,PLA
71.4,0.0218,1.11,669.0,45,3D,Steel,Double,PLA
72.0,0.022,1.12,674.0,45,3D,Steel,Double,PLA
72.4,0.0222,1.13,678.0,45,3D,Steel,Double,PLA
72.8,0.0225,1.14,682.0,45,3D,Steel,Double,PLA
73.3,0.0227,1.15,686.0,45,3D,Steel,Double,PLA
73.8,0.0229,1.16,691.0,45,3D,Steel,Double,PLA
74.4,0.0231,1.17,696.0,45,3D,Steel,Double,PLA
74.8,0.0233,1.19,700.0,45,3D,Steel,Double,PLA
75.2,0.0236,1.2,705.0,45,3D,Steel,Double,PLA
75.6,0.0238,1.21,708.0,45,3D,Steel,Double,PLA
76.1,0.024,1.22,713.0,45,3D,Steel,Double,PLA
76.6,0.0242,1.23,718.0,45,3D,Steel,Double,PLA
77.1,0.0245,1.24,722.0,45,3D,Steel,Double,PLA
77.4,0.0247,1.25,725.0,45,3D,Steel,Double,PLA
77.9,0.0249,1.27,730.0,45,3D,Steel,Double,PLA
78.4,0.0251,1.28,734.0,45,3D,Steel,Double,PLA
78.9,0.0254,1.29,739.0,45,3D,Steel,Double,PLA
79.3,0.0256,1.3,742.0,45,3D,Steel,Double,PLA
79.7,0.0258,1.31,746.0,45,3D,Steel,Double,PLA
80.2,0.026,1.32,751.0,45,3D,Steel,Double,PLA
80.7,0.0263,1.33,755.0,45,3D,Steel,Double,PLA
81.1,0.0265,1.35,759.0,45,3D,Steel,Double,PLA
81.4,0.0267,1.36,762.0,45,3D,Steel,Double,PLA
81.9,0.0269,1.37,767.0,45,3D,Steel,Double,PLA
82.4,0.0272,1.38,771.0,45,3D,Steel,Double,PLA
82.8,0.0274,1.39,776.0,45,3D,Steel,Double,PLA
83.3,0.0276,1.4,780.0,45,3D,Steel,Double,PLA
83.7,0.0278,1.41,783.0,45,3D,Steel,Double,PLA
84.1,0.0281,1.43,788.0,45,3D,Steel,Double,PLA
84.4,0.0283,1.44,791.0,45,3D,Steel,Double,PLA
84.9,0.0285,1.45,795.0,45,3D,Steel,Double,PLA
85.3,0.0287,1.46,799.0,45,3D,Steel,Double,PLA
85.6,0.0289,1.47,802.0,45,3D,Steel,Double,PLA
86.1,0.0292,1.48,806.0,45,3D,Steel,Double,PLA
86.5,0.0294,1.49,810.0,45,3D,Steel,Double,PLA
86.9,0.0296,1.5,814.0,45,3D,Steel,Double,PLA
87.1,0.0298,1.52,816.0,45,3D,Steel,Double,PLA
87.6,0.0301,1.53,820.0,45,3D,Steel,Double,PLA
88.1,0.0303,1.54,824.0,45,3D,Steel,Double,PLA
88.4,0.0305,1.55,828.0,45,3D,Steel,Double,PLA
88.8,0.0307,1.56,832.0,45,3D,Steel,Double,PLA
89.2,0.031,1.57,835.0,45,3D,Steel,Double,PLA
89.6,0.0312,1.58,839.0,45,3D,Steel,Double,PLA
89.9,0.0314,1.6,842.0,45,3D,Steel,Double,PLA
90.3,0.0316,1.61,846.0,45,3D,Steel,Double,PLA
90.6,0.0319,1.62,848.0,45,3D,Steel,Double,PLA
91.0,0.0321,1.63,852.0,45,3D,Steel,Double,PLA
91.4,0.0323,1.64,856.0,45,3D,Steel,Double,PLA
91.8,0.0325,1.65,859.0,45,3D,Steel,Double,PLA
92.1,0.0328,1.66,863.0,45,3D,Steel,Double,PLA
92.5,0.033,1.68,866.0,45,3D,Steel,Double,PLA
92.8,0.0332,1.69,869.0,45,3D,Steel,Double,PLA
93.1,0.0334,1.7,872.0,45,3D,Steel,Double,PLA
93.5,0.0336,1.71,876.0,45,3D,Steel,Double,PLA
93.9,0.0339,1.72,879.0,45,3D,Steel,Double,PLA
94.2,0.0341,1.73,882.0,45,3D,Steel,Double,PLA
94.7,0.0343,1.74,886.0,45,3D,Steel,Double,PLA
94.9,0.0345,1.76,889.0,45,3D,Steel,Double,PLA
95.3,0.0348,1.77,892.0,45,3D,Steel,Double,PLA
95.7,0.035,1.78,896.0,45,3D,Steel,Double,PLA
96.0,0.0352,1.79,899.0,45,3D,Steel,Double,PLA
96.3,0.0354,1.8,902.0,45,3D,Steel,Double,PLA
96.7,0.0357,1.81,906.0,45,3D,Steel,Double,PLA
97.0,0.0359,1.82,908.0,45,3D,Steel,Double,PLA
97.3,0.0361,1.83,911.0,45,3D,Steel,Double,PLA
97.7,0.0363,1.85,915.0,45,3D,Steel,Double,PLA
98.0,0.0366,1.86,918.0,45,3D,Steel,Double,PLA
98.3,0.0368,1.87,921.0,45,3D,Steel,Double,PLA
98.6,0.037,1.88,924.0,45,3D,Steel,Double,PLA
99.0,0.0372,1.89,927.0,45,3D,Steel,Double,PLA
99.3,0.0375,1.9,929.0,45,3D,Steel,Double,PLA
99.7,0.0377,1.91,934.0,45,3D,Steel,Double,PLA
99.8,0.0379,1.93,935.0,45,3D,Steel,Double,PLA
100.0,0.0381,1.94,938.0,45,3D,Steel,Double,PLA
100.0,0.0384,1.95,941.0,45,3D,Steel,Double,PLA
101.0,0.0386,1.96,944.0,45,3D,Steel,Double,PLA
101.0,0.0388,1.97,947.0,45,3D,Steel,Double,PLA
101.0,0.039,1.98,950.0,45,3D,Steel,Double,PLA
102.0,0.0393,1.99,952.0,45,3D,Steel,Double,PLA
102.0,0.0395,2.01,955.0,45,3D,Steel,Double,PLA
102.0,0.0397,2.02,957.0,45,3D,Steel,Double,PLA
102.0,0.0399,2.03,960.0,45,3D,Steel,Double,PLA
103.0,0.0401,2.04,963.0,45,3D,Steel,Double,PLA
103.0,0.0404,2.05,965.0,45,3D,Steel,Double,PLA
103.0,0.0406,2.06,968.0,45,3D,Steel,Double,PLA
104.0,0.0408,2.07,971.0,45,3D,Steel,Double,PLA
104.0,0.041,2.08,973.0,45,3D,Steel,Double,PLA
104.0,0.0413,2.1,976.0,45,3D,Steel,Double,PLA
104.0,0.0415,2.11,978.0,45,3D,Steel,Double,PLA
105.0,0.0417,2.12,981.0,45,3D,Steel,Double,PLA
105.0,0.0419,2.13,983.0,45,3D,Steel,Double,PLA
105.0,0.0422,2.14,986.0,45,3D,Steel,Double,PLA
106.0,0.0424,2.15,988.0,45,3D,Steel,Double,PLA
106.0,0.0426,2.16,990.0,45,3D,Steel,Double,PLA
106.0,0.0428,2.18,993.0,45,3D,Steel,Double,PLA
106.0,0.0431,2.19,995.0,45,3D,Steel,Double,PLA
107.0,0.0433,2.2,998.0,45,3D,Steel,Double,PLA
107.0,0.0435,2.21,1000.0,45,3D,Steel,Double,PLA
107.0,0.0437,2.22,1000.0,45,3D,Steel,Double,PLA
107.0,0.044,2.23,1000.0,45,3D,Steel,Double,PLA
108.0,0.0442,2.24,1010.0,45,3D,Steel,Double,PLA
108.0,0.0444,2.26,1010.0,45,3D,Steel,Double,PLA
108.0,0.0446,2.27,1010.0,45,3D,Steel,Double,PLA
108.0,0.0448,2.28,1010.0,45,3D,Steel,Double,PLA
108.0,0.0451,2.29,1020.0,45,3D,Steel,Double,PLA
109.0,0.0453,2.3,1020.0,45,3D,Steel,Double,PLA
109.0,0.0455,2.31,1020.0,45,3D,Steel,Double,PLA
109.0,0.0458,2.32,1020.0,45,3D,Steel,Double,PLA
109.0,0.046,2.34,1020.0,45,3D,Steel,Double,PLA
110.0,0.0462,2.35,1030.0,45,3D,Steel,Double,PLA
110.0,0.0464,2.36,1030.0,45,3D,Steel,Double,PLA
110.0,0.0466,2.37,1030.0,45,3D,Steel,Double,PLA
110.0,0.0469,2.38,1030.0,45,3D,Steel,Double,PLA
110.0,0.0471,2.39,1030.0,45,3D,Steel,Double,PLA
111.0,0.0473,2.4,1040.0,45,3D,Steel,Double,PLA
111.0,0.0475,2.42,1040.0,45,3D,Steel,Double,PLA
111.0,0.0478,2.43,1040.0,45,3D,Steel,Double,PLA
111.0,0.048,2.44,1040.0,45,3D,Steel,Double,PLA
111.0,0.0482,2.45,1040.0,45,3D,Steel,Double,PLA
112.0,0.0484,2.46,1050.0,45,3D,Steel,Double,PLA
112.0,0.0487,2.47,1050.0,45,3D,Steel,Double,PLA
112.0,0.0489,2.48,1050.0,45,3D,Steel,Double,PLA
112.0,0.0491,2.49,1050.0,45,3D,Steel,Double,PLA
112.0,0.0493,2.51,1050.0,45,3D,Steel,Double,PLA
113.0,0.0496,2.52,1050.0,45,3D,Steel,Double,PLA
113.0,0.0498,2.53,1060.0,45,3D,Steel,Double,PLA
113.0,0.05,2.54,1060.0,45,3D,Steel,Double,PLA
113.0,0.0502,2.55,1060.0,45,3D,Steel,Double,PLA
113.0,0.0504,2.56,1060.0,45,3D,Steel,Double,PLA
113.0,0.0507,2.57,1060.0,45,3D,Steel,Double,PLA
114.0,0.0509,2.59,1060.0,45,3D,Steel,Double,PLA
114.0,0.0511,2.6,1070.0,45,3D,Steel,Double,PLA
114.0,0.0513,2.61,1070.0,45,3D,Steel,Double,PLA
114.0,0.0516,2.62,1070.0,45,3D,Steel,Double,PLA
114.0,0.0518,2.63,1070.0,45,3D,Steel,Double,PLA
114.0,0.052,2.64,1070.0,45,3D,Steel,Double,PLA
115.0,0.0522,2.65,1070.0,45,3D,Steel,Double,PLA
115.0,0.0525,2.67,1070.0,45,3D,Steel,Double,PLA
115.0,0.0527,2.68,1080.0,45,3D,Steel,Double,PLA
115.0,0.0529,2.69,1080.0,45,3D,Steel,Double,PLA
115.0,0.0531,2.7,1080.0,45,3D,Steel,Double,PLA
115.0,0.0534,2.71,1080.0,45,3D,Steel,Double,PLA
115.0,0.0536,2.72,1080.0,45,3D,Steel,Double,PLA
116.0,0.0538,2.73,1080.0,45,3D,Steel,Double,PLA
116.0,0.054,2.75,1080.0,45,3D,Steel,Double,PLA
116.0,0.0543,2.76,1090.0,45,3D,Steel,Double,PLA
116.0,0.0545,2.77,1090.0,45,3D,Steel,Double,PLA
116.0,0.0547,2.78,1090.0,45,3D,Steel,Double,PLA
116.0,0.0549,2.79,1090.0,45,3D,Steel,Double,PLA
116.0,0.0552,2.8,1090.0,45,3D,Steel,Double,PLA
116.0,0.0554,2.81,1090.0,45,3D,Steel,Double,PLA
117.0,0.0556,2.82,1090.0,45,3D,Steel,Double,PLA
117.0,0.0558,2.84,1090.0,45,3D,Steel,Double,PLA
117.0,0.0561,2.85,1090.0,45,3D,Steel,Double,PLA
117.0,0.0563,2.86,1100.0,45,3D,Steel,Double,PLA
117.0,0.0565,2.87,1100.0,45,3D,Steel,Double,PLA
117.0,0.0567,2.88,1100.0,45,3D,Steel,Double,PLA
117.0,0.057,2.89,1100.0,45,3D,Steel,Double,PLA
117.0,0.0572,2.9,1100.0,45,3D,Steel,Double,PLA
118.0,0.0574,2.92,1100.0,45,3D,Steel,Double,PLA
118.0,0.0576,2.93,1100.0,45,3D,Steel,Double,PLA
118.0,0.0578,2.94,1100.0,45,3D,Steel,Double,PLA
118.0,0.0581,2.95,1100.0,45,3D,Steel,Double,PLA
118.0,0.0583,2.96,1100.0,45,3D,Steel,Double,PLA
118.0,0.0585,2.97,1110.0,45,3D,Steel,Double,PLA
118.0,0.0587,2.98,1110.0,45,3D,Steel,Double,PLA
118.0,0.059,3.0,1110.0,45,3D,Steel,Double,PLA
118.0,0.0592,3.01,1110.0,45,3D,Steel,Double,PLA
118.0,0.0594,3.02,1110.0,45,3D,Steel,Double,PLA
119.0,0.0596,3.03,1110.0,45,3D,Steel,Double,PLA
119.0,0.0599,3.04,1110.0,45,3D,Steel,Double,PLA
119.0,0.0601,3.05,1110.0,45,3D,Steel,Double,PLA
119.0,0.0603,3.06,1110.0,45,3D,Steel,Double,PLA
119.0,0.0605,3.07,1110.0,45,3D,Steel,Double,PLA
119.0,0.0608,3.09,1110.0,45,3D,Steel,Double,PLA
119.0,0.061,3.1,1120.0,45,3D,Steel,Double,PLA
119.0,0.0612,3.11,1120.0,45,3D,Steel,Double,PLA
119.0,0.0614,3.12,1120.0,45,3D,Steel,Double,PLA
119.0,0.0617,3.13,1120.0,45,3D,Steel,Double,PLA
119.0,0.0619,3.14,1120.0,45,3D,Steel,Double,PLA
119.0,0.0621,3.16,1120.0,45,3D,Steel,Double,PLA
120.0,0.0623,3.17,1120.0,45,3D,Steel,Double,PLA
120.0,0.0625,3.18,1120.0,45,3D,Steel,Double,PLA
120.0,0.0628,3.19,1120.0,45,3D,Steel,Double,PLA
120.0,0.063,3.2,1120.0,45,3D,Steel,Double,PLA
120.0,0.0632,3.21,1120.0,45,3D,Steel,Double,PLA
120.0,0.0635,3.22,1120.0,45,3D,Steel,Double,PLA
120.0,0.0637,3.23,1120.0,45,3D,Steel,Double,PLA
120.0,0.0639,3.25,1130.0,45,3D,Steel,Double,PLA
120.0,0.0641,3.26,1130.0,45,3D,Steel,Double,PLA
120.0,0.0644,3.27,1130.0,45,3D,Steel,Double,PLA
120.0,0.0646,3.28,1130.0,45,3D,Steel,Double,PLA
120.0,0.0648,3.29,1130.0,45,3D,Steel,Double,PLA
121.0,0.065,3.3,1130.0,45,3D,Steel,Double,PLA
121.0,0.0652,3.31,1130.0,45,3D,Steel,Double,PLA
121.0,0.0655,3.33,1130.0,45,3D,Steel,Double,PLA
121.0,0.0657,3.34,1130.0,45,3D,Steel,Double,PLA
121.0,0.0659,3.35,1130.0,45,3D,Steel,Double,PLA
121.0,0.0661,3.36,1130.0,45,3D,Steel,Double,PLA
121.0,0.0664,3.37,1130.0,45,3D,Steel,Double,PLA
121.0,0.0666,3.38,1130.0,45,3D,Steel,Double,PLA
121.0,0.0668,3.39,1130.0,45,3D,Steel,Double,PLA
121.0,0.067,3.41,1130.0,45,3D,Steel,Double,PLA
121.0,0.0673,3.42,1130.0,45,3D,Steel,Double,PLA
121.0,0.0675,3.43,1140.0,45,3D,Steel,Double,PLA
121.0,0.0677,3.44,1130.0,45,3D,Steel,Double,PLA
121.0,0.0679,3.45,1140.0,45,3D,Steel,Double,PLA
121.0,0.0682,3.46,1140.0,45,3D,Steel,Double,PLA
121.0,0.0684,3.47,1140.0,45,3D,Steel,Double,PLA
121.0,0.0686,3.49,1140.0,45,3D,Steel,Double,PLA
121.0,0.0688,3.5,1140.0,45,3D,Steel,Double,PLA
121.0,0.0691,3.51,1140.0,45,3D,Steel,Double,PLA
