Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.249,0.0,0.0,-2.33,45,Hex,Steel,Double,PLA
-0.229,0.0,0.0,-2.14,45,Hex,Steel,Double,PLA
-0.253,0.0,0.0,-2.37,45,Hex,Steel,Double,PLA
-0.252,0.0,0.0,-2.36,45,Hex,Steel,Double,PLA
-0.232,0.0,0.0,-2.17,45,Hex,Steel,Double,PLA
-0.232,0.0,0.0,-2.17,45,Hex,Steel,Double,PLA
-0.232,0.0,0.0,-2.17,45,Hex,Steel,Double,PLA
-0.232,0.0,0.0,-2.17,45,Hex,Steel,Double,PLA
-0.232,0.0,0.0,-2.17,45,Hex,Steel,Double,PLA
-0.232,0.0,0.0,-2.17,45,Hex,Steel,Double,PLA
-0.273,0.0,0.0,-2.56,45,Hex,Steel,Double,PLA
-0.261,0.0,0.0,-2.45,45,Hex,Steel,Double,PLA
-0.261,0.0,0.0,-2.45,45,Hex,Steel,Double,PLA
-0.261,0.0,0.0,-2.45,45,Hex,Steel,Double,PLA
-0.261,0.0,0.0,-2.45,45,Hex,Steel,Double,PLA
-0.261,0.0,0.0,-2.45,45,Hex,Steel,Double,PLA
-0.261,0.0,0.0,-2.45,45,Hex,Steel,Double,PLA
-0.261,0.0,0.0,-2.45,45,Hex,Steel,Double,PLA
-0.261,0.0,0.0,-2.45,45,Hex,Steel,Double,PLA
-0.261,0.0,0.0,-2.45,45,Hex,Steel,Double,PLA
-0.261,0.0,0.0,-2.45,45,Hex,Steel,Double,PLA
-0.241,0.0,0.0,-2.26,45,Hex,Steel,Double,PLA
-0.288,0.0,0.0,-2.69,45,Hex,Steel,Double,PLA
-0.279,0.0,0.0,-2.62,45,Hex,Steel,Double,PLA
-0.322,0.0,0.0,-3.02,45,Hex,Steel,Double,PLA
-0.237,0.0,0.0,-2.22,45,Hex,Steel,Double,PLA
-0.284,0.0,0.0,-2.66,45,Hex,Steel,Double,PLA
-0.282,0.0,0.0,-2.64,45,Hex,Steel,Double,PLA
-0.284,0.0,0.0,-2.66,45,Hex,Steel,Double,PLA
-0.29,0.0,0.0,-2.72,45,Hex,Steel,Double,PLA
-0.28,0.0,0.0,-2.62,45,Hex,Steel,Double,PLA
-0.309,0.0,0.0,-2.89,45,Hex,Steel,Double,PLA
-0.249,0.0,0.0,-2.33,45,Hex,Steel,Double,PLA
-0.263,0.0,0.0,-2.46,45,Hex,Steel,Double,PLA
-0.295,0.0,0.0,-2.77,45,Hex,Steel,Double,PLA
-0.299,0.0,0.0,-2.8,45,Hex,Steel,Double,PLA
-0.291,0.0,0.0,-2.73,45,Hex,Steel,Double,PLA
-0.296,0.0,0.0,-2.77,45,Hex,Steel,Double,PLA
-0.262,0.0,0.0,-2.45,45,Hex,Steel,Double,PLA
-0.312,0.0,0.0,-2.92,45,Hex,Steel,Double,PLA
-0.27,0.0,0.0,-2.53,45,Hex,Steel,Double,PLA
-0.291,0.0,0.0,-2.73,45,Hex,Steel,Double,PLA
-0.272,0.0,0.0,-2.55,45,Hex,Steel,Double,PLA
-0.295,0.0,0.0,-2.76,45,Hex,Steel,Double,PLA
-0.261,0.0,0.0,-2.44,45,Hex,Steel,Double,PLA
-0.256,0.0,0.0,-2.4,45,Hex,Steel,Double,PLA
-0.323,0.0,0.0,-3.02,45,Hex,Steel,Double,PLA
-0.302,0.0,0.0,-2.83,45,Hex,Steel,Double,PLA
-0.32,0.0,0.0,-2.99,45,Hex,Steel,Double,PLA
-0.298,0.0,0.0,-2.79,45,Hex,Steel,Double,PLA
-0.354,0.0,0.0,-3.31,45,Hex,Steel,Double,PLA
-0.334,0.0,0.0,-3.13,45,Hex,Steel,Double,PLA
-0.355,0.0,0.0,-3.33,45,Hex,Steel,Double,PLA
-0.245,0.0,0.0,-2.3,45,Hex,Steel,Double,PLA
-0.292,0.0,0.0,-2.74,45,Hex,Steel,Double,PLA
-0.311,0.0,0.0,-2.91,45,Hex,Steel,Double,PLA
-0.297,0.0,0.0,-2.78,45,Hex,Steel,Double,PLA
-0.289,0.0,0.0,-2.71,45,Hex,Steel,Double,PLA
-0.29,0.0,0.0,-2.72,45,Hex,Steel,Double,PLA
-0.32,0.0,0.0,-2.99,45,Hex,Steel,Double,PLA
-0.32,0.0,0.0,-2.99,45,Hex,Steel,Double,PLA
-0.324,0.0,0.0,-3.03,45,Hex,Steel,Double,PLA
-0.322,0.0,0.0,-3.02,45,Hex,Steel,Double,PLA
-0.317,0.0,0.0,-2.97,45,Hex,Steel,Double,PLA
-0.379,0.0,0.0,-3.55,45,Hex,Steel,Double,PLA
-0.359,0.0,0.0,-3.36,45,Hex,Steel,Double,PLA
-0.362,0.0,0.0,-3.39,45,Hex,Steel,Double,PLA
-0.325,0.0,0.0,-3.04,45,Hex,Steel,Double,PLA
-0.316,0.0,0.0,-2.96,45,Hex,Steel,Double,PLA
-0.377,0.0,0.0,-3.53,45,Hex,Steel,Double,PLA
-0.316,0.0,0.0,-2.96,45,Hex,Steel,Double,PLA
-0.349,0.0,0.0,-3.27,45,Hex,Steel,Double,PLA
-0.289,0.0,0.0,-2.71,45,Hex,Steel,Double,PLA
-0.393,0.0,0.0,-3.68,45,Hex,Steel,Double,PLA
-0.352,0.0,0.0,-3.3,45,Hex,Steel,Double,PLA
-0.341,0.0,0.0,-3.2,45,Hex,Steel,Double,PLA
-0.359,0.0,0.0,-3.37,45,Hex,Steel,Double,PLA
-0.309,0.0,0.0,-2.89,45,Hex,Steel,Double,PLA
-0.345,0.0,0.0,-3.23,45,Hex,Steel,Double,PLA
-0.354,0.0,0.0,-3.31,45,Hex,Steel,Double,PLA
-0.343,0.0,0.0,-3.22,45,Hex,Steel,Double,PLA
-0.389,0.0,0.0,-3.64,45,Hex,Steel,Double,PLA
-0.347,0.0,0.0,-3.25,45,Hex,Steel,Double,PLA
-0.347,0.0,0.0,-3.25,45,Hex,Steel,Double,PLA
-0.314,0.0,0.0,-2.94,45,Hex,Steel,Double,PLA
-0.357,0.0,0.0,-3.35,45,Hex,Steel,Double,PLA
-0.359,0.0,0.0,-3.37,45,Hex,Steel,Double,PLA
-0.343,0.0,0.0,-3.22,45,Hex,Steel,Double,PLA
-0.319,0.0,0.0,-2.98,45,Hex,Steel,Double,PLA
-0.352,0.0,0.0,-3.3,45,Hex,Steel,Double,PLA
-0.33,0.0,0.0,-3.09,45,Hex,Steel,Double,PLA
-0.352,0.0,0.0,-3.3,45,Hex,Steel,Double,PLA
-0.35,0.0,0.0,-3.28,45,Hex,Steel,Double,PLA
-0.346,0.0,0.0,-3.24,45,Hex,Steel,Double,PLA
-0.353,0.0,0.0,-3.31,45,Hex,Steel,Double,PLA
-0.368,0.0,0.0,-3.44,45,Hex,Steel,Double,PLA
-0.376,0.0,0.0,-3.52,45,Hex,Steel,Double,PLA
-0.311,0.0,0.0,-2.91,45,Hex,Steel,Double,PLA
-0.323,0.0,0.0,-3.02,45,Hex,Steel,Double,PLA
-0.343,0.0,0.0,-3.21,45,Hex,Steel,Double,PLA
-0.349,0.0,0.0,-3.26,45,Hex,Steel,Double,PLA
-0.359,0.0,0.0,-3.36,45,Hex,Steel,Double,PLA
