Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.145,0.0,0.0,-1.36,45,Tri,Steel,Double,PLA
-0.121,0.0,0.0,-1.13,45,Tri,Steel,Double,PLA
-0.0784,0.0,0.0,-0.734,45,Tri,Steel,Double,PLA
-0.146,0.0,0.0,-1.36,45,Tri,Steel,Double,PLA
-0.143,0.0,0.0,-1.34,45,Tri,Steel,Double,PLA
-0.143,0.0,0.0,-1.34,45,Tri,Steel,Double,PLA
-0.13,0.0,0.0,-1.21,45,Tri,Steel,Double,PLA
-0.155,0.0,0.0,-1.46,45,Tri,Steel,Double,PLA
-0.167,0.0,0.0,-1.56,45,Tri,Steel,Double,PLA
-0.193,0.0,0.0,-1.81,45,Tri,Steel,Double,PLA
-0.13,0.0,0.0,-1.21,45,Tri,Steel,Double,PLA
-0.154,0.0,0.0,-1.44,45,Tri,Steel,Double,PLA
-0.167,0.0,0.0,-1.56,45,Tri,Steel,Double,PLA
-0.139,0.0,0.0,-1.3,45,Tri,Steel,Double,PLA
-0.194,0.0,0.0,-1.82,45,Tri,Steel,Double,PLA
-0.167,0.0,0.0,-1.57,45,Tri,Steel,Double,PLA
-0.21,0.0,0.0,-1.96,45,Tri,Steel,Double,PLA
-0.197,0.0,0.0,-1.85,45,Tri,Steel,Double,PLA
-0.183,0.0,0.0,-1.72,45,Tri,Steel,Double,PLA
-0.268,0.0,0.0,-2.5,45,Tri,Steel,Double,PLA
-0.187,0.0,0.0,-1.75,45,Tri,Steel,Double,PLA
-0.275,0.0,0.0,-2.58,45,Tri,Steel,Double,PLA
-0.185,0.0,0.0,-1.73,45,Tri,Steel,Double,PLA
-0.217,0.0,0.0,-2.03,45,Tri,Steel,Double,PLA
-0.214,0.0,0.0,-2.0,45,Tri,Steel,Double,PLA
-0.225,0.0,0.0,-2.11,45,Tri,Steel,Double,PLA
-0.229,0.0,0.0,-2.15,45,Tri,Steel,Double,PLA
-0.195,0.0,0.0,-1.83,45,Tri,Steel,Double,PLA
-0.233,0.0,0.0,-2.19,45,Tri,Steel,Double,PLA
-0.206,0.0,0.0,-1.93,45,Tri,Steel,Double,PLA
-0.257,0.0,0.0,-2.41,45,Tri,Steel,Double,PLA
0.146,5.05e-05,0.00256,1.37,45,Tri,Steel,Double,PLA
0.831,0.00013,0.0066,7.79,45,Tri,Steel,Double,PLA
1.76,0.00022,0.0112,16.4,45,Tri,Steel,Double,PLA
2.55,0.000307,0.0156,23.9,45,Tri,Steel,Double,PLA
3.48,0.000398,0.0202,32.6,45,Tri,Steel,Double,PLA
4.36,0.000492,0.025,40.8,45,Tri,Steel,Double,PLA
5.27,0.000584,0.0297,49.4,45,Tri,Steel,Double,PLA
6.29,0.000673,0.0342,58.9,45,Tri,Steel,Double,PLA
