Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.255,0,-0.00356,0,30,Hex,Without Mesh,Zero,PLA
-0.192,0,-0.00269,0,30,Hex,Without Mesh,Zero,PLA
-0.192,0,-0.00269,0,30,Hex,Without Mesh,Zero,PLA
-0.376,0,-0.00525,0,30,Hex,Without Mesh,Zero,PLA
-0.376,0,-0.00525,0,30,Hex,Without Mesh,Zero,PLA
-0.376,0,-0.00525,0,30,Hex,Without Mesh,Zero,PLA
-0.376,0,-0.00525,0,30,Hex,Without Mesh,Zero,PLA
-0.44,0,-0.00616,0,30,Hex,Without Mesh,Zero,PLA
-0.253,0,-0.00354,0,30,Hex,Without Mesh,Zero,PLA
-0.144,0,-0.00201,0,30,Hex,Without Mesh,Zero,PLA
-0.306,0,-0.00428,0,30,Hex,Without Mesh,Zero,PLA
-0.243,0,-0.00339,0,30,Hex,Without Mesh,Zero,PLA
-0.127,0,-0.00177,0,30,Hex,Without Mesh,Zero,PLA
-0.391,0,-0.00548,0,30,Hex,Without Mesh,Zero,PLA
-0.412,0,-0.00576,0,30,Hex,Without Mesh,Zero,PLA
-0.511,0,-0.00715,0,30,Hex,Without Mesh,Zero,PLA
-0.247,0,-0.00345,0,30,Hex,Without Mesh,Zero,PLA
-0.422,0,-0.0059,0,30,Hex,Without Mesh,Zero,PLA
-0.407,0,-0.00569,0,30,Hex,Without Mesh,Zero,PLA
-0.362,0,-0.00507,0,30,Hex,Without Mesh,Zero,PLA
-0.238,0,-0.00333,0,30,Hex,Without Mesh,Zero,PLA
-0.349,0,-0.00488,0,30,Hex,Without Mesh,Zero,PLA
-0.374,0,-0.00524,0,30,Hex,Without Mesh,Zero,PLA
-0.258,0,-0.00361,0,30,Hex,Without Mesh,Zero,PLA
-0.167,0,-0.00234,0,30,Hex,Without Mesh,Zero,PLA
-0.246,0,-0.00345,0,30,Hex,Without Mesh,Zero,PLA
-0.334,0,-0.00468,0,30,Hex,Without Mesh,Zero,PLA
-0.267,0,-0.00373,0,30,Hex,Without Mesh,Zero,PLA
-0.486,0,-0.0068,0,30,Hex,Without Mesh,Zero,PLA
-0.428,0,-0.00599,0,30,Hex,Without Mesh,Zero,PLA
-0.425,0,-0.00594,0,30,Hex,Without Mesh,Zero,PLA
-0.414,0,-0.00579,0,30,Hex,Without Mesh,Zero,PLA
