Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.232,0,-0.00325,0,45,3D,Without Mesh,Zero,PLA
-0.365,0,-0.00511,0,45,3D,Without Mesh,Zero,PLA
-0.206,0,-0.00288,0,45,3D,Without Mesh,Zero,PLA
-0.367,0,-0.00513,0,45,3D,Without Mesh,Zero,PLA
-0.416,0,-0.00581,0,45,3D,Without Mesh,Zero,PLA
-0.404,0,-0.00565,0,45,3D,Without Mesh,Zero,PLA
-0.384,0,-0.00538,0,45,3D,Without Mesh,Zero,PLA
-0.384,0,-0.00538,0,45,3D,Without Mesh,Zero,PLA
-0.367,0,-0.00513,0,45,3D,Without Mesh,Zero,PLA
-0.367,0,-0.00513,0,45,3D,Without Mesh,Zero,PLA
-0.367,0,-0.00513,0,45,3D,Without Mesh,Zero,PLA
-0.367,0,-0.00513,0,45,3D,Without Mesh,Zero,PLA
-0.443,0,-0.00619,0,45,3D,Without Mesh,Zero,PLA
-0.481,0,-0.00673,0,45,3D,Without Mesh,Zero,PLA
-0.294,0,-0.00411,0,45,3D,Without Mesh,Zero,PLA
-0.46,0,-0.00644,0,45,3D,Without Mesh,Zero,PLA
-0.539,0,-0.00754,0,45,3D,Without Mesh,Zero,PLA
-0.536,0,-0.0075,0,45,3D,Without Mesh,Zero,PLA
-0.376,0,-0.00525,0,45,3D,Without Mesh,Zero,PLA
-0.329,0,-0.00461,0,45,3D,Without Mesh,Zero,PLA
-0.346,0,-0.00484,0,45,3D,Without Mesh,Zero,PLA
-0.425,0,-0.00594,0,45,3D,Without Mesh,Zero,PLA
-0.523,0,-0.00732,0,45,3D,Without Mesh,Zero,PLA
-0.425,0,-0.00594,0,45,3D,Without Mesh,Zero,PLA
-0.322,0,-0.0045,0,45,3D,Without Mesh,Zero,PLA
-0.529,0,-0.0074,0,45,3D,Without Mesh,Zero,PLA
-0.617,0,-0.00863,0,45,3D,Without Mesh,Zero,PLA
-0.335,0,-0.00469,0,45,3D,Without Mesh,Zero,PLA
-0.486,0,-0.00679,0,45,3D,Without Mesh,Zero,PLA
-0.517,0,-0.00723,0,45,3D,Without Mesh,Zero,PLA
-0.568,0,-0.00794,0,45,3D,Without Mesh,Zero,PLA
-0.378,0,-0.00529,0,45,3D,Without Mesh,Zero,PLA
-0.538,0,-0.00752,0,45,3D,Without Mesh,Zero,PLA
-0.559,0,-0.00782,0,45,3D,Without Mesh,Zero,PLA
-0.373,0,-0.00521,0,45,3D,Without Mesh,Zero,PLA
-0.493,0,-0.0069,0,45,3D,Without Mesh,Zero,PLA
-0.536,0,-0.0075,0,45,3D,Without Mesh,Zero,PLA
-0.478,0,-0.00669,0,45,3D,Without Mesh,Zero,PLA
-0.32,0,-0.00448,0,45,3D,Without Mesh,Zero,PLA
-0.545,0,-0.00763,0,45,3D,Without Mesh,Zero,PLA
-0.504,0,-0.00704,0,45,3D,Without Mesh,Zero,PLA
-0.609,0,-0.00852,0,45,3D,Without Mesh,Zero,PLA
-0.581,0,-0.00813,0,45,3D,Without Mesh,Zero,PLA
-0.425,0,-0.00594,0,45,3D,Without Mesh,Zero,PLA
-0.46,0,-0.00644,0,45,3D,Without Mesh,Zero,PLA
-0.528,0,-0.00738,0,45,3D,Without Mesh,Zero,PLA
-0.59,0,-0.00825,0,45,3D,Without Mesh,Zero,PLA
-0.671,0,-0.00938,0,45,3D,Without Mesh,Zero,PLA
-0.474,0,-0.00663,0,45,3D,Without Mesh,Zero,PLA
-0.492,0,-0.00688,0,45,3D,Without Mesh,Zero,PLA
-0.529,0,-0.0074,0,45,3D,Without Mesh,Zero,PLA
-0.626,0,-0.00875,0,45,3D,Without Mesh,Zero,PLA
-0.587,0,-0.00821,0,45,3D,Without Mesh,Zero,PLA
-0.653,-0.0001,-0.00913,-0.0002,45,3D,Without Mesh,Zero,PLA
-0.653,-0.0001,-0.00913,-0.0002,45,3D,Without Mesh,Zero,PLA
-0.472,-0.0001,-0.00661,-0.0002,45,3D,Without Mesh,Zero,PLA
-0.688,-0.0001,-0.00963,-0.0002,45,3D,Without Mesh,Zero,PLA
-0.621,-0.0001,-0.00869,-0.0002,45,3D,Without Mesh,Zero,PLA
-0.398,-0.0001,-0.00556,-0.0002,45,3D,Without Mesh,Zero,PLA
-0.504,-0.0001,-0.00704,-0.0002,45,3D,Without Mesh,Zero,PLA
-0.541,-0.0001,-0.00757,-0.0002,45,3D,Without Mesh,Zero,PLA
-0.848,-0.0001,-0.0119,-0.0002,45,3D,Without Mesh,Zero,PLA
-0.505,-0.0001,-0.00707,-0.0002,45,3D,Without Mesh,Zero,PLA
-0.666,-0.0001,-0.00932,-0.0002,45,3D,Without Mesh,Zero,PLA
-0.851,-0.0001,-0.0119,-0.0002,45,3D,Without Mesh,Zero,PLA
-0.577,-0.0001,-0.00807,-0.0002,45,3D,Without Mesh,Zero,PLA
-0.273,0.0002,-0.00381,0.0004,45,3D,Without Mesh,Zero,PLA
0.0238,0.001,0.000333,0.002,45,3D,Without Mesh,Zero,PLA
0.656,0.00143,0.00917,0.00287,45,3D,Without Mesh,Zero,PLA
3.36,0.0045,0.047,0.009,45,3D,Without Mesh,Zero,PLA
3.95,0.0052,0.0552,0.0104,45,3D,Without Mesh,Zero,PLA
5.43,0.00693,0.0759,0.0139,45,3D,Without Mesh,Zero,PLA
7.34,0.0086,0.103,0.0172,45,3D,Without Mesh,Zero,PLA
8.94,0.0104,0.125,0.0207,45,3D,Without Mesh,Zero,PLA
10.7,0.0121,0.15,0.0243,45,3D,Without Mesh,Zero,PLA
12.5,0.0137,0.175,0.0274,45,3D,Without Mesh,Zero,PLA
14.1,0.0152,0.197,0.0303,45,3D,Without Mesh,Zero,PLA
15.8,0.0168,0.221,0.0337,45,3D,Without Mesh,Zero,PLA
17.6,0.0186,0.246,0.0372,45,3D,Without Mesh,Zero,PLA
19.5,0.0204,0.272,0.0407,45,3D,Without Mesh,Zero,PLA
21.8,0.0219,0.305,0.0439,45,3D,Without Mesh,Zero,PLA
23.7,0.0236,0.332,0.0472,45,3D,Without Mesh,Zero,PLA
25.7,0.0253,0.36,0.0505,45,3D,Without Mesh,Zero,PLA
27.5,0.0268,0.384,0.0537,45,3D,Without Mesh,Zero,PLA
29.4,0.0283,0.411,0.0566,45,3D,Without Mesh,Zero,PLA
30.8,0.03,0.431,0.0599,45,3D,Without Mesh,Zero,PLA
32.9,0.0316,0.461,0.0633,45,3D,Without Mesh,Zero,PLA
34.8,0.0333,0.486,0.0666,45,3D,Without Mesh,Zero,PLA
36.4,0.0348,0.509,0.0695,45,3D,Without Mesh,Zero,PLA
38.4,0.0365,0.538,0.0731,45,3D,Without Mesh,Zero,PLA
40.2,0.0381,0.562,0.0762,45,3D,Without Mesh,Zero,PLA
41.5,0.0396,0.581,0.0792,45,3D,Without Mesh,Zero,PLA
43.3,0.0411,0.606,0.0823,45,3D,Without Mesh,Zero,PLA
45.2,0.0427,0.632,0.0854,45,3D,Without Mesh,Zero,PLA
47,0.0444,0.657,0.0887,45,3D,Without Mesh,Zero,PLA
48.6,0.0459,0.68,0.0919,45,3D,Without Mesh,Zero,PLA
50.4,0.0474,0.705,0.0948,45,3D,Without Mesh,Zero,PLA
52.2,0.0491,0.73,0.0981,45,3D,Without Mesh,Zero,PLA
54.1,0.0507,0.757,0.101,45,3D,Without Mesh,Zero,PLA
55.8,0.0522,0.78,0.104,45,3D,Without Mesh,Zero,PLA
57.2,0.0537,0.8,0.107,45,3D,Without Mesh,Zero,PLA
58.8,0.0552,0.823,0.11,45,3D,Without Mesh,Zero,PLA
60.7,0.0569,0.849,0.114,45,3D,Without Mesh,Zero,PLA
62.2,0.0585,0.871,0.117,45,3D,Without Mesh,Zero,PLA
64.2,0.06,0.898,0.12,45,3D,Without Mesh,Zero,PLA
65.9,0.0616,0.921,0.123,45,3D,Without Mesh,Zero,PLA
67.6,0.0633,0.946,0.127,45,3D,Without Mesh,Zero,PLA
70.7,0.0663,0.989,0.133,45,3D,Without Mesh,Zero,PLA
71.2,0.0665,0.996,0.133,45,3D,Without Mesh,Zero,PLA
72.7,0.0681,1.02,0.136,45,3D,Without Mesh,Zero,PLA
74.2,0.0696,1.04,0.139,45,3D,Without Mesh,Zero,PLA
75.9,0.0714,1.06,0.143,45,3D,Without Mesh,Zero,PLA
77.8,0.0728,1.09,0.146,45,3D,Without Mesh,Zero,PLA
79.7,0.0744,1.11,0.149,45,3D,Without Mesh,Zero,PLA
81.4,0.076,1.14,0.152,45,3D,Without Mesh,Zero,PLA
83.1,0.0776,1.16,0.155,45,3D,Without Mesh,Zero,PLA
84.4,0.0791,1.18,0.158,45,3D,Without Mesh,Zero,PLA
86.2,0.0807,1.21,0.161,45,3D,Without Mesh,Zero,PLA
87.8,0.0822,1.23,0.164,45,3D,Without Mesh,Zero,PLA
90,0.0838,1.26,0.168,45,3D,Without Mesh,Zero,PLA
91.3,0.0854,1.28,0.171,45,3D,Without Mesh,Zero,PLA
93,0.087,1.3,0.174,45,3D,Without Mesh,Zero,PLA
94.7,0.0886,1.32,0.177,45,3D,Without Mesh,Zero,PLA
96.1,0.0902,1.34,0.18,45,3D,Without Mesh,Zero,PLA
97.8,0.0916,1.37,0.183,45,3D,Without Mesh,Zero,PLA
99.5,0.0932,1.39,0.186,45,3D,Without Mesh,Zero,PLA
101,0.0948,1.42,0.19,45,3D,Without Mesh,Zero,PLA
103,0.0964,1.44,0.193,45,3D,Without Mesh,Zero,PLA
104,0.0979,1.46,0.196,45,3D,Without Mesh,Zero,PLA
106,0.0994,1.48,0.199,45,3D,Without Mesh,Zero,PLA
108,0.101,1.51,0.202,45,3D,Without Mesh,Zero,PLA
109,0.103,1.53,0.205,45,3D,Without Mesh,Zero,PLA
111,0.104,1.55,0.208,45,3D,Without Mesh,Zero,PLA
112,0.106,1.57,0.211,45,3D,Without Mesh,Zero,PLA
114,0.107,1.59,0.214,45,3D,Without Mesh,Zero,PLA
116,0.109,1.62,0.217,45,3D,Without Mesh,Zero,PLA
118,0.11,1.65,0.221,45,3D,Without Mesh,Zero,PLA
119,0.112,1.66,0.224,45,3D,Without Mesh,Zero,PLA
120,0.113,1.68,0.227,45,3D,Without Mesh,Zero,PLA
122,0.115,1.7,0.23,45,3D,Without Mesh,Zero,PLA
124,0.116,1.73,0.233,45,3D,Without Mesh,Zero,PLA
125,0.118,1.75,0.236,45,3D,Without Mesh,Zero,PLA
127,0.12,1.77,0.239,45,3D,Without Mesh,Zero,PLA
128,0.121,1.8,0.242,45,3D,Without Mesh,Zero,PLA
130,0.123,1.82,0.245,45,3D,Without Mesh,Zero,PLA
131,0.124,1.84,0.249,45,3D,Without Mesh,Zero,PLA
133,0.126,1.86,0.252,45,3D,Without Mesh,Zero,PLA
134,0.127,1.88,0.255,45,3D,Without Mesh,Zero,PLA
136,0.129,1.91,0.258,45,3D,Without Mesh,Zero,PLA
138,0.131,1.93,0.261,45,3D,Without Mesh,Zero,PLA
139,0.132,1.95,0.264,45,3D,Without Mesh,Zero,PLA
141,0.134,1.97,0.267,45,3D,Without Mesh,Zero,PLA
143,0.135,1.99,0.27,45,3D,Without Mesh,Zero,PLA
144,0.137,2.02,0.274,45,3D,Without Mesh,Zero,PLA
145,0.138,2.03,0.277,45,3D,Without Mesh,Zero,PLA
147,0.14,2.06,0.28,45,3D,Without Mesh,Zero,PLA
149,0.141,2.08,0.283,45,3D,Without Mesh,Zero,PLA
150,0.143,2.1,0.286,45,3D,Without Mesh,Zero,PLA
152,0.144,2.12,0.289,45,3D,Without Mesh,Zero,PLA
153,0.146,2.15,0.292,45,3D,Without Mesh,Zero,PLA
155,0.148,2.16,0.295,45,3D,Without Mesh,Zero,PLA
157,0.149,2.19,0.298,45,3D,Without Mesh,Zero,PLA
158,0.151,2.21,0.301,45,3D,Without Mesh,Zero,PLA
159,0.152,2.23,0.305,45,3D,Without Mesh,Zero,PLA
161,0.154,2.25,0.308,45,3D,Without Mesh,Zero,PLA
163,0.155,2.27,0.311,45,3D,Without Mesh,Zero,PLA
164,0.157,2.3,0.314,45,3D,Without Mesh,Zero,PLA
166,0.158,2.32,0.317,45,3D,Without Mesh,Zero,PLA
167,0.16,2.34,0.32,45,3D,Without Mesh,Zero,PLA
169,0.162,2.36,0.323,45,3D,Without Mesh,Zero,PLA
170,0.163,2.38,0.326,45,3D,Without Mesh,Zero,PLA
172,0.165,2.4,0.329,45,3D,Without Mesh,Zero,PLA
173,0.166,2.43,0.332,45,3D,Without Mesh,Zero,PLA
175,0.168,2.44,0.336,45,3D,Without Mesh,Zero,PLA
176,0.169,2.47,0.339,45,3D,Without Mesh,Zero,PLA
178,0.171,2.49,0.342,45,3D,Without Mesh,Zero,PLA
179,0.172,2.5,0.345,45,3D,Without Mesh,Zero,PLA
181,0.174,2.53,0.348,45,3D,Without Mesh,Zero,PLA
182,0.176,2.55,0.351,45,3D,Without Mesh,Zero,PLA
184,0.177,2.57,0.354,45,3D,Without Mesh,Zero,PLA
185,0.179,2.59,0.357,45,3D,Without Mesh,Zero,PLA
187,0.18,2.61,0.36,45,3D,Without Mesh,Zero,PLA
188,0.182,2.63,0.363,45,3D,Without Mesh,Zero,PLA
190,0.183,2.65,0.366,45,3D,Without Mesh,Zero,PLA
191,0.185,2.68,0.37,45,3D,Without Mesh,Zero,PLA
193,0.186,2.7,0.373,45,3D,Without Mesh,Zero,PLA
194,0.188,2.72,0.376,45,3D,Without Mesh,Zero,PLA
196,0.189,2.74,0.379,45,3D,Without Mesh,Zero,PLA
197,0.191,2.76,0.382,45,3D,Without Mesh,Zero,PLA
199,0.193,2.78,0.385,45,3D,Without Mesh,Zero,PLA
200,0.194,2.8,0.388,45,3D,Without Mesh,Zero,PLA
202,0.196,2.82,0.391,45,3D,Without Mesh,Zero,PLA
203,0.197,2.84,0.394,45,3D,Without Mesh,Zero,PLA
204,0.199,2.86,0.398,45,3D,Without Mesh,Zero,PLA
206,0.2,2.88,0.401,45,3D,Without Mesh,Zero,PLA
208,0.202,2.91,0.404,45,3D,Without Mesh,Zero,PLA
209,0.203,2.92,0.407,45,3D,Without Mesh,Zero,PLA
210,0.205,2.94,0.41,45,3D,Without Mesh,Zero,PLA
212,0.207,2.96,0.413,45,3D,Without Mesh,Zero,PLA
213,0.208,2.98,0.416,45,3D,Without Mesh,Zero,PLA
215,0.21,3,0.419,45,3D,Without Mesh,Zero,PLA
216,0.211,3.03,0.423,45,3D,Without Mesh,Zero,PLA
218,0.213,3.05,0.426,45,3D,Without Mesh,Zero,PLA
219,0.214,3.07,0.429,45,3D,Without Mesh,Zero,PLA
220,0.216,3.08,0.432,45,3D,Without Mesh,Zero,PLA
222,0.217,3.11,0.435,45,3D,Without Mesh,Zero,PLA
224,0.219,3.13,0.438,45,3D,Without Mesh,Zero,PLA
225,0.221,3.14,0.441,45,3D,Without Mesh,Zero,PLA
226,0.222,3.17,0.444,45,3D,Without Mesh,Zero,PLA
228,0.224,3.18,0.447,45,3D,Without Mesh,Zero,PLA
230,0.225,3.21,0.451,45,3D,Without Mesh,Zero,PLA
230,0.227,3.22,0.454,45,3D,Without Mesh,Zero,PLA
232,0.228,3.25,0.457,45,3D,Without Mesh,Zero,PLA
234,0.23,3.27,0.46,45,3D,Without Mesh,Zero,PLA
235,0.231,3.28,0.463,45,3D,Without Mesh,Zero,PLA
237,0.233,3.31,0.466,45,3D,Without Mesh,Zero,PLA
238,0.234,3.32,0.469,45,3D,Without Mesh,Zero,PLA
239,0.236,3.35,0.472,45,3D,Without Mesh,Zero,PLA
241,0.238,3.37,0.475,45,3D,Without Mesh,Zero,PLA
242,0.239,3.39,0.479,45,3D,Without Mesh,Zero,PLA
244,0.241,3.41,0.482,45,3D,Without Mesh,Zero,PLA
245,0.242,3.43,0.485,45,3D,Without Mesh,Zero,PLA
246,0.244,3.44,0.488,45,3D,Without Mesh,Zero,PLA
248,0.245,3.47,0.491,45,3D,Without Mesh,Zero,PLA
249,0.247,3.48,0.494,45,3D,Without Mesh,Zero,PLA
251,0.249,3.51,0.497,45,3D,Without Mesh,Zero,PLA
252,0.25,3.53,0.5,45,3D,Without Mesh,Zero,PLA
254,0.252,3.55,0.503,45,3D,Without Mesh,Zero,PLA
255,0.253,3.56,0.506,45,3D,Without Mesh,Zero,PLA
257,0.255,3.59,0.51,45,3D,Without Mesh,Zero,PLA
258,0.256,3.61,0.513,45,3D,Without Mesh,Zero,PLA
259,0.258,3.63,0.516,45,3D,Without Mesh,Zero,PLA
261,0.259,3.64,0.519,45,3D,Without Mesh,Zero,PLA
262,0.261,3.67,0.522,45,3D,Without Mesh,Zero,PLA
263,0.263,3.68,0.525,45,3D,Without Mesh,Zero,PLA
265,0.264,3.71,0.528,45,3D,Without Mesh,Zero,PLA
267,0.266,3.73,0.531,45,3D,Without Mesh,Zero,PLA
268,0.267,3.75,0.534,45,3D,Without Mesh,Zero,PLA
269,0.269,3.77,0.538,45,3D,Without Mesh,Zero,PLA
271,0.27,3.79,0.54,45,3D,Without Mesh,Zero,PLA
272,0.272,3.81,0.544,45,3D,Without Mesh,Zero,PLA
273,0.273,3.82,0.547,45,3D,Without Mesh,Zero,PLA
275,0.275,3.85,0.55,45,3D,Without Mesh,Zero,PLA
277,0.277,3.87,0.553,45,3D,Without Mesh,Zero,PLA
278,0.278,3.89,0.556,45,3D,Without Mesh,Zero,PLA
279,0.28,3.9,0.559,45,3D,Without Mesh,Zero,PLA
281,0.281,3.93,0.563,45,3D,Without Mesh,Zero,PLA
282,0.283,3.95,0.566,45,3D,Without Mesh,Zero,PLA
284,0.284,3.97,0.569,45,3D,Without Mesh,Zero,PLA
285,0.286,3.99,0.571,45,3D,Without Mesh,Zero,PLA
286,0.287,4.01,0.575,45,3D,Without Mesh,Zero,PLA
288,0.289,4.03,0.578,45,3D,Without Mesh,Zero,PLA
290,0.291,4.05,0.581,45,3D,Without Mesh,Zero,PLA
291,0.292,4.06,0.584,45,3D,Without Mesh,Zero,PLA
292,0.294,4.09,0.587,45,3D,Without Mesh,Zero,PLA
294,0.295,4.11,0.591,45,3D,Without Mesh,Zero,PLA
295,0.297,4.13,0.593,45,3D,Without Mesh,Zero,PLA
296,0.298,4.15,0.597,45,3D,Without Mesh,Zero,PLA
298,0.3,4.16,0.6,45,3D,Without Mesh,Zero,PLA
299,0.301,4.19,0.603,45,3D,Without Mesh,Zero,PLA
301,0.303,4.21,0.606,45,3D,Without Mesh,Zero,PLA
302,0.304,4.22,0.609,45,3D,Without Mesh,Zero,PLA
303,0.306,4.24,0.612,45,3D,Without Mesh,Zero,PLA
305,0.308,4.26,0.615,45,3D,Without Mesh,Zero,PLA
306,0.309,4.28,0.618,45,3D,Without Mesh,Zero,PLA
308,0.311,4.3,0.621,45,3D,Without Mesh,Zero,PLA
309,0.312,4.32,0.624,45,3D,Without Mesh,Zero,PLA
310,0.314,4.34,0.627,45,3D,Without Mesh,Zero,PLA
312,0.315,4.36,0.631,45,3D,Without Mesh,Zero,PLA
313,0.317,4.38,0.634,45,3D,Without Mesh,Zero,PLA
315,0.318,4.4,0.637,45,3D,Without Mesh,Zero,PLA
316,0.32,4.42,0.64,45,3D,Without Mesh,Zero,PLA
317,0.322,4.44,0.643,45,3D,Without Mesh,Zero,PLA
319,0.323,4.46,0.646,45,3D,Without Mesh,Zero,PLA
320,0.325,4.48,0.649,45,3D,Without Mesh,Zero,PLA
321,0.326,4.5,0.652,45,3D,Without Mesh,Zero,PLA
323,0.328,4.52,0.655,45,3D,Without Mesh,Zero,PLA
324,0.329,4.54,0.659,45,3D,Without Mesh,Zero,PLA
326,0.331,4.56,0.662,45,3D,Without Mesh,Zero,PLA
327,0.333,4.58,0.665,45,3D,Without Mesh,Zero,PLA
328,0.334,4.59,0.668,45,3D,Without Mesh,Zero,PLA
330,0.336,4.62,0.671,45,3D,Without Mesh,Zero,PLA
331,0.337,4.63,0.674,45,3D,Without Mesh,Zero,PLA
333,0.339,4.65,0.677,45,3D,Without Mesh,Zero,PLA
334,0.34,4.68,0.68,45,3D,Without Mesh,Zero,PLA
336,0.342,4.69,0.684,45,3D,Without Mesh,Zero,PLA
337,0.343,4.71,0.687,45,3D,Without Mesh,Zero,PLA
338,0.345,4.73,0.69,45,3D,Without Mesh,Zero,PLA
340,0.347,4.76,0.693,45,3D,Without Mesh,Zero,PLA
341,0.348,4.77,0.696,45,3D,Without Mesh,Zero,PLA
342,0.35,4.79,0.699,45,3D,Without Mesh,Zero,PLA
344,0.351,4.81,0.702,45,3D,Without Mesh,Zero,PLA
345,0.353,4.83,0.706,45,3D,Without Mesh,Zero,PLA
347,0.354,4.85,0.709,45,3D,Without Mesh,Zero,PLA
348,0.356,4.87,0.712,45,3D,Without Mesh,Zero,PLA
349,0.358,4.89,0.715,45,3D,Without Mesh,Zero,PLA
351,0.359,4.91,0.718,45,3D,Without Mesh,Zero,PLA
352,0.361,4.92,0.721,45,3D,Without Mesh,Zero,PLA
353,0.362,4.94,0.724,45,3D,Without Mesh,Zero,PLA
355,0.364,4.96,0.727,45,3D,Without Mesh,Zero,PLA
356,0.365,4.98,0.731,45,3D,Without Mesh,Zero,PLA
357,0.367,5,0.734,45,3D,Without Mesh,Zero,PLA
359,0.368,5.02,0.737,45,3D,Without Mesh,Zero,PLA
360,0.37,5.04,0.74,45,3D,Without Mesh,Zero,PLA
362,0.372,5.06,0.743,45,3D,Without Mesh,Zero,PLA
363,0.373,5.08,0.746,45,3D,Without Mesh,Zero,PLA
364,0.375,5.09,0.749,45,3D,Without Mesh,Zero,PLA
365,0.376,5.11,0.752,45,3D,Without Mesh,Zero,PLA
367,0.378,5.13,0.755,45,3D,Without Mesh,Zero,PLA
368,0.379,5.15,0.759,45,3D,Without Mesh,Zero,PLA
369,0.381,5.17,0.761,45,3D,Without Mesh,Zero,PLA
371,0.382,5.19,0.765,45,3D,Without Mesh,Zero,PLA
372,0.384,5.21,0.768,45,3D,Without Mesh,Zero,PLA
374,0.385,5.23,0.771,45,3D,Without Mesh,Zero,PLA
