Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
0.206,0,0.00288,0,45,Hex,Without Mesh,Zero,PLA
0.133,0,0.00186,0,45,Hex,Without Mesh,Zero,PLA
0.115,0,0.0016,0,45,Hex,Without Mesh,Zero,PLA
0.121,0,0.00169,0,45,Hex,Without Mesh,Zero,PLA
0.121,0,0.00169,0,45,Hex,Without Mesh,Zero,PLA
0.0311,0,0.000435,0,45,Hex,Without Mesh,Zero,PLA
-0.161,0,-0.00225,0,45,Hex,Without Mesh,Zero,PLA
-0.161,0,-0.00225,0,45,Hex,Without Mesh,Zero,PLA
-0.161,0,-0.00225,0,45,Hex,Without Mesh,Zero,PLA
-0.161,0,-0.00225,0,45,Hex,Without Mesh,Zero,PLA
0.277,0,0.00388,0,45,Hex,Without Mesh,Zero,PLA
0.156,0,0.00218,0,45,Hex,Without Mesh,Zero,PLA
0.0933,0,0.0013,0,45,Hex,Without Mesh,Zero,PLA
0.403,0,0.00564,0,45,Hex,Without Mesh,Zero,PLA
0.0956,0,0.00134,0,45,Hex,Without Mesh,Zero,PLA
-0.0873,0,-0.00122,0,45,Hex,Without Mesh,Zero,PLA
0.336,0,0.0047,0,45,Hex,Without Mesh,Zero,PLA
-0.000486,0,-6.80E-06,0,45,Hex,Without Mesh,Zero,PLA
0.198,0,0.00277,0,45,Hex,Without Mesh,Zero,PLA
0.141,0,0.00197,0,45,Hex,Without Mesh,Zero,PLA
0.273,0,0.00382,0,45,Hex,Without Mesh,Zero,PLA
0.165,0,0.00231,0,45,Hex,Without Mesh,Zero,PLA
0.322,0,0.00451,0,45,Hex,Without Mesh,Zero,PLA
0.3,0,0.00419,0,45,Hex,Without Mesh,Zero,PLA
0.19,0,0.00266,0,45,Hex,Without Mesh,Zero,PLA
0.0638,0,0.000892,0,45,Hex,Without Mesh,Zero,PLA
0.427,0,0.00597,0,45,Hex,Without Mesh,Zero,PLA
0.0728,0,0.00102,0,45,Hex,Without Mesh,Zero,PLA
-0.0597,0,-0.000835,0,45,Hex,Without Mesh,Zero,PLA
0.164,0,0.0023,0,45,Hex,Without Mesh,Zero,PLA
0.0665,0,0.00093,0,45,Hex,Without Mesh,Zero,PLA
0.242,0,0.00339,0,45,Hex,Without Mesh,Zero,PLA
0.397,0,0.00555,0,45,Hex,Without Mesh,Zero,PLA
0.329,0,0.0046,0,45,Hex,Without Mesh,Zero,PLA
0.258,0,0.0036,0,45,Hex,Without Mesh,Zero,PLA
0.454,0,0.00635,0,45,Hex,Without Mesh,Zero,PLA
0.275,0,0.00385,0,45,Hex,Without Mesh,Zero,PLA
0.0805,0,0.00113,0,45,Hex,Without Mesh,Zero,PLA
0.198,0,0.00277,0,45,Hex,Without Mesh,Zero,PLA
0.366,0,0.00513,0,45,Hex,Without Mesh,Zero,PLA
0.0138,0,0.000193,0,45,Hex,Without Mesh,Zero,PLA
0.154,0,0.00216,0,45,Hex,Without Mesh,Zero,PLA
0.266,0,0.00373,0,45,Hex,Without Mesh,Zero,PLA
0.329,0,0.00461,0,45,Hex,Without Mesh,Zero,PLA
0.133,0,0.00185,0,45,Hex,Without Mesh,Zero,PLA
0.0639,0,0.000894,0,45,Hex,Without Mesh,Zero,PLA
0.0536,0,0.00075,0,45,Hex,Without Mesh,Zero,PLA
0.384,0,0.00538,0,45,Hex,Without Mesh,Zero,PLA
0.173,0,0.00242,0,45,Hex,Without Mesh,Zero,PLA
0.108,0,0.00151,0,45,Hex,Without Mesh,Zero,PLA
0.223,0,0.00312,0,45,Hex,Without Mesh,Zero,PLA
0.17,0,0.00238,0,45,Hex,Without Mesh,Zero,PLA
0.0688,0,0.000962,0,45,Hex,Without Mesh,Zero,PLA
