Force (N),Position (mm),Stress (MPa),Strain (%),Infill%,Infill Type,Mesh Type,Number of mesh layer,Base Material
-0.0983,0,-0.00138,0,45,Tri,Without Mesh,Zero,PLA
0.0536,0,0.00075,0,45,Tri,Without Mesh,Zero,PLA
0.0536,0,0.00075,0,45,Tri,Without Mesh,Zero,PLA
0.0536,0,0.00075,0,45,Tri,Without Mesh,Zero,PLA
0.0536,0,0.00075,0,45,Tri,Without Mesh,Zero,PLA
-0.00894,0,-0.000125,0,45,Tri,Without Mesh,Zero,PLA
-0.331,0,-0.00463,0,45,Tri,Without Mesh,Zero,PLA
-0.331,0,-0.00463,0,45,Tri,Without Mesh,Zero,PLA
0.0128,0,0.000179,0,45,Tri,Without Mesh,Zero,PLA
0.0147,0,0.000206,0,45,Tri,Without Mesh,Zero,PLA
0.0419,0,0.000586,0,45,Tri,Without Mesh,Zero,PLA
0.0728,0,0.00102,0,45,Tri,Without Mesh,Zero,PLA
0.0793,0,0.00111,0,45,Tri,Without Mesh,Zero,PLA
0.0251,0,0.000352,0,45,Tri,Without Mesh,Zero,PLA
-0.187,0,-0.00261,0,45,Tri,Without Mesh,Zero,PLA
-0.0301,0,-0.000422,0,45,Tri,Without Mesh,Zero,PLA
0.00452,0,6.32E-05,0,45,Tri,Without Mesh,Zero,PLA
-0.157,0,-0.0022,0,45,Tri,Without Mesh,Zero,PLA
-0.137,0,-0.00192,0,45,Tri,Without Mesh,Zero,PLA
-0.105,0,-0.00147,0,45,Tri,Without Mesh,Zero,PLA
-0.0169,0,-0.000237,0,45,Tri,Without Mesh,Zero,PLA
-0.00346,0,-4.84E-05,0,45,Tri,Without Mesh,Zero,PLA
0.114,0,0.0016,0,45,Tri,Without Mesh,Zero,PLA
-0.233,0,-0.00326,0,45,Tri,Without Mesh,Zero,PLA
0.123,0,0.00172,0,45,Tri,Without Mesh,Zero,PLA
-0.116,0,-0.00163,0,45,Tri,Without Mesh,Zero,PLA
-0.0778,0,-0.00109,0,45,Tri,Without Mesh,Zero,PLA
-0.0149,0,-0.000208,0,45,Tri,Without Mesh,Zero,PLA
-0.105,0,-0.00146,0,45,Tri,Without Mesh,Zero,PLA
-0.17,0,-0.00238,0,45,Tri,Without Mesh,Zero,PLA
-0.0663,0,-0.000928,0,45,Tri,Without Mesh,Zero,PLA
-0.0864,0,-0.00121,0,45,Tri,Without Mesh,Zero,PLA
0.0411,0,0.000575,0,45,Tri,Without Mesh,Zero,PLA
-0.105,0,-0.00146,0,45,Tri,Without Mesh,Zero,PLA
-0.11,0,-0.00154,0,45,Tri,Without Mesh,Zero,PLA
0.0184,0,0.000257,0,45,Tri,Without Mesh,Zero,PLA
0.192,0,0.00269,0,45,Tri,Without Mesh,Zero,PLA
0.253,0,0.00354,0,45,Tri,Without Mesh,Zero,PLA
0.0671,0,0.000938,0,45,Tri,Without Mesh,Zero,PLA
0.289,0,0.00405,0,45,Tri,Without Mesh,Zero,PLA
-0.166,0,-0.00232,0,45,Tri,Without Mesh,Zero,PLA
-0.0128,0,-0.000179,0,45,Tri,Without Mesh,Zero,PLA
0.0358,0,0.0005,0,45,Tri,Without Mesh,Zero,PLA
-0.0486,0,-0.00068,0,45,Tri,Without Mesh,Zero,PLA
0.111,0,0.00155,0,45,Tri,Without Mesh,Zero,PLA
0.103,0,0.00143,0,45,Tri,Without Mesh,Zero,PLA
0.114,0,0.00159,0,45,Tri,Without Mesh,Zero,PLA
0.0849,0,0.00119,0,45,Tri,Without Mesh,Zero,PLA
0.103,8.06E-05,0.00144,0.000161,45,Tri,Without Mesh,Zero,PLA
0.967,0.0011,0.0135,0.0022,45,Tri,Without Mesh,Zero,PLA
2.02,0.00232,0.0282,0.00464,45,Tri,Without Mesh,Zero,PLA
3.31,0.00354,0.0464,0.00708,45,Tri,Without Mesh,Zero,PLA
4.59,0.00496,0.0642,0.00992,45,Tri,Without Mesh,Zero,PLA
6.01,0.00638,0.084,0.0128,45,Tri,Without Mesh,Zero,PLA
7.29,0.0077,0.102,0.0154,45,Tri,Without Mesh,Zero,PLA
8.64,0.0091,0.121,0.0182,45,Tri,Without Mesh,Zero,PLA
10.5,0.0103,0.147,0.0206,45,Tri,Without Mesh,Zero,PLA
